系列 Name,系列 Code,国家 Name,国家 Code,1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
武装部队人员，总数,MS.MIL.TOTL.P1,西班牙,ESP,320000,..,..,..,277000,263000,246000,198000,204000,213000,281600,282300,273250,269710,262260,241800,214700,251200,224000,220000,220000,222000,222000,223000,222422,223216,215700,215600,213950,200000,199950,197950,196000,..,..
武装部队人员，总数,MS.MIL.TOTL.P1,英国,GBR,334000,..,..,..,318000,308000,301000,293000,271000,257000,233000,221000,218000,218000,218000,212500,211400,210400,212600,205000,217000,181000,160000,160000,178470,174020,165650,169150,159150,154700,152350,150250,148000,..,..
武装部队人员，总数,MS.MIL.TOTL.P1,葡萄牙,PRT,73000,..,..,..,104000,87000,86000,80000,68000,122000,104000,104000,100200,94500,90600,90500,90000,90000,92600,91000,93000,91000,91000,91000,91040,90334,90300,90300,79850,78100,73600,74500,52000,..,..
武装部队人员，总数,MS.MIL.TOTL.P1,菲律宾,PHL,114800,..,..,..,112000,109000,107000,107000,107000,104000,149000,150000,153000,160300,152500,148500,151000,150000,150000,146000,147000,147000,147000,147000,165500,165500,165500,165500,165500,165500,165500,165500,153000,..,..
武装部队人员，总数,MS.MIL.TOTL.P1,法国,FRA,464300,..,..,..,554000,550000,542000,522000,506000,506000,502400,491300,473100,452200,411600,389400,374400,361800,360400,358000,359000,354000,353000,353000,341967,341967,332250,325600,318400,312350,306350,306100,307000,..,..
武装部队人员，总数,MS.MIL.TOTL.P1,日本,JPN,243000,..,..,..,247000,250000,250000,242000,242000,233000,251500,247500,247600,254600,254600,248700,252100,252100,252100,251000,272000,252000,242000,242000,260382,260382,260086,259800,259800,259800,259800,260890,261000,..,..
武装部队人员，总数,MS.MIL.TOTL.P1,新加坡,SGP,55000,..,..,..,56000,56000,56000,56000,56000,56000,65500,65500,178000,180500,181000,168500,154500,156800,168800,165000,167000,167000,167000,167000,147500,147500,147600,147600,147600,147600,147600,147600,81000,..,..
武装部队人员，总数,MS.MIL.TOTL.P1,意大利,ITA,385100,..,..,..,506000,493000,473000,471000,450000,436000,585000,580900,580900,554100,521200,503100,482600,471100,454300,445000,445000,440000,436000,436000,326939,359378,367550,359500,359500,356850,356850,356850,347000,..,..
武装部队人员，总数,MS.MIL.TOTL.P1,德国,DEU,478000,..,..,..,503000,545000,457000,442000,398000,362000,365000,383500,347100,333500,331000,221100,308400,296000,284500,284000,285000,246000,244000,244000,251465,251465,196000,186450,181550,178600,177300,179100,180000,..,..
武装部队人员，总数,MS.MIL.TOTL.P1,中国,CHN,3900000,..,..,..,3900000,3500000,3200000,3160000,3030000,2930000,4130000,4135000,3640000,3820000,3820000,3910000,3810000,3770000,3750000,3755000,3755000,3605000,2885000,2885000,2945000,2945000,2945000,2993000,2993000,2993000,2843000,2695000,2695000,..,..
武装部队人员，总数,MS.MIL.TOTL.P1,美国,USA,2151600,..,..,..,2240000,2180000,2120000,1920000,1820000,1720000,1635600,1572100,1533300,1594000,1575000,1454800,1420700,1467000,1480000,1473000,1546000,1498000,1555000,1540000,1563996,1569417,1520100,1492200,1433150,1381250,1347300,1348400,1359000,..,..
武装部队人员，总数,MS.MIL.TOTL.P1,大韩民国,KOR,598000,..,..,..,647000,650000,750000,750000,750000,750000,641000,668000,676500,676500,676500,687500,687500,690500,690500,696000,693000,692000,692000,692000,659500,659500,659500,659500,659500,632500,634500,634000,634000,..,..
武装部队人员，总数,MS.MIL.TOTL.P1,巴西,BRA,276000,..,..,..,319000,295000,295000,296000,296000,296000,680600,680600,700300,698850,676600,673200,673200,673200,673200,687000,673000,754000,721000,721000,713480,713480,713480,713480,713480,729500,729500,729500,730000,..,..
武装部队人员，总数,MS.MIL.TOTL.P1,泰国,THA,235300,..,..,..,283000,283000,283000,283000,295000,290000,420500,393500,337000,377000,377000,416600,410000,419000,427200,419000,421000,420000,420000,421000,419560,419560,474550,453550,453550,453550,454550,454550,455000,..,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from Database: 世界发展指标,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 10/28/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
