name,type,value,date
北京,BeiJing,5647,1999
北京,BeiJing,4919,2000
北京,BeiJing,5062,2001
北京,BeiJing,4764,2002
北京,BeiJing,4737,2003
北京,BeiJing,5052.93,2004
北京,BeiJing,6788.09,2005
北京,BeiJing,8279.51,2006
北京,BeiJing,11553.26,2007
北京,BeiJing,12418,2008
北京,BeiJing,13799,2009
北京,BeiJing,17782,2010
北京,BeiJing,16851.95,2011
北京,BeiJing,17021.63,2012
北京,BeiJing,18553,2013
北京,BeiJing,18833,2014
北京,BeiJing,22633,2015
北京,BeiJing,27497,2016
北京,BeiJing,32140,2017
天津,TianJin,2251,1999
天津,TianJin,2328,2000
天津,TianJin,2375,2001
天津,TianJin,2487,2002
天津,TianJin,2518,2003
天津,TianJin,3114.61,2004
天津,TianJin,4054.73,2005
天津,TianJin,4773.54,2006
天津,TianJin,5811.11,2007
天津,TianJin,6015,2008
天津,TianJin,6886,2009
天津,TianJin,8230,2010
天津,TianJin,8744.77,2011
天津,TianJin,8217.67,2012
天津,TianJin,8746,2013
天津,TianJin,9219,2014
天津,TianJin,10107,2015
天津,TianJin,12830,2016
天津,TianJin,15331,2017
