name,type,value,date
和平精英,游戏服务 - 射击游戏,14383,2018年10月
王者荣耀,游戏服务 - MOBA,12841,2018年10月
欢乐斗地主,游戏服务 - 棋牌游戏,7659,2018年10月
开心消消乐,游戏服务 - 休闲益智,7092,2018年10月
迷你世界,游戏服务 - 休闲益智,4515,2018年10月
天天象棋,游戏服务 - 棋牌游戏,3160,2018年10月
JJ斗地主,游戏服务 - 棋牌游戏,2593,2018年10月
腾讯欢乐麻将,游戏服务 - 棋牌游戏,2232,2018年10月
别踩白块儿2,游戏服务 - 休闲益智,1966,2018年10月
全军出击,游戏服务 - 射击游戏,1925,2018年10月
和平精英,游戏服务 - 射击游戏,12814,2018年11月
王者荣耀,游戏服务 - MOBA,12507,2018年11月
欢乐斗地主,游戏服务 - 棋牌游戏,7341,2018年11月
开心消消乐,游戏服务 - 休闲益智,6996,2018年11月
迷你世界,游戏服务 - 休闲益智,3492,2018年11月
天天象棋,游戏服务 - 棋牌游戏,3214,2018年11月
JJ斗地主,游戏服务 - 棋牌游戏,2485,2018年11月
腾讯欢乐麻将,游戏服务 - 棋牌游戏,2112,2018年11月
全军出击,游戏服务 - 射击游戏,1726,2018年11月
消灭星星,游戏服务 - 休闲益智,1702,2018年11月
和平精英,游戏服务 - 射击游戏,12954,2018年12月
王者荣耀,游戏服务 - MOBA,12325,2018年12月
欢乐斗地主,游戏服务 - 棋牌游戏,7374,2018年12月
开心消消乐,游戏服务 - 休闲益智,6786,2018年12月
迷你世界,游戏服务 - 休闲益智,3334,2018年12月
天天象棋,游戏服务 - 棋牌游戏,3279,2018年12月
JJ斗地主,游戏服务 - 棋牌游戏,2514,2018年12月
腾讯欢乐麻将,游戏服务 - 棋牌游戏,2122,2018年12月
消灭星星,游戏服务 - 休闲益智,1746,2018年12月
全军出击,游戏服务 - 射击游戏,1617,2018年12月
和平精英,游戏服务 - 射击游戏,14462,2019年1月
王者荣耀,游戏服务 - MOBA,14693,2019年1月
欢乐斗地主,游戏服务 - 棋牌游戏,7626,2019年1月
开心消消乐,游戏服务 - 休闲益智,7078,2019年1月
迷你世界,游戏服务 - 休闲益智,5077,2019年1月
天天象棋,游戏服务 - 棋牌游戏,3292,2019年1月
JJ斗地主,游戏服务 - 棋牌游戏,2388,2019年1月
别踩白块儿2,游戏服务 - 休闲益智,2245,2019年1月
腾讯欢乐麻将,游戏服务 - 棋牌游戏,2185,2019年1月
全军出击,游戏服务 - 射击游戏,1856,2019年1月
和平精英,游戏服务 - 射击游戏,18565,2019年2月
王者荣耀,游戏服务 - MOBA,15111,2019年2月
欢乐斗地主,游戏服务 - 棋牌游戏,7326,2019年2月
开心消消乐,游戏服务 - 休闲益智,6859,2019年2月
迷你世界,游戏服务 - 休闲益智,5660,2019年2月
天天象棋,游戏服务 - 棋牌游戏,3150,2019年2月
别踩白块儿2,游戏服务 - 休闲益智,3118,2019年2月
JJ斗地主,游戏服务 - 棋牌游戏,2648,2019年2月
腾讯欢乐麻将,游戏服务 - 棋牌游戏,2110,2019年2月
贪吃蛇大作战,游戏服务 - 休闲益智,2081,2019年2月
和平精英,游戏服务 - 射击游戏,13107,2019年3月
王者荣耀,游戏服务 - MOBA,11887,2019年3月
欢乐斗地主,游戏服务 - 棋牌游戏,6858,2019年3月
开心消消乐,游戏服务 - 休闲益智,6447,2019年3月
迷你世界,游戏服务 - 休闲益智,4088,2019年3月
天天象棋,游戏服务 - 棋牌游戏,3111,2019年3月
JJ斗地主,游戏服务 - 棋牌游戏,2367,2019年3月
腾讯欢乐麻将,游戏服务 - 棋牌游戏,2188,2019年3月
宾果消消消,游戏服务 - 棋牌游戏,1840,2019年3月
消灭星星,游戏服务 - 棋牌游戏,1815,2019年3月
和平精英,游戏服务 - 射击游戏,12602,2019年4月
王者荣耀,游戏服务 - MOBA,11988,2019年4月
欢乐斗地主,游戏服务 - 棋牌游戏,6810,2019年4月
开心消消乐,游戏服务 - 休闲益智,6512,2019年4月
迷你世界,游戏服务 - 休闲益智,4312,2019年4月
天天象棋,游戏服务 - 棋牌游戏,3158,2019年4月
JJ斗地主,游戏服务 - 棋牌游戏,2366,2019年4月
腾讯欢乐麻将,游戏服务 - 棋牌游戏,2161,2019年4月
宾果消消消,游戏服务 - 棋牌游戏,2037,2019年4月
消灭星星,游戏服务 - 棋牌游戏,1922,2019年4月
和平精英,游戏服务 - 射击游戏,12661,2019年5月
王者荣耀,游戏服务 - MOBA,12017,2019年5月
欢乐斗地主,游戏服务 - 棋牌游戏,6741,2019年5月
开心消消乐,游戏服务 - 休闲益智,6461,2019年5月
迷你世界,游戏服务 - 休闲益智,4801,2019年5月
天天象棋,游戏服务 - 棋牌游戏,3264,2019年5月
JJ斗地主,游戏服务 - 棋牌游戏,2278,2019年5月
腾讯欢乐麻将,游戏服务 - 棋牌游戏,2172,2019年5月
宾果消消消,游戏服务 - 棋牌游戏,2057,2019年5月
4399游戏盒,游戏服务 - 棋牌游戏,2011,2019年5月
和平精英,游戏服务 - 射击游戏,12475,2019年6月
王者荣耀,游戏服务 - MOBA,10633,2019年6月
欢乐斗地主,游戏服务 - 棋牌游戏,6627,2019年6月
开心消消乐,游戏服务 - 休闲益智,6331,2019年6月
迷你世界,游戏服务 - 休闲益智,4906,2019年6月
天天象棋,游戏服务 - 棋牌游戏,3248,2019年6月
4399游戏盒,游戏服务 - 棋牌游戏,2203,2019年6月
JJ斗地主,游戏服务 - 棋牌游戏,2126,2019年6月
腾讯欢乐麻将,游戏服务 - 棋牌游戏,2095,2019年6月
宾果消消消,游戏服务 - 棋牌游戏,1991,2019年6月
王者荣耀,游戏服务 - 棋牌游戏,14175,2019年7月
和平精英,游戏服务 - 棋牌游戏,13695,2019年7月
