name,type,value,date
西班牙,ESP,320000,1985
西班牙,ESP,320000,1986
西班牙,ESP,320000,1987
西班牙,ESP,320000,1988
西班牙,ESP,277000,1989
西班牙,ESP,263000,1990
西班牙,ESP,246000,1991
西班牙,ESP,198000,1992
西班牙,ESP,204000,1993
西班牙,ESP,213000,1994
西班牙,ESP,281600,1995
西班牙,ESP,282300,1996
西班牙,ESP,273250,1997
西班牙,ESP,269710,1998
西班牙,ESP,262260,1999
西班牙,ESP,241800,2000
西班牙,ESP,214700,2001
西班牙,ESP,251200,2002
西班牙,ESP,224000,2003
西班牙,ESP,220000,2004
西班牙,ESP,220000,2005
西班牙,ESP,222000,2006
西班牙,ESP,222000,2007
西班牙,ESP,223000,2008
西班牙,ESP,222422,2009
西班牙,ESP,223216,2010
西班牙,ESP,215700,2011
西班牙,ESP,215600,2012
西班牙,ESP,213950,2013
西班牙,ESP,200000,2014
西班牙,ESP,199950,2015
西班牙,ESP,197950,2016
西班牙,ESP,196000,2017
英国,GBR,334000,1985
英国,GBR,334000,1986
英国,GBR,334000,1987
英国,GBR,334000,1988
英国,GBR,318000,1989
英国,GBR,308000,1990
英国,GBR,301000,1991
英国,GBR,293000,1992
英国,GBR,271000,1993
英国,GBR,257000,1994
英国,GBR,233000,1995
英国,GBR,221000,1996
英国,GBR,218000,1997
英国,GBR,218000,1998
英国,GBR,218000,1999
英国,GBR,212500,2000
英国,GBR,211400,2001
英国,GBR,210400,2002
英国,GBR,212600,2003
英国,GBR,205000,2004
英国,GBR,217000,2005
英国,GBR,181000,2006
英国,GBR,160000,2007
英国,GBR,160000,2008
英国,GBR,178470,2009
英国,GBR,174020,2010
英国,GBR,165650,2011
英国,GBR,169150,2012
英国,GBR,159150,2013
英国,GBR,154700,2014
英国,GBR,152350,2015
英国,GBR,150250,2016
英国,GBR,148000,2017
葡萄牙,PRT,73000,1985
葡萄牙,PRT,73000,1986
葡萄牙,PRT,73000,1987
葡萄牙,PRT,73000,1988
葡萄牙,PRT,104000,1989
葡萄牙,PRT,87000,1990
葡萄牙,PRT,86000,1991
葡萄牙,PRT,80000,1992
葡萄牙,PRT,68000,1993
葡萄牙,PRT,122000,1994
葡萄牙,PRT,104000,1995
葡萄牙,PRT,104000,1996
葡萄牙,PRT,100200,1997
葡萄牙,PRT,94500,1998
葡萄牙,PRT,90600,1999
葡萄牙,PRT,90500,2000
葡萄牙,PRT,90000,2001
葡萄牙,PRT,90000,2002
葡萄牙,PRT,92600,2003
葡萄牙,PRT,91000,2004
葡萄牙,PRT,93000,2005
葡萄牙,PRT,91000,2006
葡萄牙,PRT,91000,2007
葡萄牙,PRT,91000,2008
葡萄牙,PRT,91040,2009
葡萄牙,PRT,90334,2010
葡萄牙,PRT,90300,2011
葡萄牙,PRT,90300,2012
葡萄牙,PRT,79850,2013
葡萄牙,PRT,78100,2014
葡萄牙,PRT,73600,2015
葡萄牙,PRT,74500,2016
葡萄牙,PRT,52000,2017
菲律宾,PHL,114800,1985
菲律宾,PHL,114800,1986
菲律宾,PHL,114800,1987
菲律宾,PHL,114800,1988
菲律宾,PHL,112000,1989
菲律宾,PHL,109000,1990
菲律宾,PHL,107000,1991
菲律宾,PHL,107000,1992
菲律宾,PHL,107000,1993
菲律宾,PHL,104000,1994
菲律宾,PHL,149000,1995
菲律宾,PHL,150000,1996
菲律宾,PHL,153000,1997
菲律宾,PHL,160300,1998
菲律宾,PHL,152500,1999
菲律宾,PHL,148500,2000
菲律宾,PHL,151000,2001
菲律宾,PHL,150000,2002
菲律宾,PHL,150000,2003
菲律宾,PHL,146000,2004
菲律宾,PHL,147000,2005
菲律宾,PHL,147000,2006
菲律宾,PHL,147000,2007
菲律宾,PHL,147000,2008
菲律宾,PHL,165500,2009
菲律宾,PHL,165500,2010
菲律宾,PHL,165500,2011
菲律宾,PHL,165500,2012
菲律宾,PHL,165500,2013
菲律宾,PHL,165500,2014
菲律宾,PHL,165500,2015
菲律宾,PHL,165500,2016
菲律宾,PHL,153000,2017
法国,FRA,464300,1985
法国,FRA,464300,1986
法国,FRA,464300,1987
法国,FRA,464300,1988
法国,FRA,554000,1989
法国,FRA,550000,1990
法国,FRA,542000,1991
法国,FRA,522000,1992
法国,FRA,506000,1993
法国,FRA,506000,1994
法国,FRA,502400,1995
法国,FRA,491300,1996
法国,FRA,473100,1997
法国,FRA,452200,1998
法国,FRA,411600,1999
法国,FRA,389400,2000
法国,FRA,374400,2001
法国,FRA,361800,2002
法国,FRA,360400,2003
法国,FRA,358000,2004
法国,FRA,359000,2005
法国,FRA,354000,2006
法国,FRA,353000,2007
法国,FRA,353000,2008
法国,FRA,341967,2009
法国,FRA,341967,2010
法国,FRA,332250,2011
法国,FRA,325600,2012
法国,FRA,318400,2013
法国,FRA,312350,2014
法国,FRA,306350,2015
法国,FRA,306100,2016
法国,FRA,307000,2017
日本,JPN,243000,1985
日本,JPN,243000,1986
日本,JPN,243000,1987
日本,JPN,243000,1988
日本,JPN,247000,1989
日本,JPN,250000,1990
日本,JPN,250000,1991
日本,JPN,242000,1992
日本,JPN,242000,1993
日本,JPN,233000,1994
日本,JPN,251500,1995
日本,JPN,247500,1996
日本,JPN,247600,1997
日本,JPN,254600,1998
日本,JPN,254600,1999
日本,JPN,248700,2000
日本,JPN,252100,2001
日本,JPN,252100,2002
日本,JPN,252100,2003
日本,JPN,251000,2004
日本,JPN,272000,2005
日本,JPN,252000,2006
日本,JPN,242000,2007
日本,JPN,242000,2008
日本,JPN,260382,2009
日本,JPN,260382,2010
日本,JPN,260086,2011
日本,JPN,259800,2012
日本,JPN,259800,2013
日本,JPN,259800,2014
日本,JPN,259800,2015
日本,JPN,260890,2016
日本,JPN,261000,2017
新加坡,SGP,55000,1985
新加坡,SGP,55000,1986
新加坡,SGP,55000,1987
新加坡,SGP,55000,1988
新加坡,SGP,56000,1989
新加坡,SGP,56000,1990
新加坡,SGP,56000,1991
新加坡,SGP,56000,1992
新加坡,SGP,56000,1993
新加坡,SGP,56000,1994
新加坡,SGP,65500,1995
新加坡,SGP,65500,1996
新加坡,SGP,178000,1997
新加坡,SGP,180500,1998
新加坡,SGP,181000,1999
新加坡,SGP,168500,2000
新加坡,SGP,154500,2001
新加坡,SGP,156800,2002
新加坡,SGP,168800,2003
新加坡,SGP,165000,2004
新加坡,SGP,167000,2005
新加坡,SGP,167000,2006
新加坡,SGP,167000,2007
新加坡,SGP,167000,2008
新加坡,SGP,147500,2009
新加坡,SGP,147500,2010
新加坡,SGP,147600,2011
新加坡,SGP,147600,2012
新加坡,SGP,147600,2013
新加坡,SGP,147600,2014
新加坡,SGP,147600,2015
新加坡,SGP,147600,2016
新加坡,SGP,81000,2017
意大利,ITA,385100,1985
意大利,ITA,385100,1986
意大利,ITA,385100,1987
意大利,ITA,385100,1988
意大利,ITA,506000,1989
意大利,ITA,493000,1990
意大利,ITA,473000,1991
意大利,ITA,471000,1992
意大利,ITA,450000,1993
意大利,ITA,436000,1994
意大利,ITA,585000,1995
意大利,ITA,580900,1996
意大利,ITA,580900,1997
意大利,ITA,554100,1998
意大利,ITA,521200,1999
意大利,ITA,503100,2000
意大利,ITA,482600,2001
意大利,ITA,471100,2002
意大利,ITA,454300,2003
意大利,ITA,445000,2004
意大利,ITA,445000,2005
意大利,ITA,440000,2006
意大利,ITA,436000,2007
意大利,ITA,436000,2008
意大利,ITA,326939,2009
意大利,ITA,359378,2010
意大利,ITA,367550,2011
意大利,ITA,359500,2012
意大利,ITA,359500,2013
意大利,ITA,356850,2014
意大利,ITA,356850,2015
意大利,ITA,356850,2016
意大利,ITA,347000,2017
德国,DEU,478000,1985
德国,DEU,478000,1986
德国,DEU,478000,1987
德国,DEU,478000,1988
德国,DEU,503000,1989
德国,DEU,545000,1990
德国,DEU,457000,1991
德国,DEU,442000,1992
德国,DEU,398000,1993
德国,DEU,362000,1994
德国,DEU,365000,1995
德国,DEU,383500,1996
德国,DEU,347100,1997
德国,DEU,333500,1998
德国,DEU,331000,1999
德国,DEU,221100,2000
德国,DEU,308400,2001
德国,DEU,296000,2002
德国,DEU,284500,2003
德国,DEU,284000,2004
德国,DEU,285000,2005
德国,DEU,246000,2006
德国,DEU,244000,2007
德国,DEU,244000,2008
德国,DEU,251465,2009
德国,DEU,251465,2010
德国,DEU,196000,2011
德国,DEU,186450,2012
德国,DEU,181550,2013
德国,DEU,178600,2014
德国,DEU,177300,2015
德国,DEU,179100,2016
德国,DEU,180000,2017
美国,USA,2151600,1985
美国,USA,2151600,1986
美国,USA,2151600,1987
美国,USA,2151600,1988
美国,USA,2240000,1989
美国,USA,2180000,1990
美国,USA,2120000,1991
美国,USA,1920000,1992
美国,USA,1820000,1993
美国,USA,1720000,1994
美国,USA,1635600,1995
美国,USA,1572100,1996
美国,USA,1533300,1997
美国,USA,1594000,1998
美国,USA,1575000,1999
美国,USA,1454800,2000
美国,USA,1420700,2001
美国,USA,1467000,2002
美国,USA,1480000,2003
美国,USA,1473000,2004
美国,USA,1546000,2005
美国,USA,1498000,2006
美国,USA,1555000,2007
美国,USA,1540000,2008
美国,USA,1563996,2009
美国,USA,1569417,2010
美国,USA,1520100,2011
美国,USA,1492200,2012
美国,USA,1433150,2013
美国,USA,1381250,2014
美国,USA,1347300,2015
美国,USA,1348400,2016
美国,USA,1359000,2017
韩国,KOR,598000,1985
韩国,KOR,598000,1986
韩国,KOR,598000,1987
韩国,KOR,598000,1988
韩国,KOR,647000,1989
韩国,KOR,650000,1990
韩国,KOR,750000,1991
韩国,KOR,750000,1992
韩国,KOR,750000,1993
韩国,KOR,750000,1994
韩国,KOR,641000,1995
韩国,KOR,668000,1996
韩国,KOR,676500,1997
韩国,KOR,676500,1998
韩国,KOR,676500,1999
韩国,KOR,687500,2000
韩国,KOR,687500,2001
韩国,KOR,690500,2002
韩国,KOR,690500,2003
韩国,KOR,696000,2004
韩国,KOR,693000,2005
韩国,KOR,692000,2006
韩国,KOR,692000,2007
韩国,KOR,692000,2008
韩国,KOR,659500,2009
韩国,KOR,659500,2010
韩国,KOR,659500,2011
韩国,KOR,659500,2012
韩国,KOR,659500,2013
韩国,KOR,632500,2014
韩国,KOR,634500,2015
韩国,KOR,634000,2016
韩国,KOR,634000,2017
巴西,BRA,276000,1985
巴西,BRA,276000,1986
巴西,BRA,276000,1987
巴西,BRA,276000,1988
巴西,BRA,319000,1989
巴西,BRA,295000,1990
巴西,BRA,295000,1991
巴西,BRA,296000,1992
巴西,BRA,296000,1993
巴西,BRA,296000,1994
巴西,BRA,680600,1995
巴西,BRA,680600,1996
巴西,BRA,700300,1997
巴西,BRA,698850,1998
巴西,BRA,676600,1999
巴西,BRA,673200,2000
巴西,BRA,673200,2001
巴西,BRA,673200,2002
巴西,BRA,673200,2003
巴西,BRA,687000,2004
巴西,BRA,673000,2005
巴西,BRA,754000,2006
巴西,BRA,721000,2007
巴西,BRA,721000,2008
巴西,BRA,713480,2009
巴西,BRA,713480,2010
巴西,BRA,713480,2011
巴西,BRA,713480,2012
巴西,BRA,713480,2013
巴西,BRA,729500,2014
巴西,BRA,729500,2015
巴西,BRA,729500,2016
巴西,BRA,730000,2017
泰国,THA,235300,1985
泰国,THA,235300,1986
泰国,THA,235300,1987
泰国,THA,235300,1988
泰国,THA,283000,1989
泰国,THA,283000,1990
泰国,THA,283000,1991
泰国,THA,283000,1992
泰国,THA,295000,1993
泰国,THA,290000,1994
泰国,THA,420500,1995
泰国,THA,393500,1996
泰国,THA,337000,1997
泰国,THA,377000,1998
泰国,THA,377000,1999
泰国,THA,416600,2000
泰国,THA,410000,2001
泰国,THA,419000,2002
泰国,THA,427200,2003
泰国,THA,419000,2004
泰国,THA,421000,2005
泰国,THA,420000,2006
泰国,THA,420000,2007
泰国,THA,421000,2008
泰国,THA,419560,2009
泰国,THA,419560,2010
泰国,THA,474550,2011
泰国,THA,453550,2012
泰国,THA,453550,2013
泰国,THA,453550,2014
泰国,THA,454550,2015
泰国,THA,454550,2016
泰国,THA,455000,2017
中国,CHN,3900000,1985
中国,CHN,3900000,1986
中国,CHN,3900000,1987
中国,CHN,3900000,1988
中国,CHN,3900000,1989
中国,CHN,3500000,1990
中国,CHN,3200000,1991
中国,CHN,3160000,1992
中国,CHN,3030000,1993
中国,CHN,2930000,1994
中国,CHN,4130000,1995
中国,CHN,4135000,1996
中国,CHN,3640000,1997
中国,CHN,3820000,1998
中国,CHN,3820000,1999
中国,CHN,3910000,2000
中国,CHN,3810000,2001
中国,CHN,3770000,2002
中国,CHN,3750000,2003
中国,CHN,3755000,2004
中国,CHN,3755000,2005
中国,CHN,3605000,2006
中国,CHN,2885000,2007
中国,CHN,2885000,2008
中国,CHN,2945000,2009
中国,CHN,2945000,2010
中国,CHN,2945000,2011
中国,CHN,2993000,2012
中国,CHN,2993000,2013
中国,CHN,2993000,2014
中国,CHN,2843000,2015
中国,CHN,2695000,2016
中国,CHN,2695000,2017
