name,type,value,date
北京,BeiJing,2678.82,1999
北京,BeiJing,3161.66,2000
北京,BeiJing,3707.96,2001
北京,BeiJing,4315,2002
北京,BeiJing,5007.21,2003
北京,BeiJing,6033.21,2004
北京,BeiJing,6969.52,2005
北京,BeiJing,8117.78,2006
北京,BeiJing,9846.81,2007
北京,BeiJing,11115,2008
北京,BeiJing,12153.03,2009
北京,BeiJing,14113.58,2010
北京,BeiJing,16251.93,2011
北京,BeiJing,17879.4,2012
北京,BeiJing,19800.81,2013
北京,BeiJing,21330.83,2014
北京,BeiJing,23014.59,2015
北京,BeiJing,25669.13,2016
北京,BeiJing,28014.94,2017
北京,BeiJing,30319.98,2018
天津,TianJin,1500.95,1999
天津,TianJin,1701.88,2000
天津,TianJin,1919.09,2001
天津,TianJin,2150.76,2002
天津,TianJin,2578.03,2003
天津,TianJin,3110.97,2004
天津,TianJin,3905.64,2005
天津,TianJin,4462.74,2006
天津,TianJin,5252.76,2007
天津,TianJin,6719.01,2008
天津,TianJin,7521.85,2009
天津,TianJin,9224.46,2010
天津,TianJin,11307.28,2011
天津,TianJin,12893.88,2012
天津,TianJin,14442.01,2013
天津,TianJin,15726.93,2014
天津,TianJin,16538.19,2015
天津,TianJin,17885.39,2016
天津,TianJin,18549.19,2017
天津,TianJin,18809.64,2018
石家庄,ShiJiaZhuang,,1999
石家庄,ShiJiaZhuang,,2000
石家庄,ShiJiaZhuang,1085.43,2001
石家庄,ShiJiaZhuang,1186.81,2002
石家庄,ShiJiaZhuang,1377.94,2003
石家庄,ShiJiaZhuang,1554.9,2004
石家庄,ShiJiaZhuang,1786.78,2005
石家庄,ShiJiaZhuang,2026.63,2006
石家庄,ShiJiaZhuang,2360.72,2007
石家庄,ShiJiaZhuang,2838.37,2008
石家庄,ShiJiaZhuang,3001,2009
石家庄,ShiJiaZhuang,3401,2010
石家庄,ShiJiaZhuang,4082.68,2011
石家庄,ShiJiaZhuang,4500.2,2012
石家庄,ShiJiaZhuang,4863.66,2013
石家庄,ShiJiaZhuang,5170.27,2014
石家庄,ShiJiaZhuang,5440.6,2015
石家庄,ShiJiaZhuang,5927.73,2016
石家庄,ShiJiaZhuang,6460.88,2017
石家庄,ShiJiaZhuang,6082.62,2018
深圳,ShenZhen,,1999
深圳,ShenZhen,,2000
深圳,ShenZhen,1954.17,2001
深圳,ShenZhen,2256.83,2002
深圳,ShenZhen,2895.41,2003
深圳,ShenZhen,3422.8,2004
深圳,ShenZhen,4950.91,2005
深圳,ShenZhen,5813.56,2006
深圳,ShenZhen,6801.57,2007
深圳,ShenZhen,7806.54,2008
深圳,ShenZhen,8201,2009
深圳,ShenZhen,9581.5,2010
深圳,ShenZhen,11505.53,2011
深圳,ShenZhen,12950.1,2012
深圳,ShenZhen,14500.23,2013
深圳,ShenZhen,16001.82,2014
深圳,ShenZhen,17502.86,2015
深圳,ShenZhen,19492.6,2016
深圳,ShenZhen,22490.06,2017
深圳,ShenZhen,24221.98,2018
太原,TaiYuan,,1999
太原,TaiYuan,,2000
太原,TaiYuan,386.34,2001
太原,TaiYuan,432.89,2002
太原,TaiYuan,515.71,2003
太原,TaiYuan,640.5,2004
太原,TaiYuan,893.16,2005
太原,TaiYuan,1013.65,2006
太原,TaiYuan,1254.94,2007
太原,TaiYuan,1468.09,2008
太原,TaiYuan,1545,2009
太原,TaiYuan,1778.1,2010
太原,TaiYuan,2080.12,2011
太原,TaiYuan,2311.4,2012
太原,TaiYuan,2412.87,2013
太原,TaiYuan,2531.09,2014
太原,TaiYuan,2735.34,2015
太原,TaiYuan,2955.6,2016
太原,TaiYuan,3382.18,2017
太原,TaiYuan,3884.48,2018
呼和浩特,HuHeHaoTe,,1999
呼和浩特,HuHeHaoTe,,2000
呼和浩特,HuHeHaoTe,211.12,2001
呼和浩特,HuHeHaoTe,316.7,2002
呼和浩特,HuHeHaoTe,406.2,2003
呼和浩特,HuHeHaoTe,512.1,2004
呼和浩特,HuHeHaoTe,743.66,2005
呼和浩特,HuHeHaoTe,900.08,2006
呼和浩特,HuHeHaoTe,1101.13,2007
呼和浩特,HuHeHaoTe,1316.37,2008
呼和浩特,HuHeHaoTe,1644,2009
呼和浩特,HuHeHaoTe,1865.7,2010
呼和浩特,HuHeHaoTe,2177.27,2011
呼和浩特,HuHeHaoTe,2475.6,2012
呼和浩特,HuHeHaoTe,2710.39,2013
呼和浩特,HuHeHaoTe,2894.05,2014
呼和浩特,HuHeHaoTe,3090.52,2015
呼和浩特,HuHeHaoTe,3173.59,2016
呼和浩特,HuHeHaoTe,2743.72,2017
呼和浩特,HuHeHaoTe,2903.5,2018
沈阳,ShenYang,,1999
沈阳,ShenYang,,2000
沈阳,ShenYang,1236.47,2001
沈阳,ShenYang,1400.02,2002
沈阳,ShenYang,1603.38,2003
沈阳,ShenYang,1900.69,2004
沈阳,ShenYang,2084.13,2005
沈阳,ShenYang,2519.63,2006
沈阳,ShenYang,3221.15,2007
沈阳,ShenYang,3860.47,2008
