name,type,value,date
北京,BeiJing,4764,2002
成都,ChengDu,1975,2002
大连,DaLian,2843,2002
福州,FuZhou,2451,2002
广州,GuanZhou,4200,2002
贵阳,GuiYang,1643,2002
哈尔滨,HaErBin,2336,2002
海口,HaiKou,2119,2002
杭州,HangZhou,3526,2002
合肥,HeFei,1753,2002
呼和浩特,HuHeHaoTe,1498,2002
济南,JiNan,2101,2002
昆明,KunMing,2276,2002
兰州,LanZhou,1643,2002
南昌,NanChang,1688,2002
南京,NanJing,2923,2002
南宁,NanNing,2372,2002
宁波,NingBo,2613,2002
青岛,QingDao,2186,2002
厦门,XiaMen,3072,2002
上海,ShangHai,4134,2002
深圳,ShenZhen,5802,2002
沈阳,ShenYang,2738,2002
石家庄,ShiJiaZhuang,1811,2002
太原,TaiYuan,2191,2002
天津,TianJin,2487,2002
乌鲁木齐,WuLuMuQi,2315,2002
武汉,WuHan,1928,2002
西安,XiAn,2042,2002
西宁,XiNing,1464,2002
银川,YinChuan,2207,2002
长春,ChangChun,2421,2002
长沙,ChangSha,1802,2002
郑州,ZhengZhou,2027,2002
重庆,ChongQing,1556,2002
北京,BeiJing,4737,2003
成都,ChengDu,2096,2003
大连,DaLian,2921,2003
福州,FuZhou,2347,2003
广州,GuanZhou,4211,2003
贵阳,GuiYang,1949,2003
哈尔滨,HaErBin,2353,2003
海口,HaiKou,2092,2003
杭州,HangZhou,3939,2003
合肥,HeFei,2088,2003
呼和浩特,HuHeHaoTe,1552,2003
济南,JiNan,2327,2003
昆明,KunMing,2233,2003
兰州,LanZhou,1858,2003
南昌,NanChang,2367,2003
南京,NanJing,3148,2003
南宁,NanNing,2252,2003
宁波,NingBo,2865,2003
青岛,QingDao,2406,2003
厦门,XiaMen,3371,2003
上海,ShangHai,5118,2003
深圳,ShenZhen,6256,2003
沈阳,ShenYang,2916,2003
石家庄,ShiJiaZhuang,1581,2003
太原,TaiYuan,3165,2003
天津,TianJin,2518,2003
乌鲁木齐,WuLuMuQi,2361,2003
武汉,WuHan,2072,2003
西安,XiAn,2148,2003
西宁,XiNing,1644,2003
银川,YinChuan,2139,2003
长春,ChangChun,2155,2003
长沙,ChangSha,2040,2003
郑州,ZhengZhou,2045,2003
重庆,ChongQing,1596,2003
北京,BeiJing,5052.93,2004
成都,ChengDu,2451.74,2004
大连,DaLian,3116.35,2004
福州,FuZhou,2615.55,2004
广州,GuanZhou,4537.02,2004
贵阳,GuiYang,1801.68,2004
哈尔滨,HaErBin,2493.82,2004
海口,HaiKou,2237.11,2004
杭州,HangZhou,4247.83,2004
合肥,HeFei,2550.37,2004
呼和浩特,HuHeHaoTe,1647.71,2004
济南,JiNan,3055.55,2004
昆明,KunMing,2473.78,2004
兰州,LanZhou,2281.76,2004
南昌,NanChang,2429.74,2004
南京,NanJing,3515.53,2004
南宁,NanNing,2761.11,2004
宁波,NingBo,3389.45,2004
青岛,QingDao,2965.49,2004
厦门,XiaMen,4146.25,2004
上海,ShangHai,5855,2004
深圳,ShenZhen,6756.37,2004
沈阳,ShenYang,2911.12,2004
石家庄,ShiJiaZhuang,1547.45,2004
太原,TaiYuan,2675.42,2004
天津,TianJin,3114.61,2004
乌鲁木齐,WuLuMuQi,2147.42,2004
武汉,WuHan,2516.32,2004
西安,XiAn,2624.38,2004
西宁,XiNing,1725.15,2004
银川,YinChuan,2176.61,2004
长春,ChangChun,2260.13,2004
长沙,ChangSha,2039.09,2004
郑州,ZhengZhou,2098.61,2004
重庆,ChongQing,1766.24,2004
北京,BeiJing,6788.09,2005
成都,ChengDu,3223.95,2005
大连,DaLian,3747.44,2005
福州,FuZhou,3212.16,2005
广州,GuanZhou,5366.08,2005
贵阳,GuiYang,2168.9,2005
哈尔滨,HaErBin,2700.23,2005
海口,HaiKou,2650.16,2005
杭州,HangZhou,5618.61,2005
合肥,HeFei,3006.33,2005
呼和浩特,HuHeHaoTe,2056.79,2005
济南,JiNan,3132.74,2005
昆明,KunMing,2639.72,2005
兰州,LanZhou,2589.64,2005
南昌,NanChang,2587.39,2005
南京,NanJing,4076.95,2005
南宁,NanNing,2605.03,2005
宁波,NingBo,5027.49,2005
青岛,QingDao,3744.08,2005
厦门,XiaMen,5502.75,2005
上海,ShangHai,6842,2005
深圳,ShenZhen,7582.27,2005
沈阳,ShenYang,3186.93,2005
石家庄,ShiJiaZhuang,1869.65,2005
太原,TaiYuan,3575.31,2005
天津,TianJin,4054.73,2005
乌鲁木齐,WuLuMuQi,2372.71,2005
武汉,WuHan,3061.77,2005
西安,XiAn,2851.27,2005
西宁,XiNing,1877.16,2005
银川,YinChuan,2593.18,2005
长春,ChangChun,2393.23,2005
长沙,ChangSha,2313.73,2005
郑州,ZhengZhou,2637.66,2005
重庆,ChongQing,2134.99,2005
