数据库：主要城市年度数据
指标：国内生产总值(亿元)
时间：最近20年
地区,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年
北京,30319.98,28014.94,25669.13,23014.59,21330.83,19800.81,17879.40,16251.93,14113.58,12153.03,11115.00,9846.81,8117.78,6969.52,6033.21,5007.21,4315.00,3707.96,3161.66,2678.82
天津,18809.64,18549.19,17885.39,16538.19,15726.93,14442.01,12893.88,11307.28,9224.46,7521.85,6719.01,5252.76,4462.74,3905.64,3110.97,2578.03,2150.76,1919.09,1701.88,1500.95
石家庄,6082.62,6460.88,5927.73,5440.60,5170.27,4863.66,4500.20,4082.68,3401.00,3001.00,2838.37,2360.72,2026.63,1786.78,1554.90,1377.94,1186.81,1085.43,,
太原,3884.48,3382.18,2955.60,2735.34,2531.09,2412.87,2311.40,2080.12,1778.10,1545.00,1468.09,1254.94,1013.65,893.16,640.50,515.71,432.89,386.34,,
呼和浩特,2903.50,2743.72,3173.59,3090.52,2894.05,2710.39,2475.60,2177.27,1865.70,1644.00,1316.37,1101.13,900.08,743.66,512.10,406.20,316.70,211.12,,
沈阳,6292.40,5864.97,5546.45,7272.31,7098.71,7158.57,6602.60,5915.71,5017.50,4269.00,3860.47,3221.15,2519.63,2084.13,1900.69,1603.38,1400.02,1236.47,,
大连,7668.48,7363.92,6810.20,7731.64,7655.58,7650.79,7002.80,6150.63,5158.20,4350.00,3858.25,3130.68,2569.67,2152.23,1961.76,1632.59,1406.10,1235.64,,
长春,7175.71,6530.03,5986.42,5530.03,5342.43,5003.18,4456.60,4003.08,3329.00,2849.00,2561.90,2089.09,1741.19,1678.47,1535.01,1338.04,1150.18,1003.01,,
哈尔滨,6300.48,6355.05,6101.61,5751.21,5340.07,5017.05,4550.20,4242.19,3664.90,3175.00,2868.19,2436.80,2094.08,1830.45,1680.46,1414.80,1232.13,1120.12,,
上海,32679.87,30632.99,28178.65,25123.45,23567.70,21818.15,20181.72,19195.69,17165.98,15046.45,14069.86,12494.01,10572.24,9247.66,8072.83,6694.23,5741.03,5210.12,4771.17,4188.73
南京,12820.40,11715.10,10503.02,9720.77,8820.75,8011.78,7201.60,6145.52,5130.70,4230.00,3775.00,3283.73,2773.78,2411.11,1910.00,1576.33,1297.57,1150.30,,
