数据库：分省年度数据
指标：啤酒产量(万千升、万吨)
时间：最近20年
地区,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年
山东省,471.90,608.82,600.13,589.40,740.95,685.80,665.53,642.75,537.15,476.94,473.92,433.49,365.90,327.73,378.21,321.70,310.35,298.54,296.48,268.33
广东省,387.29,412.26,405.92,424.20,433.39,480.80,474.20,482.24,400.16,350.55,300.15,290.80,273.99,269.49,249.77,213.79,188.62,170.94,158.89,133.21
河南省,256.13,400.34,396.92,390.40,406.36,427.90,369.25,357.00,411.04,372.60,381.89,330.83,243.72,197.51,144.41,112.55,112.19,119.03,101.77,103.04
浙江省,237.31,254.41,246.58,251.00,268.38,289.40,268.55,281.40,283.41,260.51,283.17,303.01,279.82,242.62,225.45,201.68,174.25,165.81,163.69,146.81
四川省,221.36,240.66,232.11,221.00,228.12,238.30,198.00,192.10,158.90,168.43,236.10,193.21,151.70,126.22,100.69,90.12,84.46,80.99,74.52,85.42
辽宁省,213.30,219.53,232.59,242.30,272.10,272.00,264.10,262.20,248.06,246.98,235.12,235.64,204.38,188.30,158.48,149.38,137.07,144.17,149.66,144.26
黑龙江省,185.01,185.17,200.75,208.10,204.79,218.90,210.95,223.67,187.69,175.99,173.11,173.84,216.88,202.52,142.32,202.33,175.32,142.85,143.00,136.55
江苏省,173.11,179.42,177.72,184.20,203.53,220.00,217.61,235.41,258.59,230.90,239.65,241.74,200.26,157.65,153.09,115.90,102.13,92.54,76.75,68.54
湖北省,171.04,165.52,180.52,277.50,224.21,254.70,226.80,202.50,187.06,251.01,212.22,189.38,167.73,131.80,122.92,113.33,104.95,103.57,81.70,90.22
河北省,166.76,174.89,165.00,181.70,166.02,156.60,157.51,160.34,134.68,111.59,132.45,148.08,141.90,159.17,124.42,114.79,128.52,134.86,130.60,122.55
广西壮族自治区,155.60,158.88,182.17,200.10,190.23,185.10,169.45,150.74,138.26,100.91,114.16,103.01,79.35,55.96,46.89,40.33,36.89,33.01,31.99,27.46
福建省,150.28,162.42,160.94,170.20,182.97,200.00,198.07,198.52,188.78,190.83,196.97,192.09,174.38,158.22,275.61,137.27,113.85,116.30,110.40,110.81
北京市,108.46,129.99,135.27,138.20,156.60,168.30,166.21,164.82,164.64,161.28,153.45,172.52,158.74,152.30,138.46,123.51,131.16,124.39,177.18,138.86
贵州省,95.60,92.35,100.37,96.40,80.19,55.00,41.40,36.28,33.36,28.01,23.28,21.58,20.41,16.58,13.18,12.00,10.86,10.36,9.32,9.27
陕西省,93.06,91.73,92.79,94.10,96.00,102.20,102.13,99.00,94.37,89.98,84.04,82.83,75.44,65.38,61.83,53.72,60.89,51.69,36.55,31.09
吉林省,92.17,109.59,137.08,138.50,144.36,148.60,135.25,148.64,142.17,125.32,115.88,115.16,101.68,90.22,87.89,81.54,85.74,84.79,82.61,83.03
江西省,83.62,130.30,110.94,134.00,133.38,124.40,117.15,130.07,123.70,88.19,94.05,88.04,75.71,60.63,49.99,45.31,40.61,42.47,45.56,45.97
云南省,72.82,98.01,105.29,103.70,100.82,96.00,89.09,76.22,54.72,48.17,30.88,35.44,30.12,24.61,20.55,18.67,18.47,17.92,15.68,15.95
重庆市,70.61,78.95,76.09,76.70,74.26,82.70,77.20,77.30,75.19,72.77,67.85,76.49,64.73,53.87,46.21,45.10,41.77,40.71,50.92,51.32
内蒙古自治区,64.62,70.44,99.83,104.10,109.40,109.90,104.30,116.40,113.03,99.65,98.28,84.05,75.69,64.55,51.55,43.54,41.10,41.24,40.50,39.65
湖南省,56.34,73.13,71.56,74.60,76.80,78.70,79.73,127.12,104.19,82.68,75.64,64.16,67.99,56.09,43.70,42.21,37.90,27.99,26.42,25.14
安徽省,52.84,96.05,105.95,119.20,136.48,163.60,152.00,170.60,154.11,156.48,139.04,149.90,143.70,124.44,131.19,122.02,121.05,124.94,115.29,122.99
上海市,49.96,56.43,60.80,61.10,61.10,49.20,59.50,50.90,65.36,67.40,72.69,72.98,72.23,70.45,62.88,43.40,39.31,36.21,33.07,28.80
新疆维吾尔自治区,48.63,45.58,46.39,46.80,46.20,52.80,50.61,51.10,44.09,37.57,38.54,31.61,31.33,27.66,24.61,22.38,21.30,20.63,21.16,18.69
甘肃省,44.55,50.42,59.10,57.80,66.00,68.20,63.17,64.90,65.52,59.47,51.90,40.96,42.61,34.01,36.31,23.85,21.66,20.68,23.85,19.47
天津市,32.83,34.28,31.95,31.30,27.50,26.20,27.10,33.20,31.97,31.69,21.75,26.52,21.89,18.24,17.12,17.33,14.51,13.59,8.27,7.38
宁夏回族自治区,20.79,23.44,25.14,26.40,27.70,25.90,15.40,16.20,14.10,12.00,11.04,9.75,9.57,11.81,9.22,6.29,7.40,5.31,4.67,5.55
山西省,17.52,33.67,33.96,39.50,43.62,43.70,41.92,45.68,33.92,25.44,12.04,17.25,27.17,21.14,18.53,17.14,16.73,15.61,12.36,10.31
西藏自治区,13.34,17.96,16.55,15.80,15.80,17.30,17.50,18.20,13.33,11.30,9.04,8.35,6.33,4.89,3.32,3.29,2.91,2.75,2.50,2.41
海南省,3.45,3.82,5.36,6.20,7.10,7.70,8.80,10.10,16.11,17.05,15.37,15.21,14.05,11.99,9.79,5.82,4.57,4.62,5.40,4.75
青海省,1.94,3.02,10.68,11.10,11.90,11.60,10.10,8.90,12.50,10.48,9.42,6.14,4.18,,,0.19,0.29,0.42,0.56,0.96
注：啤酒2003年及以前计量单位为万吨。
数据来源：国家统计局
