name,type,value,date
山东省,,268.33,1999年
广东省,,133.21,1999年
河南省,,103.04,1999年
浙江省,,146.81,1999年
四川省,,85.42,1999年
辽宁省,,144.26,1999年
黑龙江省,,136.55,1999年
江苏省,,68.54,1999年
湖北省,,90.22,1999年
河北省,,122.55,1999年
广西壮族自治区,,27.46,1999年
福建省,,110.81,1999年
北京市,,138.86,1999年
贵州省,,9.27,1999年
陕西省,,31.09,1999年
山东省,,296.48,2000年
广东省,,158.89,2000年
河南省,,101.77,2000年
浙江省,,163.69,2000年
四川省,,74.52,2000年
辽宁省,,149.66,2000年
黑龙江省,,143,2000年
江苏省,,76.75,2000年
湖北省,,81.7,2000年
河北省,,130.6,2000年
广西壮族自治区,,31.99,2000年
福建省,,110.4,2000年
北京市,,177.18,2000年
贵州省,,9.32,2000年
陕西省,,36.55,2000年
山东省,,298.54,2001年
广东省,,170.94,2001年
河南省,,119.03,2001年
浙江省,,165.81,2001年
四川省,,80.99,2001年
辽宁省,,144.17,2001年
黑龙江省,,142.85,2001年
江苏省,,92.54,2001年
湖北省,,103.57,2001年
河北省,,134.86,2001年
广西壮族自治区,,33.01,2001年
福建省,,116.3,2001年
北京市,,124.39,2001年
贵州省,,10.36,2001年
陕西省,,51.69,2001年
山东省,,310.35,2002年
广东省,,188.62,2002年
河南省,,112.19,2002年
浙江省,,174.25,2002年
四川省,,84.46,2002年
辽宁省,,137.07,2002年
黑龙江省,,175.32,2002年
江苏省,,102.13,2002年
湖北省,,104.95,2002年
河北省,,128.52,2002年
广西壮族自治区,,36.89,2002年
福建省,,113.85,2002年
北京市,,131.16,2002年
贵州省,,10.86,2002年
陕西省,,60.89,2002年
山东省,,321.7,2003年
广东省,,213.79,2003年
河南省,,112.55,2003年
浙江省,,201.68,2003年
四川省,,90.12,2003年
辽宁省,,149.38,2003年
黑龙江省,,202.33,2003年
江苏省,,115.9,2003年
湖北省,,113.33,2003年
河北省,,114.79,2003年
广西壮族自治区,,40.33,2003年
福建省,,137.27,2003年
北京市,,123.51,2003年
贵州省,,12,2003年
陕西省,,53.72,2003年
山东省,,378.21,2004年
广东省,,249.77,2004年
河南省,,144.41,2004年
浙江省,,225.45,2004年
四川省,,100.69,2004年
辽宁省,,158.48,2004年
黑龙江省,,142.32,2004年
江苏省,,153.09,2004年
湖北省,,122.92,2004年
河北省,,124.42,2004年
广西壮族自治区,,46.89,2004年
福建省,,275.61,2004年
