name,type,value,date
元尊,,925939,2019-11-01
元尊,,921149,2019-11-02
元尊,,925046,2019-11-03
元尊,,895249,2019-11-04
元尊,,913159,2019-11-05
元尊,,1030271,2019-11-06
元尊,,950539,2019-11-07
元尊,,930659,2019-11-08
元尊,,956983,2019-11-09
元尊,,920731,2019-11-10
元尊,,868828,2019-11-11
元尊,,952631,2019-11-12
元尊,,936883,2019-11-13
元尊,,867026,2019-11-14
元尊,,861171,2019-11-15
元尊,,882540,2019-11-16
元尊,,1058121,2019-11-17
元尊,,1004267,2019-11-18
元尊,,979170,2019-11-19
元尊,,1058138,2019-11-20
元尊,,1227851,2019-11-21
元尊,,1194537,2019-11-22
元尊,,1052265,2019-11-23
元尊,,1143595,2019-11-24
元尊,,1075725,2019-11-25
元尊,,962087,2019-11-26
元尊,,923081,2019-11-27
元尊,,897632,2019-11-28
元尊,,919120,2019-11-29
元尊,,961012,2019-11-30
逆天邪神,,723297,2019-11-01
逆天邪神,,767298,2019-11-02
逆天邪神,,758683,2019-11-03
逆天邪神,,727252,2019-11-04
逆天邪神,,677812,2019-11-05
逆天邪神,,675654,2019-11-06
逆天邪神,,703202,2019-11-07
逆天邪神,,664377,2019-11-08
逆天邪神,,641308,2019-11-09
逆天邪神,,610668,2019-11-10
逆天邪神,,597874,2019-11-11
逆天邪神,,631851,2019-11-12
逆天邪神,,640000,2019-11-13
逆天邪神,,628881,2019-11-14
逆天邪神,,636208,2019-11-15
逆天邪神,,626741,2019-11-16
逆天邪神,,633381,2019-11-17
逆天邪神,,548302,2019-11-18
逆天邪神,,569386,2019-11-19
逆天邪神,,553409,2019-11-20
逆天邪神,,573940,2019-11-21
逆天邪神,,558930,2019-11-22
逆天邪神,,556823,2019-11-23
逆天邪神,,548384,2019-11-24
逆天邪神,,514497,2019-11-25
逆天邪神,,496530,2019-11-26
逆天邪神,,479663,2019-11-27
逆天邪神,,486276,2019-11-28
逆天邪神,,505377,2019-11-29
逆天邪神,,495560,2019-11-30
武炼巅峰,,723048,2019-11-01
武炼巅峰,,694749,2019-11-02
武炼巅峰,,704377,2019-11-03
武炼巅峰,,677992,2019-11-04
武炼巅峰,,566257,2019-11-05
武炼巅峰,,542845,2019-11-06
武炼巅峰,,635668,2019-11-07
武炼巅峰,,546299,2019-11-08
武炼巅峰,,520839,2019-11-09
武炼巅峰,,587262,2019-11-10
武炼巅峰,,523178,2019-11-11
武炼巅峰,,503712,2019-11-12
武炼巅峰,,577059,2019-11-13
武炼巅峰,,501354,2019-11-14
武炼巅峰,,474976,2019-11-15
武炼巅峰,,511713,2019-11-16
武炼巅峰,,545097,2019-11-17
武炼巅峰,,571166,2019-11-18
武炼巅峰,,575008,2019-11-19
武炼巅峰,,574271,2019-11-20
武炼巅峰,,529356,2019-11-21
武炼巅峰,,511662,2019-11-22
武炼巅峰,,576698,2019-11-23
武炼巅峰,,514062,2019-11-24
武炼巅峰,,504048,2019-11-25
武炼巅峰,,594231,2019-11-26
武炼巅峰,,507470,2019-11-27
武炼巅峰,,482460,2019-11-28
武炼巅峰,,598583,2019-11-29
武炼巅峰,,503345,2019-11-30
剑来,,481549,2019-11-01
剑来,,395645,2019-11-02
剑来,,392695,2019-11-03
剑来,,429885,2019-11-04
剑来,,459430,2019-11-05
剑来,,407191,2019-11-06
剑来,,407372,2019-11-07
剑来,,410925,2019-11-08
剑来,,399318,2019-11-09
剑来,,387580,2019-11-10
剑来,,372921,2019-11-11
剑来,,389984,2019-11-12
剑来,,389145,2019-11-13
剑来,,383351,2019-11-14
剑来,,361424,2019-11-15
剑来,,345378,2019-11-16
剑来,,385679,2019-11-17
剑来,,397414,2019-11-18
剑来,,345482,2019-11-19
剑来,,381947,2019-11-20
剑来,,369105,2019-11-21
剑来,,357777,2019-11-22
剑来,,375110,2019-11-23
剑来,,405816,2019-11-24
剑来,,373776,2019-11-25
剑来,,364446,2019-11-26
剑来,,375962,2019-11-27
剑来,,384762,2019-11-28
剑来,,388106,2019-11-29
剑来,,411028,2019-11-30
万古神帝,,372423,2019-11-01
万古神帝,,414530,2019-11-02
万古神帝,,484260,2019-11-03
万古神帝,,349478,2019-11-04
万古神帝,,396789,2019-11-05
万古神帝,,403039,2019-11-06
万古神帝,,386584,2019-11-07
万古神帝,,377254,2019-11-08
万古神帝,,367560,2019-11-09
万古神帝,,341775,2019-11-10
万古神帝,,352935,2019-11-11
万古神帝,,364704,2019-11-12
万古神帝,,355295,2019-11-13
万古神帝,,357028,2019-11-14
万古神帝,,364243,2019-11-15
万古神帝,,452205,2019-11-16
万古神帝,,441485,2019-11-17
万古神帝,,414862,2019-11-18
万古神帝,,422964,2019-11-19
万古神帝,,383976,2019-11-20
万古神帝,,381130,2019-11-21
万古神帝,,376445,2019-11-22
万古神帝,,368533,2019-11-23
万古神帝,,370173,2019-11-24
万古神帝,,350796,2019-11-25
万古神帝,,329241,2019-11-26
万古神帝,,336765,2019-11-27
万古神帝,,338132,2019-11-28
万古神帝,,388753,2019-11-29
万古神帝,,387086,2019-11-30
圣墟,,555736,2019-11-01
圣墟,,533150,2019-11-02
圣墟,,578861,2019-11-03
圣墟,,543825,2019-11-04
圣墟,,575358,2019-11-05
圣墟,,550348,2019-11-06
圣墟,,590939,2019-11-07
圣墟,,579704,2019-11-08
圣墟,,644161,2019-11-09
圣墟,,644503,2019-11-10
圣墟,,636016,2019-11-11
圣墟,,653073,2019-11-12
圣墟,,629807,2019-11-13
圣墟,,608787,2019-11-14
圣墟,,579874,2019-11-15
圣墟,,572764,2019-11-16
圣墟,,569992,2019-11-17
圣墟,,544696,2019-11-18
圣墟,,544210,2019-11-19
圣墟,,560841,2019-11-20
圣墟,,610610,2019-11-21
圣墟,,567282,2019-11-22
圣墟,,564918,2019-11-23
圣墟,,568017,2019-11-24
圣墟,,569882,2019-11-25
圣墟,,599065,2019-11-26
圣墟,,606156,2019-11-27
圣墟,,656989,2019-11-28
圣墟,,661884,2019-11-29
圣墟,,661123,2019-11-30
凡人修仙传仙界,,495248,2019-11-01
凡人修仙传仙界,,581811,2019-11-02
凡人修仙传仙界,,484838,2019-11-03
凡人修仙传仙界,,438653,2019-11-04
凡人修仙传仙界,,463168,2019-11-05
凡人修仙传仙界,,432818,2019-11-06
凡人修仙传仙界,,426765,2019-11-07
凡人修仙传仙界,,418447,2019-11-08
凡人修仙传仙界,,421461,2019-11-09
凡人修仙传仙界,,542179,2019-11-10
凡人修仙传仙界,,557189,2019-11-11
凡人修仙传仙界,,449924,2019-11-12
凡人修仙传仙界,,592331,2019-11-13
凡人修仙传仙界,,452093,2019-11-14
凡人修仙传仙界,,478590,2019-11-15
凡人修仙传仙界,,447123,2019-11-16
凡人修仙传仙界,,596526,2019-11-17
凡人修仙传仙界,,600202,2019-11-18
凡人修仙传仙界,,481352,2019-11-19
凡人修仙传仙界,,506143,2019-11-20
凡人修仙传仙界,,474261,2019-11-21
凡人修仙传仙界,,506636,2019-11-22
凡人修仙传仙界,,622041,2019-11-23
凡人修仙传仙界,,668661,2019-11-24
凡人修仙传仙界,,475094,2019-11-25
凡人修仙传仙界,,592555,2019-11-26
凡人修仙传仙界,,483778,2019-11-27
凡人修仙传仙界,,511264,2019-11-28
凡人修仙传仙界,,464509,2019-11-29
凡人修仙传仙界,,629569,2019-11-30
沧元图,,324773,2019-11-01
沧元图,,314610,2019-11-02
沧元图,,308669,2019-11-03
沧元图,,282826,2019-11-04
沧元图,,276810,2019-11-05
沧元图,,275657,2019-11-06
沧元图,,290730,2019-11-07
沧元图,,277005,2019-11-08
沧元图,,283356,2019-11-09
沧元图,,272980,2019-11-10
沧元图,,265811,2019-11-11
