数据库：分省年度数据
指标：福利彩票销售额(亿元)
时间：最近20年
地区,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年
广东省,242.7,228.8,211.3,205.1,206.8,189.9,169.6,140.7,113.6
浙江省,167.8,156.4,151.3,146.9,137.8,124.5,102.4,92.7,73.4
江苏省,159.8,153.8,148.8,144.5,139.1,128.5,134.0,117.9,72.3
山东省,153.0,151.5,146.9,144.9,147.8,134.4,122.4,109.7,89.8
辽宁省,105.1,105.3,109.5,109.6,106.6,92.9,79.8,62.8,54.4
湖北省,104.6,102.8,101.4,93.9,89.3,73.8,60.8,51.1,40.7
陕西省,98.9,91.6,86.2,82.7,75.7,63.1,50.3,40.1,25.7
四川省,92.4,89.2,85.0,83.5,78.2,67.8,59.5,48.7,36.8
湖南省,91.7,89.0,85.4,77.7,72.9,60.3,52.9,40.9,26.3
云南省,81.4,75.8,72.9,64.9,58.3,49.9,44.9,39.6,33.0
安徽省,75.8,74.1,68.2,65.6,69.3,59.1,43.7,35.6,25.2
河南省,70.1,68.9,66.2,62.7,65.2,61.8,56.9,45.3,32.2
内蒙古自治区,64.1,62.7,58.0,53.6,49.6,39.6,28.1,25.9,20.1
河北省,58.9,55.9,62.7,76.4,80.1,70.4,54.6,47.1,34.7
重庆市,58.3,55.5,44.9,45.6,62.0,43.5,38.2,34.6,21.9
广西壮族自治区,55.2,55.2,47.7,50.7,70.9,47.7,38.5,28.2,21.0
新疆维吾尔自治区,52.2,46.1,42.0,39.8,37.0,34.0,27.7,22.5,19.3
上海市,51.2,48.6,45.0,42.9,48.2,37.5,38.4,38.3,29.5
江西省,51.2,42.4,29.6,32.3,61.5,48.7,35.2,23.1,14.4
福建省,50.1,50.7,50.2,50.9,50.0,48.0,37.2,32.9,24.1
甘肃省,47.7,49.5,45.0,45.3,46.5,33.0,22.8,18.3,14.8
北京市,47.3,46.7,47.1,50.4,53.4,50.9,50.7,50.4,38.2
黑龙江省,46.0,47.7,50.5,50.1,51.7,44.0,35.8,28.6,24.3
山西省,40.7,44.0,43.6,42.4,40.8,29.3,25.5,21.4,16.0
吉林省,39.6,34.6,35.7,35.0,46.3,41.6,25.6,20.8,17.6
天津市,38.5,38.2,38.1,37.8,42.6,30.0,22.8,16.1,12.4
贵州省,28.3,28.2,26.9,25.0,21.5,20.2,18.1,16.0,14.4
西藏自治区,24.0,26.8,15.8,10.7,7.3,4.3,3.1,3.3,2.5
宁夏回族自治区,18.6,17.7,17.1,15.3,15.4,10.7,9.1,7.7,6.4
青海省,16.2,16.8,15.4,11.7,11.4,9.6,7.5,5.8,4.6
海南省,14.2,15.4,16.7,17.4,16.6,16.0,14.3,11.9,8.4
数据来源：国家统计局
