name,type,value,date
广东省,,113.6,2010年
浙江省,,73.4,2010年
江苏省,,72.3,2010年
山东省,,89.8,2010年
辽宁省,,54.4,2010年
湖北省,,40.7,2010年
陕西省,,25.7,2010年
四川省,,36.8,2010年
湖南省,,26.3,2010年
云南省,,33,2010年
安徽省,,25.2,2010年
河南省,,32.2,2010年
内蒙古自治区,,20.1,2010年
河北省,,34.7,2010年
重庆市,,21.9,2010年
广西壮族自治区,,21,2010年
广东省,,140.7,2011年
浙江省,,92.7,2011年
江苏省,,117.9,2011年
山东省,,109.7,2011年
辽宁省,,62.8,2011年
湖北省,,51.1,2011年
陕西省,,40.1,2011年
四川省,,48.7,2011年
湖南省,,40.9,2011年
云南省,,39.6,2011年
安徽省,,35.6,2011年
河南省,,45.3,2011年
内蒙古自治区,,25.9,2011年
河北省,,47.1,2011年
重庆市,,34.6,2011年
广西壮族自治区,,28.2,2011年
广东省,,169.6,2012年
浙江省,,102.4,2012年
江苏省,,134,2012年
山东省,,122.4,2012年
辽宁省,,79.8,2012年
湖北省,,60.8,2012年
陕西省,,50.3,2012年
四川省,,59.5,2012年
湖南省,,52.9,2012年
云南省,,44.9,2012年
安徽省,,43.7,2012年
河南省,,56.9,2012年
内蒙古自治区,,28.1,2012年
河北省,,54.6,2012年
重庆市,,38.2,2012年
广西壮族自治区,,38.5,2012年
广东省,,189.9,2013年
浙江省,,124.5,2013年
江苏省,,128.5,2013年
山东省,,134.4,2013年
辽宁省,,92.9,2013年
湖北省,,73.8,2013年
陕西省,,63.1,2013年
四川省,,67.8,2013年
湖南省,,60.3,2013年
云南省,,49.9,2013年
安徽省,,59.1,2013年
河南省,,61.8,2013年
内蒙古自治区,,39.6,2013年
河北省,,70.4,2013年
重庆市,,43.5,2013年
广西壮族自治区,,47.7,2013年
广东省,,206.8,2014年
浙江省,,137.8,2014年
江苏省,,139.1,2014年
山东省,,147.8,2014年
辽宁省,,106.6,2014年
湖北省,,89.3,2014年
陕西省,,75.7,2014年
四川省,,78.2,2014年
湖南省,,72.9,2014年
云南省,,58.3,2014年
安徽省,,69.3,2014年
河南省,,65.2,2014年
内蒙古自治区,,49.6,2014年
河北省,,80.1,2014年
重庆市,,62,2014年
广西壮族自治区,,70.9,2014年
广东省,,205.1,2015年
浙江省,,146.9,2015年
江苏省,,144.5,2015年
山东省,,144.9,2015年
辽宁省,,109.6,2015年
湖北省,,93.9,2015年
陕西省,,82.7,2015年
四川省,,83.5,2015年
湖南省,,77.7,2015年
云南省,,64.9,2015年
安徽省,,65.6,2015年
河南省,,62.7,2015年
内蒙古自治区,,53.6,2015年
河北省,,76.4,2015年
重庆市,,45.6,2015年
广西壮族自治区,,50.7,2015年
广东省,,211.3,2016年
浙江省,,151.3,2016年
江苏省,,148.8,2016年
山东省,,146.9,2016年
辽宁省,,109.5,2016年
湖北省,,101.4,2016年
陕西省,,86.2,2016年
四川省,,85,2016年
湖南省,,85.4,2016年
云南省,,72.9,2016年
安徽省,,68.2,2016年
河南省,,66.2,2016年
内蒙古自治区,,58,2016年
河北省,,62.7,2016年
重庆市,,44.9,2016年
广西壮族自治区,,47.7,2016年
广东省,,228.8,2017年
浙江省,,156.4,2017年
江苏省,,153.8,2017年
山东省,,151.5,2017年
辽宁省,,105.3,2017年
湖北省,,102.8,2017年
陕西省,,91.6,2017年
四川省,,89.2,2017年
湖南省,,89,2017年
云南省,,75.8,2017年
安徽省,,74.1,2017年
河南省,,68.9,2017年
内蒙古自治区,,62.7,2017年
河北省,,55.9,2017年
重庆市,,55.5,2017年
广西壮族自治区,,55.2,2017年
广东省,,242.7,2018年
浙江省,,167.8,2018年
江苏省,,159.8,2018年
山东省,,153,2018年
辽宁省,,105.1,2018年
湖北省,,104.6,2018年
陕西省,,98.9,2018年
四川省,,92.4,2018年
湖南省,,91.7,2018年
云南省,,81.4,2018年
安徽省,,75.8,2018年
河南省,,70.1,2018年
内蒙古自治区,,64.1,2018年
河北省,,58.9,2018年
重庆市,,58.3,2018年
广西壮族自治区,,55.2,2018年
