系列 Name,系列 Code,国家 Name,国家 Code,1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
总储蓄（现价美元）,NY.GNS.ICTR.CD,不丹,BTN,..,..,..,..,..,..,..,..,..,..,..,453474920.22283,314129444.393184,425121821.087522,380139570.672002,535697150.245909,721462107.568153,868223816.387764,437339225.846114,528502340.895103,382467581.148358,624170942.898631,682693822.751889,528496498.986112,..
总储蓄（现价美元）,NY.GNS.ICTR.CD,东帝汶,TLS,..,..,..,..,..,..,..,..,..,..,..,724319841.600826,1219219826.51264,2439025413.36112,1587140579.31877,2282707816.05504,3493239380.64842,2996910005.23876,2571298406.33274,1536612626.60358,1090163898.58556,345346561.85939,305915370.146381,..,..
总储蓄（现价美元）,NY.GNS.ICTR.CD,中国,CHN,290736396701.833,335207738680.811,382646678551.955,395108553962.387,400494086860.829,433910251201.392,500566483211.511,573722147299.069,706867581673.059,896779645046.859,1055694191246.18,1336165671671.78,1804759869591.2,2399902017808.92,2596383593320.2,3162497896472.41,3775508337260.08,4220853019920.25,4636403434613.72,5109122424525.13,5143898014794.8,5064810435755.33,5654060767505.39,6294109303934.27,..
总储蓄（现价美元）,NY.GNS.ICTR.CD,中国澳门特别行政区,MAC,..,..,..,..,..,..,..,3081403699.09459,3675203904.11348,5231464469.69936,6006899070.66553,7166145079.43989,10707318854.9909,9747089273.80641,10043559799.0171,14830333527.6614,20073918683.8168,23218428995.9108,27990207929.2438,29768518180.5149,22851271634.6136,22106019963.7607,26516864808.8171,28778450016.5067,..
总储蓄（现价美元）,NY.GNS.ICTR.CD,中国香港特别行政区,HKG,..,..,..,51853129583.1233,52077899065.5362,54896127408.3294,53574772293.0597,51690369762.2348,53524466313.6336,54629016169.378,59810807472.1278,67694370721.6056,72824942374.0925,78991034761.0973,67918911490.4028,70630441108.3742,73811290861.5337,70380524191.3875,70438269224.9463,73489230617.44,76908354650.9708,81718821206.9426,91216071234.1724,94341043228.3062,..
总储蓄（现价美元）,NY.GNS.ICTR.CD,中非共和国,CAF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
总储蓄（现价美元）,NY.GNS.ICTR.CD,丹麦,DNK,42255024155.0261,43032215238.441,41373116041.8927,41540109694.3173,43240429610.2215,40956795264.7809,42730126502.5594,45120374476.3758,54960826220.2741,64876025546.5375,69840704637.983,78206896067.333,85415912785.301,95012873165.2531,72493033375.7909,79299368204.2383,88461114301.1165,84213759314.5498,94320852910.2406,102380902334.071,87393700939.2023,91653664781.3597,98280704173.7719,102159232971.623,..
总储蓄（现价美元）,NY.GNS.ICTR.CD,乌克兰,UKR,11074750704.8295,8900911088.3478,9422107483.8428,7703821848.9886,7090704080.16029,7642433075.43374,10188489957.3724,12257313408.1778,14560601215.1443,21254205188.9453,23138513864.2262,26421297029.703,35289524752.4753,39748072296.4763,19874070130.4035,23870758304.35,25736589587.8307,22971745213.365,16011379582.1344,13186864705.9318,14619475392.2004,16516452266.6166,14361590646.9248,13890400029.4112,..
总储蓄（现价美元）,NY.GNS.ICTR.CD,乌兹别克斯坦,UZB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22320946517.8244,21469299513.5186,21157581008.8408,..
总储蓄（现价美元）,NY.GNS.ICTR.CD,乌干达,UGA,865301134.451993,1319792994.76117,1519042063.27859,1241985619.98082,1054686216.85701,889133051.022383,850591554.200854,1026619788.23574,1162397477.67042,1663036136.34881,1905694005.35086,1746155911.57105,2027223195.3468,3204089108.02593,3249059043.41427,3873104623.09074,3700401781.95091,4482656959.12049,5181728316.31978,5384413966.32868,4630732763.34719,4696828591.14257,5060871612.04326,5025024123.82153,..
