系列 Name,系列 Code,国家 Name,国家 Code,1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
总储蓄（现价美元）,NY.GNS.ICTR.CD,不丹,BTN,..,..,..,..,..,..,..,..,..,..,..,"453,474,920.22","314,129,444.39","425,121,821.09","380,139,570.67","535,697,150.25","721,462,107.57","868,223,816.39","437,339,225.85","528,502,340.90","382,467,581.15","624,170,942.90","682,693,822.75","528,496,498.99",..
总储蓄（现价美元）,NY.GNS.ICTR.CD,东帝汶,TLS,..,..,..,..,..,..,..,..,..,..,..,"724,319,841.60","1,219,219,826.51","2,439,025,413.36","1,587,140,579.32","2,282,707,816.06","3,493,239,380.65","2,996,910,005.24","2,571,298,406.33","1,536,612,626.60","1,090,163,898.59","345,346,561.86","305,915,370.15",..,..
总储蓄（现价美元）,NY.GNS.ICTR.CD,中国,CHN,"290,736,396,701.83","335,207,738,680.81","382,646,678,551.96","395,108,553,962.39","400,494,086,860.83","433,910,251,201.39","500,566,483,211.51","573,722,147,299.07","706,867,581,673.06","896,779,645,046.86","1,055,694,191,246.18","1,336,165,671,671.78","1,804,759,869,591.20","2,399,902,017,808.92","2,596,383,593,320.20","3,162,497,896,472.41","3,775,508,337,260.08","4,220,853,019,920.25","4,636,403,434,613.72","5,109,122,424,525.13","5,143,898,014,794.80","5,064,810,435,755.33","5,654,060,767,505.39","6,294,109,303,934.27",..
总储蓄（现价美元）,NY.GNS.ICTR.CD,中国澳门特别行政区,MAC,..,..,..,..,..,..,..,"3,081,403,699.09","3,675,203,904.11","5,231,464,469.70","6,006,899,070.67","7,166,145,079.44","10,707,318,854.99","9,747,089,273.81","10,043,559,799.02","14,830,333,527.66","20,073,918,683.82","23,218,428,995.91","27,990,207,929.24","29,768,518,180.51","22,851,271,634.61","22,106,019,963.76","26,516,864,808.82","28,778,450,016.51",..
总储蓄（现价美元）,NY.GNS.ICTR.CD,中国香港特别行政区,HKG,..,..,..,"51,853,129,583.12","52,077,899,065.54","54,896,127,408.33","53,574,772,293.06","51,690,369,762.23","53,524,466,313.63","54,629,016,169.38","59,810,807,472.13","67,694,370,721.61","72,824,942,374.09","78,991,034,761.10","67,918,911,490.40","70,630,441,108.37","73,811,290,861.53","70,380,524,191.39","70,438,269,224.95","73,489,230,617.44","76,908,354,650.97","81,718,821,206.94","91,216,071,234.17","94,341,043,228.31",..
总储蓄（现价美元）,NY.GNS.ICTR.CD,中非共和国,CAF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
总储蓄（现价美元）,NY.GNS.ICTR.CD,丹麦,DNK,"42,255,024,155.03","43,032,215,238.44","41,373,116,041.89","41,540,109,694.32","43,240,429,610.22","40,956,795,264.78","42,730,126,502.56","45,120,374,476.38","54,960,826,220.27","64,876,025,546.54","69,840,704,637.98","78,206,896,067.33","85,415,912,785.30","95,012,873,165.25","72,493,033,375.79","79,299,368,204.24","88,461,114,301.12","84,213,759,314.55","94,320,852,910.24","102,380,902,334.07","87,393,700,939.20","91,653,664,781.36","98,280,704,173.77","102,159,232,971.62",..
总储蓄（现价美元）,NY.GNS.ICTR.CD,乌克兰,UKR,"11,074,750,704.83","8,900,911,088.35","9,422,107,483.84","7,703,821,848.99","7,090,704,080.16","7,642,433,075.43","10,188,489,957.37","12,257,313,408.18","14,560,601,215.14","21,254,205,188.95","23,138,513,864.23","26,421,297,029.70","35,289,524,752.48","39,748,072,296.48","19,874,070,130.40","23,870,758,304.35","25,736,589,587.83","22,971,745,213.37","16,011,379,582.13","13,186,864,705.93","14,619,475,392.20","16,516,452,266.62","14,361,590,646.92","13,890,400,029.41",..
总储蓄（现价美元）,NY.GNS.ICTR.CD,乌兹别克斯坦,UZB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"22,320,946,517.82","21,469,299,513.52","21,157,581,008.84",..
总储蓄（现价美元）,NY.GNS.ICTR.CD,乌干达,UGA,"865,301,134.45","1,319,792,994.76","1,519,042,063.28","1,241,985,619.98","1,054,686,216.86","889,133,051.02","850,591,554.20","1,026,619,788.24","1,162,397,477.67","1,663,036,136.35","1,905,694,005.35","1,746,155,911.57","2,027,223,195.35","3,204,089,108.03","3,249,059,043.41","3,873,104,623.09","3,700,401,781.95","4,482,656,959.12","5,181,728,316.32","5,384,413,966.33","4,630,732,763.35","4,696,828,591.14","5,060,871,612.04","5,025,024,123.82",..
总储蓄（现价美元）,NY.GNS.ICTR.CD,乌拉圭,URY,"2,725,409,828.32","2,886,317,205.65","3,251,346,116.21","3,539,544,714.90","2,878,765,395.57","2,503,653,329.98","2,391,647,505.95","2,093,301,957.14","1,797,892,118.82","2,288,816,917.91","3,052,138,011.27","3,230,431,485.37","3,949,556,939.55","4,830,823,177.69","5,567,825,552.94","6,853,360,928.88","8,348,136,966.20","6,520,720,106.34","8,304,406,725.62","7,556,535,228.65","8,091,109,254.82","7,780,167,613.66","7,144,027,735.03","7,146,846,737.67",..
总储蓄（现价美元）,NY.GNS.ICTR.CD,乍得,TCD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
总储蓄（现价美元）,NY.GNS.ICTR.CD,也门共和国,YEM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
总储蓄（现价美元）,NY.GNS.ICTR.CD,亚美尼亚,ARM,"-72,648,002.71","28,512,923.06","65,566,845.60","15,904,489.23","52,285,696.39","53,226,302.69","198,498,071.44","339,546,884.03","558,753,846.97","788,338,410.97","1,342,359,700.95","2,009,763,655.06","2,904,737,931.22","3,591,188,468.24","1,484,915,815.02","1,521,769,078.49","1,478,597,205.61","1,360,582,740.61","1,607,572,229.96","1,541,889,309.04","1,924,318,989.93","1,774,051,159.80","1,949,220,038.14","1,692,443,553.63",..
总储蓄（现价美元）,NY.GNS.ICTR.CD,以色列,ISR,"21,122,573,101.32","23,390,791,515.49","25,336,086,142.52","25,996,274,953.29","25,865,088,646.52","28,255,623,208.99","27,453,767,030.46","23,952,965,372.11","25,585,895,513.93","29,093,167,581.44","33,926,206,361.83","38,552,103,981.33","43,674,590,949.59","46,188,653,149.39","45,580,217,198.59","52,216,288,460.07","59,700,534,315.91","56,098,055,104.31","66,994,788,810.52","76,187,305,172.69","75,545,949,629.09","79,098,063,381.27","84,344,035,492.46","90,369,682,733.58",..
总储蓄（现价美元）,NY.GNS.ICTR.CD,伊拉克,IRQ,..,..,..,..,..,..,..,..,..,..,"25,210,063,451.09","31,152,164,305.43","39,074,376,311.13","72,659,121,976.54","30,899,475,555.56","49,834,097,863.25","83,373,896,068.38","91,188,026,316.99","65,702,353,001.72","66,365,316,123.50","32,599,026,272.29","22,360,420,942.11","36,438,356,661.03","45,018,217,069.88",..
总储蓄（现价美元）,NY.GNS.ICTR.CD,伊朗伊斯兰共和国,IRN,"35,435,735,535.86","47,188,297,436.02","41,066,764,414.54","33,273,542,175.64","40,687,226,833.08","41,270,007,833.28",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
总储蓄（现价美元）,NY.GNS.ICTR.CD,伯利兹,BLZ,"96,463,750.00","76,916,600.00","73,414,350.00","60,067,450.00","64,407,161.82","113,180,553.80","48,682,340.64","42,318,900.58","28,054,414.40","43,478,021.44","88,181,125.68","186,787,927.66","175,538,170.98","212,622,932.76","171,064,452.49","138,675,094.03","186,414,806.19","182,021,871.28","168,115,722.43","181,344,195.90","224,803,318.44","173,707,643.68","170,045,078.25","158,423,878.94",..
总储蓄（现价美元）,NY.GNS.ICTR.CD,佛得角,CPV,..,..,..,..,..,..,..,..,..,..,..,..,"566,482,167.64","667,660,329.94","572,229,685.62","575,773,809.04","634,792,426.86","493,117,426.06","529,765,284.50","482,165,708.30","449,594,836.86","545,541,597.64","538,769,820.97","685,904,099.55",..
总储蓄（现价美元）,NY.GNS.ICTR.CD,俄罗斯联邦,RUS,"110,839,812,067.78","106,221,337,588.58","88,863,703,802.94","52,357,805,569.29","55,335,808,952.07","93,896,643,853.54","99,685,381,772.37","99,408,361,690.59","121,642,827,813.76","178,844,449,583.48","233,381,147,979.10","303,521,521,048.88","406,377,571,796.50","499,315,436,610.17","255,241,733,895.23","400,805,124,041.64","600,615,386,985.91","615,836,982,549.95","566,319,002,489.05","513,785,465,630.62","364,387,237,897.95","325,434,778,641.61","410,626,307,109.64","500,353,461,323.51",..
总储蓄（现价美元）,NY.GNS.ICTR.CD,保加利亚,BGR,"4,737,289,880.95","1,114,541,202.92","2,312,036,637.14","3,697,767,595.59","2,100,360,872.80","1,693,247,069.23","2,121,965,388.93","2,823,703,323.23","3,392,156,058.37","4,240,869,284.43","4,772,481,772.88","4,888,304,118.49","4,323,489,601.50","8,341,645,966.05","10,790,505,737.63","11,164,146,171.65","13,117,193,426.95","12,040,162,049.93","13,372,113,664.50","13,339,578,536.16","11,510,481,784.18","13,967,011,289.59","16,396,715,669.84","18,040,421,285.46",..
总储蓄（现价美元）,NY.GNS.ICTR.CD,克罗地亚,HRV,..,..,..,..,..,"3,924,385,354.31","4,371,913,303.48","4,714,243,803.99","6,395,145,753.13","8,385,820,147.92","8,696,520,646.09","10,547,001,542.83","12,654,809,305.11","13,987,055,687.44","11,459,117,090.61","11,003,612,652.48","10,953,994,347.85","9,325,573,494.38","10,317,706,693.21","10,840,318,914.28","11,415,211,911.92","11,405,690,356.20","13,589,198,672.43","14,759,497,571.23",..
总储蓄（现价美元）,NY.GNS.ICTR.CD,关岛,GUM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
