name,type,value,date
澳大利亚,,75925153860 ,1995年
澳大利亚,,83874039454 ,1996年
澳大利亚,,95028819749 ,1997年
澳大利亚,,86430855210 ,1998年
澳大利亚,,80380685836 ,1999年
澳大利亚,,88201201397 ,2000年
澳大利亚,,78798852970 ,2001年
澳大利亚,,86213779627 ,2002年
澳大利亚,,98596844615 ,2003年
澳大利亚,,132235253288 ,2004年
澳大利亚,,145896753909 ,2005年
澳大利亚,,162845645730 ,2006年
澳大利亚,,182959423105 ,2007年
澳大利亚,,231802304347 ,2008年
澳大利亚,,222778048234 ,2009年
澳大利亚,,249820046834 ,2010年
澳大利亚,,325431043884 ,2011年
澳大利亚,,375844182030 ,2012年
澳大利亚,,378144580838 ,2013年
澳大利亚,,346232819483 ,2014年
澳大利亚,,306026322896 ,2015年
澳大利亚,,249810304432 ,2016年
澳大利亚,,290907403795 ,2017年
澳大利亚,,311546586293 ,2018年
巴西,,110383340961 ,1995年
巴西,,107875907372 ,1996年
巴西,,107483219388 ,1997年
巴西,,99606214304 ,1998年
巴西,,63506133521 ,1999年
巴西,,91704574975 ,2000年
巴西,,76046196519 ,2001年
巴西,,78264507279 ,2002年
巴西,,91664197190 ,2003年
巴西,,126231513264 ,2004年
巴西,,161510509107 ,2005年
巴西,,203914374826 ,2006年
巴西,,270285054945 ,2007年
巴西,,326053670539 ,2008年
巴西,,273063876459 ,2009年
巴西,,396618093284 ,2010年
巴西,,485727014097 ,2011年
巴西,,444971681381 ,2012年
巴西,,453429395702 ,2013年
巴西,,393410917243 ,2014年
巴西,,256855343293 ,2015年
巴西,,241828833992 ,2016年
巴西,,293411993738 ,2017年
巴西,,269616008861 ,2018年
德国,,595716709531 ,1995年
德国,,562417968642 ,1996年
德国,,504016891966 ,1997年
德国,,520028028072 ,1998年
德国,,495077765191 ,1999年
德国,,440421120624 ,2000年
德国,,438191768753 ,2001年
德国,,468197245022 ,2002年
德国,,543988979428 ,2003年
德国,,683152797624 ,2004年
德国,,686704879882 ,2005年
德国,,788063808688 ,2006年
德国,,967035734648 ,2007年
德国,,1012452885595 ,2008年
德国,,828761597106 ,2009年
德国,,875405125278 ,2010年
德国,,1041728459613 ,2011年
德国,,945340598782 ,2012年
德国,,992235851335 ,2013年
德国,,1071715171545 ,2014年
德国,,959847636980 ,2015年
德国,,996374116792 ,2016年
德国,,1056075685624 ,2017年
德国,,1158041558816 ,2018年
俄罗斯联邦,,110839812068 ,1995年
俄罗斯联邦,,106221337589 ,1996年
俄罗斯联邦,,88863703803 ,1997年
俄罗斯联邦,,52357805569 ,1998年
俄罗斯联邦,,55335808952 ,1999年
俄罗斯联邦,,93896643854 ,2000年
俄罗斯联邦,,99685381772 ,2001年
