name,type,value,date
安徽省,,8728,2003年
北京市,,2748,2003年
福建省,,6220,2003年
甘肃省,,3803,2003年
广东省,,15052,2003年
广西壮族自治区,,9469,2003年
贵州省,,5856,2003年
海南省,,1627,2003年
河北省,,10676,2003年
河南省,,14285,2003年
黑龙江省,,5984,2003年
湖北省,,8403,2003年
湖南省,,10847,2003年
吉林省,,4450,2003年
江苏省,,8444,2003年
江西省,,5742,2003年
辽宁省,,6217,2003年
内蒙古自治区,,3357,2003年
宁夏回族自治区,,813,2003年
青海省,,781,2003年
山东省,,13854,2003年
山西省,,4928,2003年
陕西省,,5559,2003年
上海市,,2816,2003年
四川省,,10590,2003年
天津市,,1481,2003年
西藏自治区,,611,2003年
新疆维吾尔自治区,,3133,2003年
云南省,,6726,2003年
浙江省,,6179,2003年
重庆市,,3856,2003年
安徽省,,9923,2004年
北京市,,2828,2004年
福建省,,5913,2004年
甘肃省,,4110,2004年
广东省,,14018,2004年
广西壮族自治区,,10001,2004年
贵州省,,5904,2004年
海南省,,1586,2004年
河北省,,11679,2004年
河南省,,14324,2004年
黑龙江省,,5823,2004年
湖北省,,9500,2004年
湖南省,,10813,2004年
吉林省,,4628,2004年
江苏省,,8597,2004年
江西省,,5749,2004年
辽宁省,,6150,2004年
内蒙古自治区,,3519,2004年
宁夏回族自治区,,852,2004年
青海省,,769,2004年
山东省,,13017,2004年
山西省,,4681,2004年
陕西省,,5768,2004年
上海市,,2929,2004年
四川省,,11450,2004年
天津市,,1577,2004年
西藏自治区,,596,2004年
新疆维吾尔自治区,,3059,2004年
云南省,,6800,2004年
浙江省,,6185,2004年
重庆市,,3968,2004年
安徽省,,8743,2005年
北京市,,3076,2005年
福建省,,6227,2005年
甘肃省,,4094,2005年
广东省,,14856,2005年
广西壮族自治区,,9605,2005年
贵州省,,6030,2005年
海南省,,1662,2005年
河北省,,11394,2005年
河南省,,14913,2005年
黑龙江省,,5899,2005年
湖北省,,9939,2005年
湖南省,,10638,2005年
吉林省,,4737,2005年
江苏省,,9071,2005年
江西省,,5976,2005年
辽宁省,,6310,2005年
内蒙古自治区,,3574,2005年
宁夏回族自治区,,824,2005年
青海省,,764,2005年
山东省,,13035,2005年
山西省,,5322,2005年
陕西省,,5886,2005年
上海市,,2769,2005年
四川省,,10321,2005年
天津市,,1532,2005年
西藏自治区,,624,2005年
新疆维吾尔自治区,,3334,2005年
云南省,,6625,2005年
浙江省,,6613,2005年
重庆市,,3169,2005年
安徽省,,107540,2006年
北京市,,42458,2006年
福建省,,81372,2006年
甘肃省,,50573,2006年
广东省,,287066,2006年
广西壮族自治区,,107908,2006年
贵州省,,63287,2006年
海南省,,21852,2006年
河北省,,150192,2006年
河南省,,198308,2006年
黑龙江省,,67892,2006年
湖北省,,107940,2006年
湖南省,,136313,2006年
吉林省,,54665,2006年
江苏省,,132857,2006年
江西省,,71072,2006年
辽宁省,,75060,2006年
内蒙古自治区,,44045,2006年
宁夏回族自治区,,10563,2006年
青海省,,10481,2006年
山东省,,185411,2006年
山西省,,63950,2006年
陕西省,,74375,2006年
上海市,,45843,2006年
四川省,,126300,2006年
天津市,,25272,2006年
西藏自治区,,9393,2006年
新疆维吾尔自治区,,43499,2006年
云南省,,85689,2006年
浙江省,,94861,2006年
重庆市,,43319,2006年
安徽省,,8382,2007年
北京市,,3063,2007年
福建省,,5796,2007年
甘肃省,,3950,2007年
广东省,,19653,2007年
广西壮族自治区,,7904,2007年
贵州省,,4955,2007年
海南省,,1538,2007年
河北省,,10540,2007年
河南省,,13731,2007年
黑龙江省,,4863,2007年
湖北省,,7883,2007年
湖南省,,8628,2007年
吉林省,,3854,2007年
江苏省,,9397,2007年
江西省,,4934,2007年
辽宁省,,5825,2007年
内蒙古自治区,,3266,2007年
宁夏回族自治区,,827,2007年
青海省,,705,2007年
山东省,,13829,2007年
山西省,,4948,2007年
陕西省,,5358,2007年
上海市,,3001,2007年
四川省,,10002,2007年
天津市,,1640,2007年
西藏自治区,,630,2007年
新疆维吾尔自治区,,3202,2007年
云南省,,6292,2007年
浙江省,,6696,2007年
重庆市,,3266,2007年
安徽省,,7752,2008年
北京市,,3214,2008年
福建省,,5377,2008年
甘肃省,,4046,2008年
广东省,,19963,2008年
广西壮族自治区,,7933,2008年
贵州省,,4877,2008年
海南省,,1592,2008年
河北省,,9955,2008年
河南省,,13794,2008年
黑龙江省,,4650,2008年
湖北省,,8611,2008年
湖南省,,9061,2008年
吉林省,,3626,2008年
江苏省,,10206,2008年
江西省,,5132,2008年
辽宁省,,5698,2008年
内蒙古自治区,,3171,2008年
宁夏回族自治区,,840,2008年
青海省,,738,2008年
山东省,,12689,2008年
山西省,,4980,2008年
陕西省,,5287,2008年
上海市,,2991,2008年
四川省,,9581,2008年
天津市,,1750,2008年
西藏自治区,,665,2008年
新疆维吾尔自治区,,3320,2008年
云南省,,6486,2008年
浙江省,,6743,2008年
重庆市,,3046,2008年
安徽省,,7535,2009年
北京市,,2855,2009年
福建省,,4887,2009年
甘肃省,,3756,2009年
广东省,,19409,2009年
广西壮族自治区,,7308,2009年
贵州省,,5097,2009年
海南省,,1482,2009年
河北省,,9927,2009年
河南省,,13240,2009年
黑龙江省,,4456,2009年
湖北省,,8528,2009年
湖南省,,8880,2009年
吉林省,,3694,2009年
江苏省,,10340,2009年
江西省,,5265,2009年
辽宁省,,5481,2009年
内蒙古自治区,,3109,2009年
宁夏回族自治区,,823,2009年
青海省,,756,2009年
山东省,,11743,2009年
山西省,,5028,2009年
陕西省,,5212,2009年
上海市,,3123,2009年
四川省,,10530,2009年
天津市,,1645,2009年
西藏自治区,,649,2009年
新疆维吾尔自治区,,3261,2009年
云南省,,6486,2009年
浙江省,,6935,2009年
重庆市,,3173,2009年
安徽省,,8111,2010年
北京市,,3013,2010年
福建省,,4657,2010年
甘肃省,,3814,2010年
广东省,,20433,2010年
广西壮族自治区,,7673,2010年
贵州省,,5287,2010年
海南省,,1636,2010年
河北省,,8575,2010年
河南省,,13033,2010年
黑龙江省,,4436,2010年
湖北省,,7767,2010年
湖南省,,8404,2010年
吉林省,,3386,2010年
江苏省,,9188,2010年
江西省,,5270,2010年
辽宁省,,5578,2010年
内蒙古自治区,,3116,2010年
宁夏回族自治区,,841,2010年
青海省,,718,2010年
山东省,,11414,2010年
山西省,,4985,2010年
陕西省,,5434,2010年
上海市,,2863,2010年
四川省,,9866,2010年
天津市,,1980,2010年
西藏自治区,,634,2010年
新疆维吾尔自治区,,3203,2010年
云南省,,6133,2010年
浙江省,,6868,2010年
重庆市,,3402,2010年
安徽省,,7669,2011年
北京市,,3988,2011年
福建省,,6532,2011年
甘肃省,,4111,2011年
广东省,,22926,2011年
广西壮族自治区,,7311,2011年
贵州省,,5202,2011年
海南省,,1740,2011年
河北省,,9546,2011年
河南省,,14498,2011年
黑龙江省,,5002,2011年
湖北省,,8005,2011年
湖南省,,8479,2011年
吉林省,,3353,2011年
江苏省,,11095,2011年
江西省,,5875,2011年
辽宁省,,5685,2011年
内蒙古自治区,,3767,2011年
宁夏回族自治区,,970,2011年
青海省,,930,2011年
山东省,,11562,2011年
山西省,,5585,2011年
陕西省,,6020,2011年
上海市,,4263,2011年
四川省,,9837,2011年
天津市,,2446,2011年
西藏自治区,,663,2011年
新疆维吾尔自治区,,3219,2011年
云南省,,6661,2011年
浙江省,,8588,2011年
重庆市,,3715,2011年
安徽省,,8395,2012年
北京市,,4095,2012年
福建省,,5002,2012年
甘肃省,,3959,2012年
广东省,,21053,2012年
广西壮族自治区,,6917,2012年
贵州省,,4729,2012年
海南省,,1767,2012年
河北省,,8517,2012年
河南省,,12881,2012年
黑龙江省,,4317,2012年
湖北省,,8283,2012年
湖南省,,7828,2012年
吉林省,,4090,2012年
江苏省,,10599,2012年
江西省,,5680,2012年
辽宁省,,7714,2012年
内蒙古自治区,,3301,2012年
宁夏回族自治区,,855,2012年
青海省,,816,2012年
山东省,,10598,2012年
山西省,,5591,2012年
陕西省,,5934,2012年
上海市,,3870,2012年
四川省,,10277,2012年
天津市,,2075,2012年
西藏自治区,,642,2012年
新疆维吾尔自治区,,2851,2012年
云南省,,6472,2012年
浙江省,,9091,2012年
重庆市,,3552,2012年
安徽省,,8356,2013年
北京市,,4704,2013年
福建省,,4759,2013年
甘肃省,,3685,2013年
广东省,,20453,2013年
广西壮族自治区,,7005,2013年
贵州省,,5328,2013年
海南省,,1687,2013年
河北省,,8091,2013年
河南省,,12349,2013年
黑龙江省,,4350,2013年
湖北省,,7915,2013年
湖南省,,8354,2013年
吉林省,,3096,2013年
江苏省,,9757,2013年
江西省,,6640,2013年
辽宁省,,7060,2013年
内蒙古自治区,,3075,2013年
宁夏回族自治区,,862,2013年
青海省,,795,2013年
