name,type,value,date
广西壮族自治区,,15.62,2000年
陕西省,,7.5,2000年
广东省,,17.87,2000年
甘肃省,,3.06,2000年
重庆市,,44.98,2000年
浙江省,,9.5,2000年
福建省,,28.37,2000年
天津市,,241.5,2000年
海南省,,13.03,2000年
青海省,,67.65,2000年
河南省,,59.38,2000年
山东省,,829.9,2000年
安徽省,,32.84,2000年
河北省,,432.62,2000年
江苏省,,293.63,2000年
内蒙古自治区,,126.68,2000年
四川省,,215.48,2000年
湖南省,,72.93,2000年
辽宁省,,275.91,2000年
江西省,,11.13,2000年
云南省,,39.75,2000年
新疆维吾尔自治区,,148.49,2000年
广西壮族自治区,,106.08,2001年
陕西省,,101.6,2001年
广东省,,125.3,2001年
甘肃省,,129.9,2001年
重庆市,,118.1,2001年
浙江省,,100.78,2001年
福建省,,96.36,2001年
天津市,,89.19,2001年
海南省,,91.1,2001年
青海省,,82.88,2001年
河南省,,79.55,2001年
山东省,,67.78,2001年
安徽省,,61.17,2001年
河北省,,47.79,2001年
江苏省,,49.86,2001年
内蒙古自治区,,49.83,2001年
四川省,,48.09,2001年
湖南省,,68.64,2001年
辽宁省,,284.62,2001年
江西省,,12.18,2001年
云南省,,46.02,2001年
新疆维吾尔自治区,,46.02,2001年
广西壮族自治区,,5.44,2002年
陕西省,,9.5,2002年
广东省,,13,2002年
甘肃省,,5.53,2002年
重庆市,,51.19,2002年
浙江省,,6.13,2002年
福建省,,34.23,2002年
天津市,,240.4,2002年
海南省,,10.42,2002年
青海省,,62.21,2002年
河南省,,68.05,2002年
山东省,,727.71,2002年
安徽省,,43.72,2002年
河北省,,512.19,2002年
江苏省,,343.53,2002年
内蒙古自治区,,148.86,2002年
四川省,,265.72,2002年
湖南省,,71.12,2002年
湖北省,,281.17,2002年
辽宁省,,280.56,2002年
江西省,,13.99,2002年
云南省,,38.96,2002年
新疆维吾尔自治区,,38.96,2002年
广西壮族自治区,,11.04,2003年
陕西省,,10.12,2003年
广东省,,25.77,2003年
甘肃省,,3.65,2003年
重庆市,,46.41,2003年
浙江省,,11.81,2003年
福建省,,52.94,2003年
天津市,,221.07,2003年
海南省,,17.98,2003年
青海省,,66.45,2003年
河南省,,90.47,2003年
山东省,,911.57,2003年
安徽省,,45.25,2003年
河北省,,418.11,2003年
江苏省,,318.13,2003年
内蒙古自治区,,148.72,2003年
四川省,,341.82,2003年
湖南省,,78.94,2003年
湖北省,,316.58,2003年
辽宁省,,185.05,2003年
江西省,,15.28,2003年
云南省,,52.74,2003年
新疆维吾尔自治区,,52.74,2003年
广西壮族自治区,,10.95,2004年
陕西省,,16.39,2004年
广东省,,47.42,2004年
甘肃省,,5.14,2004年
重庆市,,49.41,2004年
浙江省,,40.39,2004年
福建省,,54.42,2004年
宁夏回族自治区,,0.02,2004年
天津市,,246.8,2004年
海南省,,8.63,2004年
青海省,,88.64,2004年
河南省,,81.06,2004年
山东省,,1157.68,2004年
安徽省,,52.75,2004年
河北省,,426.54,2004年
江苏省,,403.97,2004年
内蒙古自治区,,161.82,2004年
四川省,,349.72,2004年
湖南省,,87.94,2004年
湖北省,,352.22,2004年
辽宁省,,200.62,2004年
江西省,,52.63,2004年
云南省,,87.11,2004年
新疆维吾尔自治区,,87.11,2004年
广西壮族自治区,,10.72,2005年
陕西省,,26.25,2005年
广东省,,35.22,2005年
甘肃省,,5.02,2005年
重庆市,,61.14,2005年
浙江省,,37.31,2005年
福建省,,43.87,2005年
天津市,,234.7,2005年
海南省,,17,2005年
青海省,,115.14,2005年
河南省,,109.95,2005年
山东省,,1434.27,2005年
安徽省,,56.73,2005年
河北省,,425.07,2005年
江苏省,,500.13,2005年
内蒙古自治区,,215.84,2005年
四川省,,404.2,2005年
湖南省,,119.13,2005年
湖北省,,406.21,2005年
辽宁省,,180.64,2005年
江西省,,69.51,2005年
云南省,,85.23,2005年
新疆维吾尔自治区,,85.23,2005年
广西壮族自治区,,12.31,2006年
陕西省,,28.72,2006年
广东省,,40.39,2006年
甘肃省,,6.13,2006年
重庆市,,69.91,2006年
浙江省,,29.84,2006年
福建省,,59.28,2006年
天津市,,249.65,2006年
海南省,,18.76,2006年
青海省,,152,2006年
河南省,,172.91,2006年
山东省,,1979.05,2006年
安徽省,,68.05,2006年
河北省,,428.56,2006年
江苏省,,534.12,2006年
内蒙古自治区,,206.44,2006年
四川省,,538.26,2006年
湖南省,,134.49,2006年
湖北省,,436.58,2006年
辽宁省,,191.3,2006年
江西省,,109.72,2006年
云南省,,117.11,2006年
新疆维吾尔自治区,,117.11,2006年
广西壮族自治区,,6.81,2007年
陕西省,,32.79,2007年
广东省,,45.69,2007年
甘肃省,,6.53,2007年
重庆市,,79.56,2007年
浙江省,,15.29,2007年
福建省,,60.94,2007年
天津市,,240.23,2007年
海南省,,17.83,2007年
青海省,,184.66,2007年
河南省,,191.65,2007年
山东省,,2360.16,2007年
安徽省,,118.06,2007年
河北省,,396.51,2007年
江苏省,,510.44,2007年
内蒙古自治区,,245.79,2007年
四川省,,538.36,2007年
湖南省,,145.17,2007年
湖北省,,444.54,2007年
辽宁省,,216.15,2007年
江西省,,141.31,2007年
云南省,,85.64,2007年
新疆维吾尔自治区,,85.64,2007年
广西壮族自治区,,4.02,2008年
陕西省,,41.31,2008年
广东省,,29.74,2008年
甘肃省,,4.32,2008年
重庆市,,122.39,2008年
浙江省,,3.78,2008年
福建省,,31.67,2008年
天津市,,234.25,2008年
海南省,,11.26,2008年
青海省,,235.72,2008年
河南省,,247.56,2008年
山东省,,1858.93,2008年
安徽省,,137.73,2008年
河北省,,362.58,2008年
江苏省,,627.2,2008年
内蒙古自治区,,236.81,2008年
四川省,,559.66,2008年
湖南省,,150.78,2008年
湖北省,,476.2,2008年
辽宁省,,184.19,2008年
江西省,,186.84,2008年
云南省,,114.74,2008年
新疆维吾尔自治区,,114.74,2008年
广西壮族自治区,,6.35,2009年
陕西省,,39.47,2009年
广东省,,15.12,2009年
甘肃省,,11.5,2009年
重庆市,,158.77,2009年
浙江省,,16.7,2009年
福建省,,43.76,2009年
天津市,,227.53,2009年
海南省,,12.86,2009年
青海省,,92.97,2009年
黑龙江省,,0.18,2009年
河南省,,296.95,2009年
山东省,,2372.89,2009年
安徽省,,143.55,2009年
河北省,,393.76,2009年
江苏省,,522.96,2009年
内蒙古自治区,,216.98,2009年
四川省,,797.75,2009年
湖南省,,208.93,2009年
湖北省,,515.2,2009年
辽宁省,,152.48,2009年
江西省,,197.6,2009年
云南省,,129.35,2009年
新疆维吾尔自治区,,129.35,2009年
广西壮族自治区,,8.8,2010年
陕西省,,40.98,2010年
广东省,,17.01,2010年
甘肃省,,16.55,2010年
重庆市,,165.51,2010年
浙江省,,12.91,2010年
福建省,,33.39,2010年
