数据库：分省年度数据
指标：原盐产量(万吨)
时间：最近20年
地区,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年
山东省,1118.76,1728.89,1833.26,2025.19,2151.74,1841.70,2306.01,1815.02,2500.56,2372.89,1858.93,2360.16,1979.05,1434.27,1157.68,911.57,727.71,891.78,829.90
江苏省,939.06,892.89,918.97,858.57,723.80,698.90,750.75,698.93,522.44,522.96,627.20,510.44,534.12,500.13,403.97,318.13,343.53,328.33,293.63
四川省,494.45,582.81,338.55,401.00,388.10,502.90,477.46,1038.71,764.09,797.75,559.66,538.36,538.26,404.20,349.72,341.82,265.72,246.61,215.48
湖北省,416.74,434.52,406.09,467.50,465.70,465.00,432.20,615.50,598.55,515.20,476.20,444.54,436.58,406.21,352.22,316.58,281.17,262.38,240.57
河南省,374.08,333.58,287.64,44.20,370.60,412.20,355.80,282.97,254.58,296.95,247.56,191.65,172.91,109.95,81.06,90.47,68.05,61.16,59.38
湖南省,323.17,308.05,282.58,263.00,280.90,256.90,253.70,240.30,228.56,208.93,150.78,145.17,134.49,119.13,87.94,78.94,71.12,68.64,72.93
河北省,276.37,286.17,280.66,328.01,334.92,302.40,354.90,377.70,418.97,393.76,362.58,396.51,428.56,425.07,426.54,418.11,512.19,463.27,432.62
青海省,262.82,201.42,222.72,414.42,378.79,261.30,253.49,195.23,167.65,92.97,235.72,184.66,152.00,115.14,88.64,66.45,62.21,77.07,67.65
新疆维吾尔自治区,253.13,459.38,659.80,415.71,383.08,254.80,301.40,258.06,174.67,129.35,114.74,85.64,117.11,85.23,87.11,52.74,38.96,46.02,39.75
重庆市,213.86,178.46,217.11,246.70,220.00,236.30,233.00,224.40,165.51,158.77,122.39,79.56,69.91,61.14,49.41,46.41,51.19,48.13,44.98
江西省,212.44,197.17,200.91,219.30,322.10,257.30,204.70,2.10,205.33,197.60,186.84,141.31,109.72,69.51,52.63,15.28,13.99,12.18,11.13
天津市,195.65,182.28,158.39,171.60,163.80,154.80,149.70,184.00,207.60,227.53,234.25,240.23,249.65,234.70,246.80,221.07,240.40,238.75,241.50
云南省,160.13,148.49,106.08,101.60,125.30,129.90,118.10,100.78,96.36,89.19,91.10,82.88,79.55,67.78,61.17,47.79,49.86,49.83,48.09
安徽省,139.00,152.55,153.60,149.60,152.20,156.10,142.00,146.00,146.15,143.55,137.73,118.06,68.05,56.73,52.75,45.25,43.72,35.24,32.84
陕西省,131.20,136.54,134.69,134.90,143.00,111.90,104.80,41.90,40.98,39.47,41.31,32.79,28.72,26.25,16.39,10.12,9.50,6.00,7.50
内蒙古自治区,119.32,125.34,154.89,164.60,193.68,243.00,253.62,311.00,278.42,216.98,236.81,245.79,206.44,215.84,161.82,148.72,148.86,136.75,126.68
宁夏回族自治区,95.45,83.94,72.42,,,,,,,,,,,,0.02,,,,
辽宁省,75.54,152.47,146.09,178.69,165.18,125.00,141.96,114.54,161.57,152.48,184.19,216.15,191.30,180.64,200.62,185.05,280.56,284.62,275.91
福建省,23.00,31.45,15.68,31.09,40.86,19.00,26.61,39.41,33.39,43.76,31.67,60.94,59.28,43.87,54.42,52.94,34.23,47.38,28.37
甘肃省,10.41,19.16,13.85,17.20,17.90,16.40,20.25,17.00,16.55,11.50,4.32,6.53,6.13,5.02,5.14,3.65,5.53,5.39,3.06
广东省,1.60,6.10,6.44,10.92,6.69,5.60,9.14,7.75,17.01,15.12,29.74,45.69,40.39,35.22,47.42,25.77,13.00,46.92,17.87
山西省,,,,,,,,,2.00,,,,,,,,,,
黑龙江省,,,,,,,,,,0.18,,,,,,,,,
浙江省,,8.67,6.63,7.74,9.10,,10.83,13.56,12.91,16.70,3.78,15.29,29.84,37.31,40.39,11.81,6.13,33.97,9.50
广西壮族自治区,,3.84,,7.90,8.92,4.80,7.19,6.57,8.80,6.35,4.02,6.81,12.31,10.72,10.95,11.04,5.44,5.39,15.62
海南省,,,3.04,6.10,3.35,4.10,4.17,10.73,15.11,12.86,11.26,17.83,18.76,17.00,8.63,17.98,10.42,14.70,13.03
数据来源：国家统计局
