name,type,value,date
北京市,,,2018年
北京市,,,2017年
北京市,,,2016年
北京市,,,2015年
北京市,,,2014年
北京市,,,2013年
北京市,,,2012年
北京市,,,2011年
北京市,,,2010年
北京市,,,2009年
北京市,,,2008年
北京市,,,2007年
北京市,,,2006年
北京市,,,2005年
北京市,,,2004年
北京市,,,2003年
北京市,,,2002年
北京市,,,2001年
北京市,,,2000年
北京市,,,1999年
广西壮族自治区,,,2018年
广西壮族自治区,,,2017年
广西壮族自治区,,,2016年
广西壮族自治区,,,2015年
广西壮族自治区,,,2014年
广西壮族自治区,,,2013年
广西壮族自治区,,,2012年
广西壮族自治区,,,2011年
广西壮族自治区,,,2010年
广西壮族自治区,,,2009年
广西壮族自治区,,,2008年
广西壮族自治区,,,2007年
广西壮族自治区,,,2006年
广西壮族自治区,,,2005年
广西壮族自治区,,,2004年
广西壮族自治区,,,2003年
广西壮族自治区,,,2002年
广西壮族自治区,,,2001年
广西壮族自治区,,,2000年
广西壮族自治区,,,1999年
陕西省,,,2018年
陕西省,,,2017年
陕西省,,,2016年
陕西省,,,2015年
陕西省,,,2014年
陕西省,,,2013年
陕西省,,,2012年
陕西省,,,2011年
陕西省,,,2010年
陕西省,,,2009年
陕西省,,,2008年
陕西省,,,2007年
陕西省,,,2006年
陕西省,,,2005年
陕西省,,,2004年
陕西省,,,2003年
陕西省,,,2002年
陕西省,,,2001年
陕西省,,,2000年
陕西省,,,1999年
广东省,,,2018年
广东省,,,2017年
广东省,,,2016年
广东省,,,2015年
广东省,,,2014年
广东省,,,2013年
广东省,,,2012年
广东省,,,2011年
广东省,,,2010年
广东省,,,2009年
广东省,,,2008年
广东省,,,2007年
广东省,,,2006年
广东省,,,2005年
广东省,,,2004年
广东省,,,2003年
广东省,,,2002年
广东省,,,2001年
广东省,,,2000年
广东省,,,1999年
甘肃省,,,2018年
甘肃省,,,2017年
甘肃省,,,2016年
甘肃省,,,2015年
甘肃省,,,2014年
甘肃省,,,2013年
甘肃省,,,2012年
甘肃省,,,2011年
甘肃省,,,2010年
甘肃省,,,2009年
甘肃省,,,2008年
甘肃省,,,2007年
甘肃省,,,2006年
甘肃省,,,2005年
甘肃省,,,2004年
甘肃省,,,2003年
甘肃省,,,2002年
甘肃省,,,2001年
甘肃省,,,2000年
甘肃省,,,1999年
重庆市,,,2018年
重庆市,,,2017年
重庆市,,,2016年
重庆市,,,2015年
重庆市,,,2014年
重庆市,,,2013年
重庆市,,,2012年
重庆市,,,2011年
重庆市,,,2010年
重庆市,,,2009年
重庆市,,,2008年
重庆市,,,2007年
重庆市,,,2006年
重庆市,,,2005年
重庆市,,,2004年
重庆市,,,2003年
重庆市,,,2002年
重庆市,,,2001年
重庆市,,,2000年
重庆市,,,1999年
贵州省,,,2018年
贵州省,,,2017年
贵州省,,,2016年
贵州省,,,2015年
贵州省,,,2014年
贵州省,,,2013年
贵州省,,,2012年
贵州省,,,2011年
贵州省,,,2010年
贵州省,,,2009年
贵州省,,,2008年
贵州省,,,2007年
贵州省,,,2006年
贵州省,,,2005年
贵州省,,,2004年
贵州省,,,2003年
贵州省,,,2002年
贵州省,,,2001年
贵州省,,,2000年
贵州省,,,1999年
浙江省,,,2018年
浙江省,,,2017年
浙江省,,,2016年
浙江省,,,2015年
浙江省,,,2014年
浙江省,,,2013年
浙江省,,,2012年
浙江省,,,2011年
浙江省,,,2010年
浙江省,,,2009年
浙江省,,,2008年
浙江省,,,2007年
浙江省,,,2006年
浙江省,,,2005年
浙江省,,,2004年
浙江省,,,2003年
浙江省,,,2002年
浙江省,,,2001年
浙江省,,,2000年
浙江省,,,1999年
福建省,,,2018年
福建省,,,2017年
福建省,,,2016年
福建省,,,2015年
福建省,,,2014年
福建省,,,2013年
福建省,,,2012年
福建省,,,2011年
福建省,,,2010年
福建省,,,2009年
福建省,,,2008年
福建省,,,2007年
福建省,,,2006年
福建省,,,2005年
福建省,,,2004年
福建省,,,2003年
福建省,,,2002年
福建省,,,2001年
福建省,,,2000年
福建省,,,1999年
宁夏回族自治区,,,2018年
宁夏回族自治区,,,2017年
宁夏回族自治区,,,2016年
宁夏回族自治区,,,2015年
宁夏回族自治区,,,2014年
宁夏回族自治区,,,2013年
宁夏回族自治区,,,2012年
宁夏回族自治区,,,2011年
宁夏回族自治区,,,2010年
宁夏回族自治区,,,2009年
宁夏回族自治区,,,2008年
宁夏回族自治区,,,2007年
宁夏回族自治区,,,2006年
宁夏回族自治区,,,2005年
宁夏回族自治区,,,2004年
宁夏回族自治区,,,2003年
宁夏回族自治区,,,2002年
宁夏回族自治区,,,2001年
宁夏回族自治区,,,2000年
宁夏回族自治区,,,1999年
天津市,,,2018年
天津市,,,2017年
天津市,,,2016年
天津市,,,2015年
天津市,,,2014年
天津市,,,2013年
天津市,,,2012年
天津市,,,2011年
天津市,,,2010年
天津市,,,2009年
天津市,,,2008年
天津市,,,2007年
天津市,,,2006年
天津市,,,2005年
天津市,,,2004年
天津市,,,2003年
天津市,,,2002年
天津市,,,2001年
天津市,,,2000年
天津市,,,1999年
海南省,,,2018年
海南省,,,2017年
海南省,,,2016年
海南省,,,2015年
海南省,,,2014年
海南省,,,2013年
海南省,,,2012年
海南省,,,2011年
海南省,,,2010年
海南省,,,2009年
海南省,,,2008年
海南省,,,2007年
海南省,,,2006年
海南省,,,2005年
海南省,,,2004年
海南省,,,2003年
海南省,,,2002年
海南省,,,2001年
海南省,,,2000年
海南省,,,1999年
西藏自治区,,,2018年
西藏自治区,,,2017年
西藏自治区,,,2016年
西藏自治区,,,2015年
西藏自治区,,,2014年
西藏自治区,,,2013年
西藏自治区,,,2012年
西藏自治区,,,2011年
西藏自治区,,,2010年
西藏自治区,,,2009年
西藏自治区,,,2008年
西藏自治区,,,2007年
西藏自治区,,,2006年
西藏自治区,,,2005年
西藏自治区,,,2004年
西藏自治区,,,2003年
西藏自治区,,,2002年
西藏自治区,,,2001年
西藏自治区,,,2000年
西藏自治区,,,1999年
上海市,,,2018年
上海市,,,2017年
上海市,,,2016年
上海市,,,2015年
上海市,,,2014年
上海市,,,2013年
上海市,,,2012年
上海市,,,2011年
上海市,,,2010年
上海市,,,2009年
上海市,,,2008年
上海市,,,2007年
上海市,,,2006年
上海市,,,2005年
上海市,,,2004年
上海市,,,2003年
上海市,,,2002年
上海市,,,2001年
上海市,,,2000年
上海市,,,1999年
青海省,,,2018年
青海省,,,2017年
青海省,,,2016年
青海省,,,2015年
青海省,,,2014年
青海省,,,2013年
青海省,,,2012年
青海省,,,2011年
青海省,,,2010年
青海省,,,2009年
青海省,,,2008年
青海省,,,2007年
青海省,,,2006年
青海省,,,2005年
青海省,,,2004年
青海省,,,2003年
青海省,,,2002年
青海省,,,2001年
青海省,,,2000年
青海省,,,1999年
黑龙江省,,,2018年
黑龙江省,,,2017年
黑龙江省,,,2016年
黑龙江省,,,2015年
黑龙江省,,,2014年
黑龙江省,,,2013年
黑龙江省,,,2012年
黑龙江省,,,2011年
黑龙江省,,,2010年
黑龙江省,,,2009年
黑龙江省,,,2008年
黑龙江省,,,2007年
黑龙江省,,,2006年
黑龙江省,,,2005年
黑龙江省,,,2004年
黑龙江省,,,2003年
黑龙江省,,,2002年
黑龙江省,,,2001年
黑龙江省,,,2000年
黑龙江省,,,1999年
河南省,,,2018年
河南省,,,2017年
河南省,,,2016年
河南省,,,2015年
河南省,,,2014年
河南省,,,2013年
河南省,,,2012年
河南省,,,2011年
河南省,,,2010年
河南省,,,2009年
河南省,,,2008年
河南省,,,2007年
河南省,,,2006年
河南省,,,2005年
河南省,,,2004年
河南省,,,2003年
河南省,,,2002年
河南省,,,2001年
河南省,,,2000年
河南省,,,1999年
山东省,,,2018年
山东省,,,2017年
山东省,,,2016年
山东省,,,2015年
山东省,,,2014年
山东省,,,2013年
山东省,,,2012年
山东省,,,2011年
山东省,,,2010年
山东省,,,2009年
山东省,,,2008年
山东省,,,2007年
山东省,,,2006年
山东省,,,2005年
山东省,,,2004年
山东省,,,2003年
山东省,,,2002年
山东省,,,2001年
山东省,,,2000年
山东省,,,1999年
安徽省,,,2018年
安徽省,,,2017年
安徽省,,,2016年
安徽省,,,2015年
安徽省,,,2014年
安徽省,,,2013年
安徽省,,,2012年
安徽省,,,2011年
安徽省,,,2010年
安徽省,,,2009年
安徽省,,,2008年
安徽省,,,2007年
安徽省,,,2006年
安徽省,,,2005年
安徽省,,,2004年
安徽省,,,2003年
安徽省,,,2002年
安徽省,,,2001年
安徽省,,,2000年
安徽省,,,1999年
河北省,,,2018年
河北省,,,2017年
河北省,,,2016年
河北省,,,2015年
河北省,,,2014年
河北省,,,2013年
河北省,,,2012年
河北省,,,2011年
河北省,,,2010年
河北省,,,2009年
河北省,,,2008年
河北省,,,2007年
河北省,,,2006年
河北省,,,2005年
河北省,,,2004年
河北省,,,2003年
河北省,,,2002年
河北省,,,2001年
河北省,,,2000年
河北省,,,1999年
江苏省,,,2018年
江苏省,,,2017年
江苏省,,,2016年
江苏省,,,2015年
江苏省,,,2014年
江苏省,,,2013年
江苏省,,,2012年
江苏省,,,2011年
江苏省,,,2010年
江苏省,,,2009年
江苏省,,,2008年
江苏省,,,2007年
江苏省,,,2006年
江苏省,,,2005年
江苏省,,,2004年
江苏省,,,2003年
江苏省,,,2002年
江苏省,,,2001年
江苏省,,,2000年
江苏省,,,1999年
吉林省,,,2018年
吉林省,,,2017年
吉林省,,,2016年
吉林省,,,2015年
吉林省,,,2014年
吉林省,,,2013年
吉林省,,,2012年
吉林省,,,2011年
吉林省,,,2010年
吉林省,,,2009年
吉林省,,,2008年
吉林省,,,2007年
吉林省,,,2006年
吉林省,,,2005年
吉林省,,,2004年
吉林省,,,2003年
吉林省,,,2002年
吉林省,,,2001年
吉林省,,,2000年
吉林省,,,1999年
内蒙古自治区,,,2018年
内蒙古自治区,,,2017年
内蒙古自治区,,,2016年
内蒙古自治区,,,2015年
内蒙古自治区,,,2014年
内蒙古自治区,,,2013年
内蒙古自治区,,,2012年
内蒙古自治区,,,2011年
内蒙古自治区,,,2010年
内蒙古自治区,,,2009年
内蒙古自治区,,,2008年
内蒙古自治区,,,2007年
内蒙古自治区,,,2006年
内蒙古自治区,,,2005年
内蒙古自治区,,,2004年
内蒙古自治区,,,2003年
内蒙古自治区,,,2002年
内蒙古自治区,,,2001年
内蒙古自治区,,,2000年
内蒙古自治区,,,1999年
四川省,,,2018年
四川省,,,2017年
四川省,,,2016年
四川省,,,2015年
四川省,,,2014年
四川省,,,2013年
四川省,,,2012年
四川省,,,2011年
四川省,,,2010年
四川省,,,2009年
四川省,,,2008年
四川省,,,2007年
四川省,,,2006年
四川省,,,2005年
四川省,,,2004年
四川省,,,2003年
四川省,,,2002年
四川省,,,2001年
四川省,,,2000年
四川省,,,1999年
湖南省,,,2018年
湖南省,,,2017年
湖南省,,,2016年
湖南省,,,2015年
湖南省,,,2014年
湖南省,,,2013年
湖南省,,,2012年
湖南省,,,2011年
湖南省,,,2010年
湖南省,,,2009年
湖南省,,,2008年
湖南省,,,2007年
湖南省,,,2006年
湖南省,,,2005年
湖南省,,,2004年
湖南省,,,2003年
湖南省,,,2002年
湖南省,,,2001年
湖南省,,,2000年
湖南省,,,1999年
湖北省,,,2018年
湖北省,,,2017年
湖北省,,,2016年
湖北省,,,2015年
湖北省,,,2014年
湖北省,,,2013年
湖北省,,,2012年
湖北省,,,2011年
湖北省,,,2010年
湖北省,,,2009年
湖北省,,,2008年
湖北省,,,2007年
湖北省,,,2006年
湖北省,,,2005年
湖北省,,,2004年
湖北省,,,2003年
湖北省,,,2002年
湖北省,,,2001年
湖北省,,,2000年
湖北省,,,1999年
辽宁省,,,2018年
辽宁省,,,2017年
辽宁省,,,2016年
