name,type,value,date
北京市,,201,1999年
广西壮族自治区,,103.61,1999年
陕西省,,1081.6,1999年
广东省,,1967.1,1999年
甘肃省,,814.93,1999年
重庆市,,1111.6,1999年
贵州省,,1125.2,1999年
浙江省,,1393,1999年
福建省,,942.2,1999年
宁夏回族自治区,,293.3,1999年
天津市,,174.9,1999年
海南省,,217,1999年
西藏自治区,,92.21,1999年
上海市,,208.1,1999年
青海省,,103.61,1999年
黑龙江省,,3074.6,1999年
河南省,,4253.25,1999年
山东省,,4269,1999年
安徽省,,2771.2,1999年
河北省,,2746.29,1999年
江苏省,,3559,1999年
吉林省,,2305.6,1999年
内蒙古自治区,,1428.5,1999年
四川省,,3551.4,1999年
湖南省,,2725.4,1999年
湖北省,,2451.88,1999年
辽宁省,,1648.76,1999年
江西省,,1732.7,1999年
云南省,,1399.25,1999年
新疆维吾尔自治区,,799.3,1999年
山西省,,821.7,1999年
北京市,,144.16,2000年
广西壮族自治区,,82.7,2000年
陕西省,,1089.1,2000年
广东省,,1760.1,2000年
甘肃省,,713.48,2000年
重庆市,,1106.9,2000年
贵州省,,1161.3,2000年
浙江省,,1217.7,2000年
福建省,,854.7,2000年
宁夏回族自治区,,252.7,2000年
天津市,,124.05,2000年
海南省,,199.63,2000年
西藏自治区,,96.22,2000年
上海市,,174,2000年
青海省,,82.7,2000年
黑龙江省,,2545.5,2000年
河南省,,4101.5,2000年
山东省,,3837.74,2000年
安徽省,,2472.1,2000年
河北省,,2551.07,2000年
江苏省,,3106.63,2000年
吉林省,,1638,2000年
内蒙古自治区,,1241.9,2000年
四川省,,3372,2000年
湖南省,,2767.9,2000年
湖北省,,2218.49,2000年
辽宁省,,1140,2000年
江西省,,1614.6,2000年
云南省,,1467.8,2000年
新疆维吾尔自治区,,783.7,2000年
山西省,,853.35,2000年
北京市,,104.9,2001年
广西壮族自治区,,103.2,2001年
陕西省,,976.61,2001年
广东省,,1600.1,2001年
甘肃省,,753.22,2001年
重庆市,,1023.5,2001年
贵州省,,1100.3,2001年
浙江省,,1072.68,2001年
福建省,,817.3,2001年
宁夏回族自治区,,274.8,2001年
天津市,,143.33,2001年
海南省,,195.76,2001年
西藏自治区,,98.25,2001年
上海市,,151.42,2001年
青海省,,103.2,2001年
黑龙江省,,2651.7,2001年
河南省,,4119.88,2001年
山东省,,3720.6,2001年
安徽省,,2500.3,2001年
河北省,,2491.8,2001年
江苏省,,2942.05,2001年
吉林省,,1953.4,2001年
内蒙古自治区,,1239.1,2001年
四川省,,2926.5,2001年
湖南省,,2700.3,2001年
湖北省,,2138.49,2001年
辽宁省,,1394.4,2001年
江西省,,1600,2001年
云南省,,1486.3,2001年
新疆维吾尔自治区,,779.98,2001年
山西省,,692.1,2001年
北京市,,82.3,2002年
广西壮族自治区,,91.3,2002年
陕西省,,1005.6,2002年
广东省,,1478.91,2002年
甘肃省,,782.68,2002年
重庆市,,1082.4,2002年
贵州省,,1034.2,2002年
浙江省,,942.27,2002年
福建省,,763.2,2002年
宁夏回族自治区,,301.9,2002年
天津市,,137.82,2002年
海南省,,188.59,2002年
西藏自治区,,98.28,2002年
上海市,,130.46,2002年
青海省,,91.3,2002年
黑龙江省,,2941.2,2002年
河南省,,4209.98,2002年
山东省,,3292.69,2002年
安徽省,,2765,2002年
河北省,,2435.76,2002年
江苏省,,2907.05,2002年
吉林省,,2214.8,2002年
内蒙古自治区,,1406.08,2002年
四川省,,3132.4,2002年
湖南省,,2501.3,2002年
湖北省,,2047,2002年
辽宁省,,1510.4,2002年
江西省,,1549.5,2002年
云南省,,1424.74,2002年
新疆维吾尔自治区,,835.6,2002年
山西省,,925.54,2002年
北京市,,58.03,2003年
