name,type,value,date
北京市,,2678.82,1999年
广西壮族自治区,,1971.41,1999年
陕西省,,1592.64,1999年
广东省,,9250.68,1999年
甘肃省,,956.32,1999年
重庆市,,1663.2,1999年
贵州省,,937.5,1999年
浙江省,,5443.92,1999年
福建省,,3414.19,1999年
宁夏回族自治区,,264.58,1999年
天津市,,1500.95,1999年
海南省,,476.67,1999年
西藏自治区,,105.98,1999年
上海市,,4188.73,1999年
青海省,,239.38,1999年
黑龙江省,,2866.3,1999年
河南省,,4517.94,1999年
山东省,,7493.84,1999年
安徽省,,2712.34,1999年
河北省,,4514.19,1999年
江苏省,,7697.82,1999年
吉林省,,1672.96,1999年
内蒙古自治区,,1379.31,1999年
四川省,,3649.12,1999年
湖南省,,3214.54,1999年
湖北省,,3229.29,1999年
辽宁省,,4171.69,1999年
江西省,,1853.65,1999年
云南省,,1899.82,1999年
新疆维吾尔自治区,,1163.17,1999年
山西省,,1667.1,1999年
北京市,,3161.66,2000年
广西壮族自治区,,2080.04,2000年
陕西省,,1804,2000年
广东省,,10741.25,2000年
甘肃省,,1052.88,2000年
重庆市,,1791,2000年
贵州省,,1029.92,2000年
浙江省,,6141.03,2000年
福建省,,3764.54,2000年
宁夏回族自治区,,295.02,2000年
天津市,,1701.88,2000年
海南省,,526.82,2000年
西藏自治区,,117.8,2000年
上海市,,4771.17,2000年
青海省,,263.68,2000年
黑龙江省,,3151.4,2000年
河南省,,5052.99,2000年
山东省,,8337.47,2000年
安徽省,,2902.09,2000年
河北省,,5043.96,2000年
江苏省,,8553.69,2000年
吉林省,,1951.51,2000年
内蒙古自治区,,1539.12,2000年
四川省,,3928.2,2000年
湖南省,,3551.49,2000年
湖北省,,3545.39,2000年
辽宁省,,4669.06,2000年
江西省,,2003.07,2000年
云南省,,2011.19,2000年
新疆维吾尔自治区,,1363.56,2000年
山西省,,1845.72,2000年
北京市,,3707.96,2001年
广西壮族自治区,,2279.34,2001年
陕西省,,2010.62,2001年
广东省,,12039.25,2001年
甘肃省,,1125.37,2001年
重庆市,,1976.86,2001年
贵州省,,1133.27,2001年
浙江省,,6898.34,2001年
福建省,,4072.85,2001年
宁夏回族自治区,,337.44,2001年
天津市,,1919.09,2001年
海南省,,579.17,2001年
西藏自治区,,139.16,2001年
上海市,,5210.12,2001年
青海省,,300.13,2001年
黑龙江省,,3390.1,2001年
河南省,,5533.01,2001年
山东省,,9195.04,2001年
安徽省,,3246.71,2001年
河北省,,5516.76,2001年
江苏省,,9456.84,2001年
吉林省,,2120.35,2001年
内蒙古自治区,,1713.81,2001年
四川省,,4293.49,2001年
湖南省,,3831.9,2001年
