name,type,value,date
广西壮族自治区,,8.62,2003年
陕西省,,3611.66,2003年
广东省,,0.31,2003年
甘肃省,,67.25,2003年
重庆市,,1043.32,2003年
贵州省,,11.05,2003年
宁夏回族自治区,,0.74,2003年
天津市,,347.29,2003年
海南省,,13.84,2003年
青海省,,1260.15,2003年
黑龙江省,,467.83,2003年
河南省,,173.71,2003年
山东省,,285.54,2003年
安徽省,,0.01,2003年
河北省,,182.11,2003年
江苏省,,24.48,2003年
吉林省,,171.33,2003年
内蒙古自治区,,3967.18,2003年
四川省,,2032.83,2003年
湖北省,,40.94,2003年
辽宁省,,228.17,2003年
云南省,,14.96,2003年
新疆维吾尔自治区,,5554.76,2003年
广西壮族自治区,,8.49,2004年
陕西省,,4692.05,2004年
广东省,,0.31,2004年
甘肃省,,83.81,2004年
重庆市,,1127.32,2004年
贵州省,,10.41,2004年
宁夏回族自治区,,0.83,2004年
天津市,,349.21,2004年
海南省,,12.57,2004年
青海省,,1544.36,2004年
黑龙江省,,449.99,2004年
河南省,,172,2004年
山东省,,283.25,2004年
河北省,,176.42,2004年
江苏省,,24.55,2004年
吉林省,,181.34,2004年
内蒙古自治区,,3969.41,2004年
四川省,,3147.84,2004年
湖北省,,40.44,2004年
辽宁省,,498.88,2004年
云南省,,14.72,2004年
新疆维吾尔自治区,,5675.35,2004年
广西壮族自治区,,8.45,2005年
陕西省,,5450.02,2005年
广东省,,0.31,2005年
甘肃省,,97.48,2005年
重庆市,,1219.5,2005年
贵州省,,9.87,2005年
宁夏回族自治区,,0.47,2005年
天津市,,367.37,2005年
海南省,,10.95,2005年
青海省,,1525.31,2005年
黑龙江省,,903.8,2005年
河南省,,161.25,2005年
山东省,,277.08,2005年
安徽省,,0.01,2005年
河北省,,179.45,2005年
江苏省,,24.47,2005年
吉林省,,199.88,2005年
内蒙古自治区,,3970.45,2005年
四川省,,4295.08,2005年
湖北省,,39.2,2005年
辽宁省,,500.35,2005年
云南省,,14.5,2005年
新疆维吾尔自治区,,6023.6,2005年
广西壮族自治区,,3.48,2006年
陕西省,,8587.65,2006年
广东省,,0.31,2006年
甘肃省,,98.91,2006年
重庆市,,1135.76,2006年
贵州省,,4.61,2006年
宁夏回族自治区,,1.67,2006年
天津市,,275.75,2006年
海南省,,8.9,2006年
青海省,,1496.1,2006年
黑龙江省,,935.83,2006年
河南省,,110.42,2006年
山东省,,348.36,2006年
安徽省,,0.02,2006年
河北省,,240.59,2006年
江苏省,,22.71,2006年
吉林省,,167.84,2006年
内蒙古自治区,,1643.04,2006年
四川省,,5462.78,2006年
湖北省,,3.85,2006年
辽宁省,,202.91,2006年
云南省,,2.86,2006年
新疆维吾尔自治区,,6598.24,2006年
广西壮族自治区,,3.43,2007年
陕西省,,7435.39,2007年
广东省,,0.31,2007年
甘肃省,,106.51,2007年
重庆市,,1206.57,2007年
贵州省,,4.54,2007年
宁夏回族自治区,,1.68,2007年
天津市,,318.62,2007年
海南省,,6.87,2007年
青海省,,1462.08,2007年
黑龙江省,,1391.39,2007年
河南省,,97.22,2007年
山东省,,348.18,2007年
安徽省,,0.04,2007年
河北省,,302.66,2007年
江苏省,,22.85,2007年
吉林省,,670.18,2007年
内蒙古自治区,,3266.44,2007年
四川省,,5915.73,2007年
湖北省,,3.76,2007年
辽宁省,,209.21,2007年
云南省,,2.79,2007年
新疆维吾尔自治区,,6676.33,2007年
广西壮族自治区,,3.41,2008年
陕西省,,5709.24,2008年
广东省,,0.31,2008年
甘肃省,,106.13,2008年
重庆市,,1558.82,2008年
贵州省,,4.53,2008年
宁夏回族自治区,,2.18,2008年
天津市,,314.2,2008年
海南省,,4.4,2008年
青海省,,1418.49,2008年
黑龙江省,,1366.3,2008年
河南省,,98.83,2008年
山东省,,349.43,2008年
安徽省,,0.04,2008年
河北省,,303.9,2008年
江苏省,,22.47,2008年
吉林省,,690.33,2008年
内蒙古自治区,,5635.41,2008年
四川省,,6061.6,2008年
湖北省,,4.19,2008年
辽宁省,,197.41,2008年
云南省,,2.63,2008年
新疆维吾尔自治区,,7543.69,2008年
广西壮族自治区,,3.4,2009年
陕西省,,5658.7,2009年
广东省,,0.3,2009年
甘肃省,,163.6,2009年
重庆市,,1969.8,2009年
贵州省,,4.5,2009年
宁夏回族自治区,,2.2,2009年
天津市,,311.1,2009年
海南省,,2.5,2009年
青海省,,1377.3,2009年
黑龙江省,,1338,2009年
河南省,,84.1,2009年
山东省,,353.8,2009年
河北省,,294,2009年
江苏省,,22.6,2009年
吉林省,,677,2009年
内蒙古自治区,,6721.3,2009年
四川省,,6487,2009年
湖北省,,4.4,2009年
辽宁省,,187.1,2009年
云南省,,2.5,2009年
新疆维吾尔自治区,,8354.1,2009年
广西壮族自治区,,3.39,2010年
陕西省,,5628.11,2010年
广东省,,0.31,2010年
甘肃省,,191.8,2010年
重庆市,,1921.02,2010年
贵州省,,10.61,2010年
宁夏回族自治区,,2.75,2010年
天津市,,288.64,2010年
海南省,,0.7,2010年
青海省,,1321.89,2010年
黑龙江省,,1454.98,2010年
河南省,,99.21,2010年
山东省,,366.99,2010年
安徽省,,0.06,2010年
河北省,,359.32,2010年
江苏省,,23.66,2010年
吉林省,,681.26,2010年
内蒙古自治区,,7149.44,2010年
四川省,,6763.11,2010年
湖北省,,4.68,2010年
辽宁省,,209.43,2010年
云南省,,2.41,2010年
新疆维吾尔自治区,,8616.43,2010年
广西壮族自治区,,3.38,2011年
陕西省,,5478,2011年
广东省,,0.3,2011年
甘肃省,,191.63,2011年
重庆市,,1955.33,2011年
贵州省,,10.5,2011年
宁夏回族自治区,,2.54,2011年
天津市,,273.66,2011年
海南省,,-4.24,2011年
青海省,,1329.11,2011年
黑龙江省,,1407.46,2011年
河南省,,98.51,2011年
山东省,,379.2,2011年
安徽省,,0.15,2011年
河北省,,333.1,2011年
江苏省,,24.04,2011年
吉林省,,827.29,2011年
内蒙古自治区,,8040.48,2011年
