name,type,value,date
北京市,,1091,2003年
广西壮族自治区,,3671,2003年
陕西省,,2224,2003年
广东省,,6325,2003年
甘肃省,,1539,2003年
重庆市,,1441,2003年
贵州省,,2258,2003年
浙江省,,2513,2003年
福建省,,2383,2003年
宁夏回族自治区,,346,2003年
天津市,,674,2003年
海南省,,6273,2003年
西藏自治区,,301,2003年
上海市,,1305,2003年
青海省,,297,2003年
黑龙江省,,2521,2003年
河南省,,6273,2003年
山东省,,6145,2003年
安徽省,,3548,2003年
河北省,,4726,2003年
江苏省,,3391,2003年
吉林省,,2059,2003年
内蒙古自治区,,1340,2003年
四川省,,4164,2003年
湖南省,,4207,2003年
湖北省,,3132,2003年
辽宁省,,2682,2003年
江西省,,2238,2003年
云南省,,2480,2003年
新疆维吾尔自治区,,1314,2003年
山西省,,1946,2003年
北京市,,1228,2004年
广西壮族自治区,,3772,2004年
陕西省,,2363,2004年
广东省,,6105,2004年
甘肃省,,1708,2004年
重庆市,,1543,2004年
贵州省,,2275,2004年
浙江省,,2529,2004年
福建省,,2426,2004年
宁夏回族自治区,,372,2004年
天津市,,738,2004年
海南省,,6036,2004年
西藏自治区,,284,2004年
上海市,,1188,2004年
青海省,,309,2004年
黑龙江省,,2442,2004年
河南省,,6036,2004年
山东省,,5772,2004年
安徽省,,3934,2004年
河北省,,5071,2004年
江苏省,,3556,2004年
吉林省,,2205,2004年
内蒙古自治区,,1383,2004年
四川省,,4505,2004年
湖南省,,4253,2004年
湖北省,,3785,2004年
辽宁省,,2689,2004年
江西省,,2359,2004年
云南省,,2381,2004年
新疆维吾尔自治区,,1246,2004年
山西省,,1877,2004年
北京市,,1351,2005年
广西壮族自治区,,3874,2005年
陕西省,,2416,2005年
广东省,,6498,2005年
甘肃省,,1662,2005年
重庆市,,1209,2005年
贵州省,,2386,2005年
浙江省,,2699,2005年
福建省,,2801,2005年
宁夏回族自治区,,362,2005年
天津市,,712,2005年
海南省,,6458,2005年
西藏自治区,,290,2005年
上海市,,1205,2005年
青海省,,302,2005年
黑龙江省,,2559,2005年
河南省,,6458,2005年
山东省,,5831,2005年
安徽省,,3554,2005年
河北省,,4898,2005年
江苏省,,3839,2005年
吉林省,,2289,2005年
内蒙古自治区,,1450,2005年
四川省,,4238,2005年
湖南省,,4326,2005年
湖北省,,4168,2005年
辽宁省,,2773,2005年
江西省,,2444,2005年
云南省,,2634,2005年
新疆维吾尔自治区,,1355,2005年
山西省,,2135,2005年
北京市,,18410,2006年
广西壮族自治区,,40453,2006年
陕西省,,30628,2006年
广东省,,131802,2006年
甘肃省,,21141,2006年
重庆市,,15903,2006年
贵州省,,23555,2006年
浙江省,,37871,2006年
福建省,,35012,2006年
宁夏回族自治区,,4560,2006年
天津市,,11739,2006年
海南省,,85099,2006年
西藏自治区,,4320,2006年
上海市,,20283,2006年
青海省,,4298,2006年
黑龙江省,,28007,2006年
河南省,,85099,2006年
山东省,,81817,2006年
安徽省,,44325,2006年
河北省,,66866,2006年
江苏省,,58140,2006年
吉林省,,23105,2006年
内蒙古自治区,,17367,2006年
四川省,,48585,2006年
湖南省,,54377,2006年
湖北省,,42668,2006年
辽宁省,,31942,2006年
江西省,,28545,2006年
云南省,,31210,2006年
新疆维吾尔自治区,,17483,2006年
山西省,,26437,2006年
北京市,,1463,2007年
广西壮族自治区,,2902,2007年
陕西省,,2306,2007年
广东省,,8699,2007年
甘肃省,,1643,2007年
重庆市,,1356,2007年
贵州省,,1935,2007年
浙江省,,2891,2007年
福建省,,2552,2007年
宁夏回族自治区,,344,2007年
天津市,,803,2007年
海南省,,5999,2007年
西藏自治区,,282,2007年
上海市,,1339,2007年
青海省,,287,2007年
黑龙江省,,2024,2007年
河南省,,5999,2007年
山东省,,5877,2007年
安徽省,,3435,2007年
河北省,,4554,2007年
江苏省,,4202,2007年
吉林省,,1663,2007年
内蒙古自治区,,1390,2007年
四川省,,3682,2007年
湖南省,,3483,2007年
湖北省,,3202,2007年
辽宁省,,2425,2007年
江西省,,1941,2007年
云南省,,2312,2007年
新疆维吾尔自治区,,1311,2007年
山西省,,2161,2007年
北京市,,1518,2008年
广西壮族自治区,,2968,2008年
陕西省,,2218,2008年
广东省,,8884,2008年
甘肃省,,1715,2008年
重庆市,,1238,2008年
贵州省,,1953,2008年
浙江省,,2607,2008年
福建省,,2352,2008年
宁夏回族自治区,,359,2008年
天津市,,813,2008年
海南省,,6012,2008年
西藏自治区,,296,2008年
上海市,,1330,2008年
青海省,,302,2008年
黑龙江省,,1920,2008年
河南省,,6012,2008年
山东省,,5454,2008年
安徽省,,3421,2008年
河北省,,4253,2008年
江苏省,,4520,2008年
吉林省,,1520,2008年
内蒙古自治区,,1362,2008年
四川省,,3804,2008年
湖南省,,3460,2008年
湖北省,,3599,2008年
辽宁省,,2400,2008年
江西省,,2078,2008年
云南省,,2467,2008年
新疆维吾尔自治区,,1371,2008年
山西省,,2117,2008年
北京市,,1249,2009年
广西壮族自治区,,2586,2009年
陕西省,,2156,2009年
广东省,,8493,2009年
甘肃省,,1593,2009年
重庆市,,1298,2009年
贵州省,,2015,2009年
浙江省,,2726,2009年
福建省,,2022,2009年
宁夏回族自治区,,352,2009年
天津市,,770,2009年
海南省,,5867,2009年
西藏自治区,,303,2009年
上海市,,1388,2009年
青海省,,313,2009年
黑龙江省,,1847,2009年
河南省,,5867,2009年
山东省,,5250,2009年
安徽省,,3094,2009年
河北省,,4213,2009年
江苏省,,4712,2009年
吉林省,,1566,2009年
内蒙古自治区,,1269,2009年
四川省,,4155,2009年
湖南省,,3311,2009年
湖北省,,3536,2009年
辽宁省,,2353,2009年
江西省,,2205,2009年
云南省,,2278,2009年
新疆维吾尔自治区,,1342,2009年
山西省,,2158,2009年
北京市,,1298,2010年
广西壮族自治区,,2725,2010年
陕西省,,2235,2010年
广东省,,9439,2010年
甘肃省,,1582,2010年
重庆市,,1483,2010年
贵州省,,2074,2010年
浙江省,,2841,2010年
福建省,,1912,2010年
宁夏回族自治区,,358,2010年
天津市,,918,2010年
海南省,,5575,2010年
西藏自治区,,279,2010年
上海市,,1295,2010年
青海省,,299,2010年
黑龙江省,,1837,2010年
河南省,,5575,2010年
山东省,,4861,2010年
安徽省,,3132,2010年
河北省,,3532,2010年
江苏省,,3852,2010年
吉林省,,1352,2010年
内蒙古自治区,,1262,2010年
四川省,,3944,2010年
湖南省,,3301,2010年
湖北省,,3052,2010年
辽宁省,,2423,2010年
江西省,,2184,2010年
云南省,,2179,2010年
新疆维吾尔自治区,,1310,2010年
山西省,,2043,2010年
北京市,,1909,2011年
广西壮族自治区,,2581,2011年
陕西省,,2714,2011年
广东省,,9217,2011年
甘肃省,,1650,2011年
重庆市,,1470,2011年
贵州省,,1811,2011年
浙江省,,4680,2011年
福建省,,3450,2011年
宁夏回族自治区,,380,2011年
天津市,,1232,2011年
海南省,,5664,2011年
西藏自治区,,297,2011年
上海市,,1736,2011年
青海省,,448,2011年
黑龙江省,,2267,2011年
河南省,,5664,2011年
山东省,,4932,2011年
安徽省,,3204,2011年
河北省,,3744,2011年
江苏省,,5143,2011年
吉林省,,1408,2011年
内蒙古自治区,,1891,2011年
四川省,,4222,2011年
湖南省,,3343,2011年
湖北省,,3257,2011年
辽宁省,,2417,2011年
江西省,,2309,2011年
云南省,,2882,2011年
新疆维吾尔自治区,,1284,2011年
山西省,,2373,2011年
北京市,,1828,2012年
广西壮族自治区,,2713,2012年
陕西省,,2364,2012年
广东省,,8507,2012年
甘肃省,,1596,2012年
重庆市,,1496,2012年
贵州省,,1971,2012年
浙江省,,4191,2012年
福建省,,2167,2012年
宁夏回族自治区,,375,2012年
天津市,,1019,2012年
海南省,,5707,2012年
西藏自治区,,304,2012年
上海市,,1668,2012年
青海省,,346,2012年
黑龙江省,,1804,2012年
河南省,,5707,2012年
山东省,,4477,2012年
安徽省,,2939,2012年
河北省,,3614,2012年
江苏省,,4957,2012年
吉林省,,1767,2012年
内蒙古自治区,,1450,2012年
四川省,,4110,2012年
湖南省,,3023,2012年
湖北省,,3460,2012年
辽宁省,,3488,2012年
江西省,,2243,2012年
云南省,,2604,2012年
新疆维吾尔自治区,,1151,2012年
山西省,,2420,2012年
北京市,,1970,2013年
广西壮族自治区,,2516,2013年
陕西省,,2036,2013年
广东省,,8284,2013年
甘肃省,,1492,2013年
重庆市,,1467,2013年
贵州省,,2270,2013年
浙江省,,4127,2013年
福建省,,1847,2013年
宁夏回族自治区,,367,2013年
天津市,,1037,2013年
海南省,,5319,2013年
西藏自治区,,275,2013年
上海市,,1512,2013年
青海省,,330,2013年
黑龙江省,,1861,2013年
河南省,,5319,2013年
山东省,,4032,2013年
安徽省,,3609,2013年
河北省,,3346,2013年
江苏省,,4330,2013年
吉林省,,1234,2013年
内蒙古自治区,,1201,2013年
四川省,,4252,2013年
湖南省,,3326,2013年
湖北省,,3248,2013年
辽宁省,,3120,2013年
江西省,,2609,2013年
云南省,,2104,2013年
新疆维吾尔自治区,,1179,2013年
山西省,,2184,2013年
北京市,,1880,2014年
