name,type,value1,value,date
谢,,1050000,1050,1995年
谢,,1050000,1050,1996年
谢,,1050000,1050,1997年
谢,,1050000,1050,1998年
谢,,1050000,1050,1999年
谢,,1050000,1050,2000年
谢,,1050000,1050,2001年
谢,,1050000,1050,2002年
谢,,1050000,1050,2003年
谢,,1050000,1050,2004年
谢,,1050000,1050,2005年
谢,,1050000,1050,2006年
谢,,1050000,1050,2007年
谢,,1050000,1050,2008年
谢,,1050000,1050,2009年
谢,,1050000,1050,2010年
谢,,1050000,1050,2011年
谢,,1050000,1050,2012年
谢,,1050000,1050,2013年
谢,,1050000,1050,2014年
谢,,1050000,1050,2015年
谢,,1050000,1050,2016年
谢,,1050000,1050,2017年
梁,,1100000,1100,1996年
梁,,1100000,1100,1997年
梁,,1100000,1100,1998年
梁,,1100000,1100,1999年
梁,,1100000,1100,2000年
梁,,1100000,1100,2001年
梁,,1100000,1100,2002年
梁,,1100000,1100,2003年
梁,,1100000,1100,2004年
梁,,1100000,1100,2005年
梁,,1100000,1100,2006年
梁,,1100000,1100,2007年
梁,,1100000,1100,2008年
梁,,1100000,1100,2009年
梁,,1100000,1100,2010年
梁,,1100000,1100,2011年
梁,,1100000,1100,2012年
梁,,1100000,1100,2013年
梁,,1100000,1100,2014年
梁,,1100000,1100,2015年
梁,,1100000,1100,2016年
梁,,1100000,1100,2017年
郑,,1280000,1280,1997年
郑,,1280000,1280,1998年
郑,,1280000,1280,1999年
郑,,1280000,1280,2000年
郑,,1280000,1280,2001年
郑,,1280000,1280,2002年
郑,,1280000,1280,2003年
郑,,1280000,1280,2004年
郑,,1280000,1280,2005年
郑,,1280000,1280,2006年
郑,,1280000,1280,2007年
郑,,1280000,1280,2008年
郑,,1280000,1280,2009年
郑,,1280000,1280,2010年
郑,,1280000,1280,2011年
郑,,1280000,1280,2012年
郑,,1280000,1280,2013年
郑,,1280000,1280,2014年
郑,,1280000,1280,2015年
郑,,1280000,1280,2016年
郑,,1280000,1280,2017年
罗,,1400000,1400,1998年
罗,,1400000,1400,1999年
罗,,1400000,1400,2000年
罗,,1400000,1400,2001年
罗,,1400000,1400,2002年
罗,,1400000,1400,2003年
罗,,1400000,1400,2004年
罗,,1400000,1400,2005年
罗,,1400000,1400,2006年
罗,,1400000,1400,2007年
罗,,1400000,1400,2008年
罗,,1400000,1400,2009年
