name,type,value,date
江西省,,15370,2006年
湖北省,,15779,2006年
海南省,,15843,2006年
云南省,,15843,2006年
黑龙江省,,15894,2006年
吉林省,,16393,2006年
河北省,,16456,2006年
贵州省,,16481,2006年
陕西省,,16646,2006年
河南省,,16791,2006年
甘肃省,,16991,2006年
湖南省,,17400,2006年
广西壮族自治区,,17571,2006年
安徽省,,17610,2006年
四川省,,17612,2006年
新疆维吾尔自治区,,17704,2006年
山西省,,18106,2006年
内蒙古自治区,,18382,2006年
山东省,,19135,2006年
重庆市,,19172,2006年
辽宁省,,19365,2006年
福建省,,19424,2006年
宁夏回族自治区,,20900,2006年
青海省,,21981,2006年
江苏省,,23657,2006年
广东省,,26400,2006年
浙江省,,27570,2006年
天津市,,27628,2006年
西藏自治区,,29119,2006年
上海市,,37585,2006年
北京市,,39684,2006年
江西省,,18144,2007年
黑龙江省,,18481,2007年
海南省,,19220,2007年
云南省,,19220,2007年
湖北省,,19548,2007年
河北省,,19742,2007年
贵州省,,20254,2007年
吉林省,,20371,2007年
河南省,,20639,2007年
甘肃省,,20657,2007年
陕西省,,20977,2007年
湖南省,,21060,2007年
四川省,,21081,2007年
新疆维吾尔自治区,,21249,2007年
广西壮族自治区,,21251,2007年
山西省,,21315,2007年
安徽省,,21699,2007年
内蒙古自治区,,21794,2007年
福建省,,22277,2007年
山东省,,22734,2007年
辽宁省,,22882,2007年
重庆市,,22965,2007年
青海省,,25318,2007年
宁夏回族自治区,,25723,2007年
江苏省,,27212,2007年
广东省,,29658,2007年
浙江省,,30818,2007年
天津市,,33312,2007年
西藏自治区,,42820,2007年
上海市,,44976,2007年
北京市,,45823,2007年
江西省,,20597,2008年
黑龙江省,,21764,2008年
海南省,,21767,2008年
云南省,,21767,2008年
湖北省,,22384,2008年
吉林省,,23294,2008年
甘肃省,,23632,2008年
贵州省,,23979,2008年
湖南省,,24146,2008年
河北省,,24276,2008年
河南省,,24438,2008年
新疆维吾尔自治区,,24686,2008年
四川省,,24725,2008年
广西壮族自治区,,24798,2008年
陕西省,,25478,2008年
山西省,,25489,2008年
福建省,,25555,2008年
安徽省,,25703,2008年
内蒙古自治区,,25949,2008年
山东省,,26234,2008年
重庆市,,26640,2008年
辽宁省,,27179,2008年
宁夏回族自治区,,30050,2008年
青海省,,30101,2008年
江苏省,,31297,2008年
广东省,,33282,2008年
浙江省,,33622,2008年
天津市,,39990,2008年
西藏自治区,,44055,2008年
上海市,,52122,2008年
北京市,,55844,2008年
江西省,,24165,2009年
海南省,,24790,2009年
云南省,,24790,2009年
黑龙江省,,24805,2009年
吉林省,,25943,2009年
湖南省,,26534,2009年
湖北省,,26547,2009年
甘肃省,,26743,2009年
河南省,,26906,2009年
广西壮族自治区,,27322,2009年
贵州省,,27437,2009年
新疆维吾尔自治区,,27617,2009年
河北省,,27774,2009年
山西省,,28066,2009年
四川省,,28149,2009年
福建省,,28366,2009年
安徽省,,28723,2009年
山东省,,29398,2009年
陕西省,,29566,2009年
内蒙古自治区,,30486,2009年
重庆市,,30499,2009年
辽宁省,,30523,2009年
青海省,,32481,2009年
宁夏回族自治区,,32916,2009年
江苏省,,35217,2009年
广东省,,36469,2009年
浙江省,,36553,2009年
天津市,,43937,2009年
西藏自治区,,45347,2009年
北京市,,57779,2009年
上海市,,58336,2009年
黑龙江省,,27735,2010年
江西省,,28363,2010年
吉林省,,29003,2010年
甘肃省,,29096,2010年
湖南省,,29670,2010年
河南省,,29819,2010年
贵州省,,30433,2010年
广西壮族自治区,,30673,2010年
海南省,,30775,2010年
云南省,,30775,2010年
河北省,,31451,2010年
湖北省,,31811,2010年
新疆维吾尔自治区,,32003,2010年
福建省,,32340,2010年
四川省,,32567,2010年
山西省,,33057,2010年
山东省,,33321,2010年
安徽省,,33341,2010年
陕西省,,33384,2010年
辽宁省,,34437,2010年
重庆市,,34727,2010年
内蒙古自治区,,35211,2010年
青海省,,36121,2010年
宁夏回族自治区,,37166,2010年
江苏省,,39772,2010年
广东省,,40432,2010年
浙江省,,40640,2010年
西藏自治区,,49898,2010年
天津市,,51489,2010年
北京市,,65158,2010年
上海市,,66115,2010年
黑龙江省,,31302,2011年
甘肃省,,32092,2011年
广西壮族自治区,,33032,2011年
江西省,,33239,2011年
吉林省,,33610,2011年
河南省,,33634,2011年
湖南省,,34586,2011年
河北省,,35309,2011年
贵州省,,36102,2011年
湖北省,,36128,2011年
海南省,,36244,2011年
云南省,,36244,2011年
四川省,,37330,2011年
山东省,,37618,2011年
陕西省,,38143,2011年
辽宁省,,38154,2011年
新疆维吾尔自治区,,38238,2011年
福建省,,38588,2011年
山西省,,39230,2011年
安徽省,,39352,2011年
重庆市,,39430,2011年
内蒙古自治区,,41118,2011年
青海省,,41370,2011年
宁夏回族自治区,,42703,2011年
广东省,,45060,2011年
浙江省,,45162,2011年
江苏省,,45487,2011年
西藏自治区,,49464,2011年
天津市,,55658,2011年
北京市,,75482,2011年
上海市,,75591,2011年
广西壮族自治区,,36386,2012年
黑龙江省,,36406,2012年
河南省,,37338,2012年
甘肃省,,37679,2012年
吉林省,,38407,2012年
江西省,,38512,2012年
河北省,,38658,2012年
湖南省,,38971,2012年
海南省,,39485,2012年
云南省,,39485,2012年
湖北省,,39846,2012年
贵州省,,41156,2012年
辽宁省,,41858,2012年
山东省,,41904,2012年
四川省,,42339,2012年
陕西省,,43073,2012年
山西省,,44236,2012年
重庆市,,44498,2012年
福建省,,44525,2012年
新疆维吾尔自治区,,44576,2012年
安徽省,,44601,2012年
青海省,,46483,2012年
内蒙古自治区,,46557,2012年
宁夏回族自治区,,47436,2012年
浙江省,,50197,2012年
广东省,,50278,2012年
江苏省,,50639,2012年
西藏自治区,,51705,2012年
天津市,,61514,2012年
上海市,,78673,2012年
北京市,,84742,2012年
河南省,,38301,2013年
黑龙江省,,40794,2013年
广西壮族自治区,,41391,2013年
河北省,,41501,2013年
江西省,,42473,2013年
湖南省,,42726,2013年
甘肃省,,42833,2013年
吉林省,,42846,2013年
湖北省,,43899,2013年
海南省,,44971,2013年
云南省,,44971,2013年
辽宁省,,45505,2013年
山西省,,46407,2013年
山东省,,46998,2013年
贵州省,,47364,2013年
陕西省,,47446,2013年
安徽省,,47806,2013年
四川省,,47965,2013年
福建省,,48538,2013年
新疆维吾尔自治区,,49064,2013年
重庆市,,50006,2013年
宁夏回族自治区,,50476,2013年
内蒙古自治区,,50723,2013年
青海省,,51393,2013年
广东省,,53318,2013年
浙江省,,56571,2013年
江苏省,,57177,2013年
西藏自治区,,57773,2013年
天津市,,67773,2013年
上海市,,90908,2013年
北京市,,93006,2013年
河南省,,42179,2014年
黑龙江省,,44036,2014年
河北省,,45114,2014年
广西壮族自治区,,45424,2014年
江西省,,46218,2014年
吉林省,,46516,2014年
甘肃省,,46960,2014年
湖南省,,47117,2014年
辽宁省,,48190,2014年
山西省,,48969,2014年
湖北省,,49838,2014年
海南省,,49882,2014年
云南省,,49882,2014年
陕西省,,50535,2014年
安徽省,,50894,2014年
山东省,,51825,2014年
四川省,,52555,2014年
贵州省,,52772,2014年
福建省,,53426,2014年
新疆维吾尔自治区,,53471,2014年
内蒙古自治区,,53748,2014年
宁夏回族自治区,,54858,2014年
重庆市,,55588,2014年
青海省,,57084,2014年
广东省,,59481,2014年
江苏省,,60867,2014年
西藏自治区,,61235,2014年
浙江省,,61572,2014年
天津市,,72773,2014年
上海市,,100251,2014年
北京市,,102268,2014年
河南省,,45403,2015年
黑龙江省,,48881,2015年
河北省,,50921,2015年
江西省,,50932,2015年
吉林省,,51558,2015年
山西省,,51803,2015年
辽宁省,,52332,2015年
湖南省,,52357,2015年
甘肃省,,52942,2015年
广西壮族自治区,,52982,2015年
湖北省,,54367,2015年
陕西省,,54994,2015年
安徽省,,55139,2015年
内蒙古自治区,,57135,2015年
山东省,,57270,2015年
海南省,,57600,2015年
云南省,,57600,2015年
福建省,,57628,2015年
四川省,,58915,2015年
贵州省,,59701,2015年
新疆维吾尔自治区,,60117,2015年
宁夏回族自治区,,60380,2015年
重庆市,,60543,2015年
青海省,,61090,2015年
广东省,,65788,2015年
江苏省,,66196,2015年
浙江省,,66668,2015年
天津市,,80090,2015年
西藏自治区,,97849,2015年
上海市,,109174,2015年
北京市,,111390,2015年
河南省,,49505,2016年
黑龙江省,,52435,2016年
山西省,,53705,2016年
河北省,,55334,2016年
辽宁省,,56015,2016年
吉林省,,56098,2016年
江西省,,56136,2016年
甘肃省,,57575,2016年
广西壮族自治区,,57878,2016年
湖南省,,58241,2016年
安徽省,,59102,2016年
陕西省,,59637,2016年
湖北省,,59831,2016年
内蒙古自治区,,61067,2016年
海南省,,61663,2016年
云南省,,61663,2016年
福建省,,61973,2016年
山东省,,62539,2016年
新疆维吾尔自治区,,63739,2016年
四川省,,63926,2016年
重庆市,,65545,2016年
宁夏回族自治区,,65570,2016年
贵州省,,66279,2016年
青海省,,66589,2016年
江苏省,,71574,2016年
广东省,,72326,2016年
浙江省,,73326,2016年
天津市,,86305,2016年
西藏自治区,,103232,2016年
北京市,,119928,2016年
上海市,,119935,2016年
河南省,,55495,2017年
黑龙江省,,56067,2017年
山西省,,60061,2017年
辽宁省,,61153,2017年
江西省,,61429,2017年
吉林省,,61451,2017年
河北省,,63036,2017年
甘肃省,,63374,2017年
湖南省,,63690,2017年
广西壮族自治区,,63821,2017年
安徽省,,65150,2017年
陕西省,,65181,2017年
湖北省,,65912,2017年
内蒙古自治区,,66679,2017年
福建省,,67420,2017年
海南省,,67727,2017年
云南省,,67727,2017年
新疆维吾尔自治区,,67932,2017年
山东省,,68081,2017年
四川省,,69419,2017年
宁夏回族自治区,,70298,2017年
重庆市,,70889,2017年
贵州省,,71795,2017年
青海省,,75701,2017年
江苏省,,78267,2017年
广东省,,79183,2017年
浙江省,,80750,2017年
天津市,,94534,2017年
西藏自治区,,108817,2017年
上海市,,129795,2017年
北京市,,131700,2017年
黑龙江省,,60780,2018年
河南省,,63174,2018年
山西省,,65917,2018年
辽宁省,,67324,2018年
吉林省,,68533,2018年
江西省,,68573,2018年
河北省,,68717,2018年
湖南省,,70221,2018年
广西壮族自治区,,70606,2018年
甘肃省,,70695,2018年
陕西省,,71983,2018年
山东省,,73593,2018年
湖北省,,73777,2018年
内蒙古自治区,,73835,2018年
福建省,,74316,2018年
安徽省,,74378,2018年
新疆维吾尔自治区,,75457,2018年
海南省,,75885,2018年
云南省,,75885,2018年
四川省,,77686,2018年
贵州省,,78316,2018年
宁夏回族自治区,,78384,2018年
重庆市,,78928,2018年
江苏省,,84688,2018年
青海省,,85379,2018年
广东省,,88636,2018年
浙江省,,88883,2018年
天津市,,100731,2018年
西藏自治区,,116015,2018年
上海市,,140400,2018年
北京市,,145766,2018年
