name,type,value,date
北京市,,990.7,2001年
广西壮族自治区,,215.2,2001年
陕西省,,284.5,2001年
广东省,,1488.4,2001年
甘肃省,,103.5,2001年
重庆市,,259.9,2001年
贵州省,,116,2001年
浙江省,,823.6,2001年
福建省,,743.8,2001年
宁夏回族自治区,,41.9,2001年
天津市,,254.3,2001年
海南省,,62.9,2001年
西藏自治区,,16.5,2001年
上海市,,847.5,2001年
青海省,,31.4,2001年
黑龙江省,,246.2,2001年
河南省,,538.8,2001年
山东省,,673.4,2001年
安徽省,,401.3,2001年
河北省,,507.2,2001年
江苏省,,1004,2001年
吉林省,,218.8,2001年
内蒙古自治区,,129.1,2001年
四川省,,557.7,2001年
湖南省,,398.6,2001年
湖北省,,490.9,2001年
辽宁省,,466.6,2001年
江西省,,285.3,2001年
云南省,,153.3,2001年
新疆维吾尔自治区,,146.4,2001年
山西省,,154.8,2001年
北京市,,1066.7,2002年
广西壮族自治区,,241,2002年
陕西省,,298.3,2002年
广东省,,1823.8,2002年
甘肃省,,127.6,2002年
重庆市,,228.6,2002年
贵州省,,155.1,2002年
浙江省,,865.5,2002年
福建省,,543,2002年
宁夏回族自治区,,41.7,2002年
天津市,,287.7,2002年
海南省,,71.1,2002年
西藏自治区,,19.5,2002年
上海市,,946.4,2002年
青海省,,38.9,2002年
黑龙江省,,288.8,2002年
河南省,,761,2002年
山东省,,754.3,2002年
安徽省,,400.3,2002年
河北省,,488.3,2002年
江苏省,,1103.4,2002年
吉林省,,266.7,2002年
内蒙古自治区,,147.6,2002年
四川省,,750.9,2002年
湖南省,,437.5,2002年
湖北省,,568,2002年
辽宁省,,509.1,2002年
江西省,,313.5,2002年
云南省,,160.9,2002年
新疆维吾尔自治区,,163.2,2002年
山西省,,167.7,2002年
北京市,,1188.8,2003年
广西壮族自治区,,414.6,2003年
陕西省,,335.3,2003年
广东省,,2180.1,2003年
甘肃省,,196,2003年
重庆市,,271.4,2003年
贵州省,,253.3,2003年
浙江省,,1014.2,2003年
福建省,,682.1,2003年
宁夏回族自治区,,52.1,2003年
天津市,,321.5,2003年
海南省,,84.2,2003年
西藏自治区,,28,2003年
上海市,,1148.7,2003年
青海省,,47.7,2003年
黑龙江省,,339.6,2003年
河南省,,944.9,2003年
山东省,,1089.4,2003年
安徽省,,426.3,2003年
河北省,,651,2003年
江苏省,,1302.9,2003年
吉林省,,330.1,2003年
内蒙古自治区,,191.7,2003年
四川省,,939.2,2003年
湖南省,,563.4,2003年
湖北省,,671.3,2003年
辽宁省,,619.8,2003年
江西省,,351.9,2003年
云南省,,199.6,2003年
新疆维吾尔自治区,,198.8,2003年
山西省,,199.9,2003年
北京市,,1499.7,2004年
广西壮族自治区,,583.1,2004年
陕西省,,365.6,2004年
广东省,,2689.4,2004年
甘肃省,,213.3,2004年
重庆市,,333.7,2004年
贵州省,,326.8,2004年
浙江省,,1164.2,2004年
福建省,,789.4,2004年
宁夏回族自治区,,58.4,2004年
天津市,,352.1,2004年
海南省,,95.7,2004年
西藏自治区,,30.7,2004年
上海市,,1388.4,2004年
青海省,,48.2,2004年
黑龙江省,,371.5,2004年
河南省,,1104.6,2004年
山东省,,1259.4,2004年
安徽省,,432.5,2004年
河北省,,739.9,2004年
江苏省,,1464,2004年
吉林省,,322.9,2004年
内蒙古自治区,,218.1,2004年
四川省,,984.9,2004年
湖南省,,450.3,2004年
湖北省,,656.5,2004年
辽宁省,,744.3,2004年
江西省,,390.1,2004年
云南省,,218,2004年
新疆维吾尔自治区,,238.1,2004年
山西省,,238.4,2004年
北京市,,1795.1,2005年
广西壮族自治区,,620.7,2005年
陕西省,,396.7,2005年
广东省,,3328.3,2005年
甘肃省,,227.1,2005年
重庆市,,348.3,2005年
贵州省,,394.7,2005年
浙江省,,1256.2,2005年
福建省,,898.4,2005年
宁夏回族自治区,,59.3,2005年
天津市,,410.2,2005年
海南省,,108.1,2005年
西藏自治区,,38.3,2005年
上海市,,1685.5,2005年
青海省,,48.6,2005年
黑龙江省,,408.6,2005年
河南省,,1162.6,2005年
山东省,,1447.1,2005年
安徽省,,506.4,2005年
河北省,,842.9,2005年
江苏省,,1719.2,2005年
吉林省,,424.7,2005年
内蒙古自治区,,246,2005年
四川省,,1112.8,2005年
湖南省,,562,2005年
湖北省,,685.4,2005年
辽宁省,,804.4,2005年
江西省,,516.6,2005年
云南省,,261.7,2005年
新疆维吾尔自治区,,265.6,2005年
山西省,,298.6,2005年
北京市,,2081.18,2006年
广西壮族自治区,,702.95,2006年
陕西省,,489.47,2006年
广东省,,4150.13,2006年
甘肃省,,233.42,2006年
重庆市,,386.19,2006年
贵州省,,424.83,2006年
浙江省,,1439.7,2006年
福建省,,1040.62,2006年
宁夏回族自治区,,58.43,2006年
天津市,,489.36,2006年
海南省,,123.47,2006年
西藏自治区,,41.81,2006年
上海市,,2112.31,2006年
青海省,,54.68,2006年
黑龙江省,,493.32,2006年
河南省,,1135.56,2006年
山东省,,1578.92,2006年
安徽省,,565.9,2006年
河北省,,1023.45,2006年
江苏省,,2085.28,2006年
吉林省,,561.34,2006年
内蒙古自治区,,272.08,2006年
四川省,,1286.41,2006年
湖南省,,695.91,2006年
湖北省,,792.48,2006年
辽宁省,,911.64,2006年
江西省,,584.54,2006年
云南省,,550.53,2006年
新疆维吾尔自治区,,291.03,2006年
山西省,,331.12,2006年
北京市,,9504.31,2007年
广西壮族自治区,,1380.73,2007年
陕西省,,1644.84,2007年
广东省,,22979.9,2007年
甘肃省,,607.57,2007年
重庆市,,1401.43,2007年
贵州省,,848.6,2007年
浙江省,,8408.35,2007年
福建省,,4490.8,2007年
宁夏回族自治区,,194.63,2007年
天津市,,2048.2,2007年
海南省,,371.02,2007年
西藏自治区,,147.6,2007年
上海市,,24247.01,2007年
青海省,,144.43,2007年
黑龙江省,,1842.94,2007年
河南省,,2939.71,2007年
山东省,,5233.88,2007年
安徽省,,1611.57,2007年
