name,type,value,date
北京市,,4919,2000年
广西壮族自治区,,1450,2000年
陕西省,,1253,2000年
广东省,,3228,2000年
甘肃省,,1302,2000年
重庆市,,1351,2000年
贵州省,,1269,2000年
浙江省,,1947,2000年
福建省,,2084,2000年
宁夏回族自治区,,1352,2000年
天津市,,2328,2000年
海南省,,1980,2000年
西藏自治区,,1075,2000年
上海市,,3565,2000年
青海省,,1238,2000年
黑龙江省,,1739,2000年
河南省,,1260,2000年
山东省,,1427,2000年
安徽省,,1173,2000年
河北省,,1448,2000年
江苏省,,1643,2000年
吉林省,,1408,2000年
内蒙古自治区,,1136,2000年
四川省,,1340,2000年
湖南省,,1079,2000年
湖北省,,1368,2000年
辽宁省,,2076,2000年
江西省,,949,2000年
云南省,,1739,2000年
新疆维吾尔自治区,,1424,2000年
山西省,,1118,2000年
北京市,,5062,2001年
广西壮族自治区,,1836,2001年
陕西省,,1570,2001年
广东省,,3305,2001年
甘肃省,,1259,2001年
重庆市,,1443,2001年
贵州省,,1164,2001年
浙江省,,2050,2001年
福建省,,2015,2001年
宁夏回族自治区,,1596,2001年
天津市,,2375,2001年
海南省,,1910,2001年
西藏自治区,,1674,2001年
上海市,,3866,2001年
青海省,,1208,2001年
黑龙江省,,1784,2001年
河南省,,1236,2001年
山东省,,1457,2001年
安徽省,,1163,2001年
河北省,,1463,2001年
江苏省,,1801,2001年
吉林省,,1552,2001年
内蒙古自治区,,1235,2001年
四川省,,1368,2001年
湖南省,,1248,2001年
湖北省,,1363,2001年
辽宁省,,2126,2001年
江西省,,972,2001年
云南省,,1940,2001年
新疆维吾尔自治区,,1533,2001年
山西省,,1349,2001年
北京市,,4764,2002年
广西壮族自治区,,1926,2002年
陕西省,,1554,2002年
广东省,,3241,2002年
甘肃省,,1326,2002年
重庆市,,1556,2002年
贵州省,,1238,2002年
浙江省,,2387,2002年
福建省,,2152,2002年
宁夏回族自治区,,1865,2002年
天津市,,2487,2002年
海南省,,1789,2002年
西藏自治区,,1569,2002年
上海市,,4134,2002年
青海省,,1292,2002年
黑龙江省,,1803,2002年
河南省,,1380,2002年
山东省,,1605,2002年
安徽省,,1290,2002年
河北省,,1503,2002年
江苏省,,1925,2002年
吉林省,,1665,2002年
内蒙古自治区,,1256,2002年
四川省,,1381,2002年
湖南省,,1326,2002年
湖北省,,1456,2002年
辽宁省,,2139,2002年
江西省,,1062,2002年
云南省,,1913,2002年
新疆维吾尔自治区,,1735,2002年
山西省,,1435,2002年
北京市,,4737,2003年
广西壮族自治区,,1883,2003年
陕西省,,1534,2003年
广东省,,3195,2003年
甘肃省,,1275,2003年
重庆市,,1596,2003年
贵州省,,1313,2003年
浙江省,,2737,2003年
福建省,,2297,2003年
宁夏回族自治区,,1868,2003年
天津市,,2518,2003年
海南省,,2105,2003年
西藏自治区,,1753,2003年
上海市,,5118,2003年
青海省,,1465,2003年
黑龙江省,,1799,2003年
河南省,,1388,2003年
山东省,,1698,2003年
安徽省,,1513,2003年
河北省,,1463,2003年
江苏省,,2197,2003年
吉林省,,1574,2003年
内蒙古自治区,,1270,2003年
四川省,,1421,2003年
湖南省,,1413,2003年
湖北省,,1506,2003年
辽宁省,,2291,2003年
江西省,,1210,2003年
云南省,,1882,2003年
新疆维吾尔自治区,,1817,2003年
山西省,,1611,2003年
北京市,,5052.93,2004年
广西壮族自治区,,2082.58,2004年
陕西省,,1731.03,2004年
广东省,,3482,2004年
甘肃省,,1753.7,2004年
重庆市,,1766.24,2004年
贵州省,,1385.02,2004年
浙江省,,3108.19,2004年
福建省,,2559.68,2004年
宁夏回族自治区,,1880.4,2004年
天津市,,3114.61,2004年
海南省,,2404.89,2004年
西藏自治区,,2747.58,2004年
上海市,,5855,2004年
青海省,,1582.88,2004年
黑龙江省,,1938.99,2004年
河南省,,1572.9,2004年
山东省,,2045.29,2004年
安徽省,,1782.14,2004年
河北省,,1605.42,2004年
江苏省,,2651.41,2004年
吉林省,,1880.01,2004年
内蒙古自治区,,1400.63,2004年
四川省,,1572.22,2004年
湖南省,,1510.54,2004年
湖北省,,1671.67,2004年
辽宁省,,2412.03,2004年
江西省,,1325,2004年
云南省,,1977.51,2004年
新疆维吾尔自治区,,1585.19,2004年
山西省,,1803.23,2004年
北京市,,6788.09,2005年
广西壮族自治区,,2013.64,2005年
陕西省,,2059.61,2005年
广东省,,4442.76,2005年
甘肃省,,1936.22,2005年
重庆市,,2134.99,2005年
贵州省,,1606.59,2005年
浙江省,,4279.97,2005年
福建省,,3161.67,2005年
宁夏回族自治区,,2235.38,2005年
天津市,,4054.73,2005年
海南省,,2924.47,2005年
西藏自治区,,1700.11,2005年
上海市,,6842,2005年
青海省,,1832.2,2005年
黑龙江省,,2099.12,2005年
河南省,,1866.95,2005年
山东省,,2425.22,2005年
安徽省,,2220.2,2005年
河北省,,1862.03,2005年
江苏省,,3358.76,2005年
吉林省,,1888.19,2005年
内蒙古自治区,,1653.22,2005年
四川省,,1945.48,2005年
湖南省,,1624.81,2005年
湖北省,,2263.26,2005年
辽宁省,,2797.58,2005年
江西省,,1528.68,2005年
云南省,,2165.02,2005年
新疆维吾尔自治区,,1797.74,2005年
山西省,,2209.91,2005年
北京市,,8279.51,2006年
广西壮族自治区,,2195.41,2006年
陕西省,,2461.32,2006年
广东省,,4852.74,2006年
甘肃省,,1779.76,2006年
重庆市,,2269.21,2006年
贵州省,,1779.82,2006年
浙江省,,4774.44,2006年
福建省,,3993.96,2006年
宁夏回族自治区,,2063.07,2006年
天津市,,4773.54,2006年
海南省,,3787.46,2006年
西藏自治区,,1976.46,2006年
上海市,,7196,2006年
青海省,,1920.56,2006年
黑龙江省,,2195.55,2006年
河南省,,2011.84,2006年
山东省,,2540.5,2006年
安徽省,,2321.89,2006年
河北省,,2111.42,2006年
江苏省,,3592.19,2006年
吉林省,,2009.59,2006年
内蒙古自治区,,1811.37,2006年
四川省,,2270.94,2006年
湖南省,,1928.44,2006年
湖北省,,2555.66,2006年
辽宁省,,3073.44,2006年
江西省,,1707.99,2006年
云南省,,2380.17,2006年
新疆维吾尔自治区,,1858.09,2006年
山西省,,1988.18,2006年
北京市,,11553.26,2007年
广西壮族自治区,,2538.64,2007年
陕西省,,2622,2007年
广东省,,5914.3,2007年
甘肃省,,2190.54,2007年
重庆市,,2722.58,2007年
贵州省,,2136.74,2007年
浙江省,,5786.03,2007年
福建省,,4684.34,2007年
宁夏回族自治区,,2136.2,2007年
天津市,,5811.11,2007年
海南省,,4161.6,2007年
西藏自治区,,2704.12,2007年
上海市,,8361,2007年
青海省,,2311,2007年
黑龙江省,,2471.32,2007年
河南省,,2253.43,2007年
山东省,,2904.14,2007年
安徽省,,2664.37,2007年
河北省,,2585.77,2007年
江苏省,,4024.36,2007年
吉林省,,2302.47,2007年
内蒙古自治区,,2246.53,2007年
四川省,,2840.45,2007年
湖南省,,2233.15,2007年
湖北省,,3053.12,2007年
辽宁省,,3490.15,2007年
江西省,,2071.89,2007年
云南省,,2454.98,2007年
新疆维吾尔自治区,,2081.13,2007年
山西省,,2249.61,2007年
北京市,,12418,2008年
广西壮族自治区,,2826,2008年
陕西省,,2952,2008年
广东省,,5953,2008年
甘肃省,,1958,2008年
重庆市,,2785,2008年
贵州省,,2339,2008年
浙江省,,6262,2008年
福建省,,4384,2008年
宁夏回族自治区,,2435,2008年
天津市,,6015,2008年
海南省,,5443,2008年
西藏自治区,,3202,2008年
上海市,,8195,2008年
青海省,,2460,2008年
黑龙江省,,2832,2008年
河南省,,2339,2008年
山东省,,2970,2008年
安徽省,,2949,2008年
河北省,,2779,2008年
江苏省,,4049,2008年
吉林省,,2507,2008年
内蒙古自治区,,2483,2008年
四川省,,3157,2008年
湖南省,,2302,2008年
湖北省,,3001,2008年
辽宁省,,3758,2008年
江西省,,2136,2008年
云南省,,2680,2008年
新疆维吾尔自治区,,2240,2008年
山西省,,2355,2008年
北京市,,13799,2009年
广西壮族自治区,,3260,2009年
陕西省,,3223,2009年
广东省,,6513,2009年
甘肃省,,2483,2009年
重庆市,,3442,2009年
贵州省,,2874,2009年
浙江省,,7826,2009年
福建省,,5427,2009年
宁夏回族自治区,,3090,2009年
天津市,,6886,2009年
海南省,,6261,2009年
西藏自治区,,2452,2009年
上海市,,12840,2009年
青海省,,2517,2009年
黑龙江省,,3241,2009年
河南省,,2666,2009年
山东省,,3505,2009年
安徽省,,3420,2009年
河北省,,3263,2009年
江苏省,,4983,2009年
吉林省,,2917,2009年
内蒙古自治区,,2972,2009年
四川省,,3509,2009年
湖南省,,2680,2009年
湖北省,,3532,2009年
辽宁省,,4034,2009年
江西省,,2643,2009年
云南省,,2931,2009年
新疆维吾尔自治区,,2604,2009年
山西省,,2707,2009年
北京市,,17782,2010年
广西壮族自治区,,3562,2010年
陕西省,,3759,2010年
广东省,,7486,2010年
甘肃省,,3042,2010年
重庆市,,4281,2010年
贵州省,,3357,2010年
浙江省,,9258,2010年
福建省,,6256,2010年
宁夏回族自治区,,3304,2010年
天津市,,8230,2010年
海南省,,8735,2010年
西藏自治区,,2896,2010年
上海市,,14464,2010年
青海省,,3005,2010年
黑龙江省,,3719,2010年
河南省,,3042,2010年
山东省,,3944,2010年
安徽省,,4205,2010年
河北省,,3539,2010年
江苏省,,5841,2010年
吉林省,,3647,2010年
内蒙古自治区,,3521,2010年
四川省,,4138,2010年
湖南省,,3146,2010年
湖北省,,3743,2010年
辽宁省,,4505,2010年
江西省,,3144,2010年
云南省,,3158,2010年
新疆维吾尔自治区,,3087,2010年
山西省,,3487,2010年
北京市,,16851.95,2011年
广西壮族自治区,,3772.47,2011年
陕西省,,4949.2,2011年
广东省,,7879.17,2011年
甘肃省,,3318.24,2011年
重庆市,,4733.84,2011年
贵州省,,3888.78,2011年
浙江省,,9838.06,2011年
福建省,,7764.29,2011年
宁夏回族自治区,,3732.19,2011年
天津市,,8744.77,2011年
海南省,,8943.45,2011年
西藏自治区,,3474.51,2011年
上海市,,14603.24,2011年
青海省,,3248.08,2011年
黑龙江省,,3966.4,2011年
河南省,,3500.8,2011年
山东省,,4447.73,2011年
安徽省,,4776.1,2011年
河北省,,3982.85,2011年
江苏省,,6554.41,2011年
吉林省,,4363.89,2011年
内蒙古自治区,,3782.93,2011年
四川省,,4917.88,2011年
湖南省,,3790.26,2011年
湖北省,,4486.39,2011年
辽宁省,,4732.65,2011年
江西省,,4147.7,2011年
云南省,,3635.38,2011年
新疆维吾尔自治区,,3548.79,2011年
山西省,,3432.71,2011年
北京市,,17021.63,2012年
广西壮族自治区,,4203.42,2012年
陕西省,,5155.88,2012年
广东省,,8112.19,2012年
甘肃省,,3570.15,2012年
重庆市,,5079.93,2012年
贵州省,,4115.67,2012年
浙江省,,10642.58,2012年
福建省,,8646.05,2012年
宁夏回族自治区,,3947.88,2012年
天津市,,8217.67,2012年
海南省,,7893.8,2012年
西藏自治区,,3268.62,2012年
上海市,,14061.37,2012年
青海省,,4048.54,2012年
黑龙江省,,4067.17,2012年
河南省,,3831.23,2012年
山东省,,4763.01,2012年
安徽省,,4824.95,2012年
河北省,,4478.02,2012年
江苏省,,6726.78,2012年
吉林省,,4146.7,2012年
内蒙古自治区,,4053.05,2012年
四川省,,5448.82,2012年
湖南省,,4048.62,2012年
湖北省,,5042.79,2012年
辽宁省,,4942.01,2012年
江西省,,4744.66,2012年
云南省,,4209.19,2012年
新疆维吾尔自治区,,3918.4,2012年
山西省,,3871.38,2012年
北京市,,18553,2013年
广西壮族自治区,,4593,2013年
陕西省,,5280,2013年
广东省,,9090,2013年
甘肃省,,3886,2013年
重庆市,,5569,2013年
贵州省,,4295,2013年
浙江省,,11042,2013年
福建省,,9050,2013年
宁夏回族自治区,,4232,2013年
天津市,,8746,2013年
海南省,,8669,2013年
西藏自治区,,4174,2013年
上海市,,16420,2013年
青海省,,4163,2013年
黑龙江省,,4738,2013年
河南省,,4205,2013年
山东省,,5049,2013年
安徽省,,5080,2013年
河北省,,4897,2013年
江苏省,,6909,2013年
吉林省,,4483,2013年
内蒙古自治区,,4301,2013年
四川省,,5498,2013年
湖南省,,4243,2013年
湖北省,,5266,2013年
辽宁省,,5122,2013年
江西省,,5203,2013年
云南省,,4494,2013年
新疆维吾尔自治区,,4268,2013年
山西省,,4433,2013年
北京市,,18833,2014年
广西壮族自治区,,4854,2014年
陕西省,,5166,2014年
广东省,,9083,2014年
甘肃省,,4544,2014年
重庆市,,5519,2014年
贵州省,,4312,2014年
浙江省,,10526,2014年
福建省,,9136,2014年
宁夏回族自治区,,4117,2014年
天津市,,9219,2014年
海南省,,9315,2014年
西藏自治区,,5774,2014年
上海市,,16787,2014年
青海省,,5081,2014年
黑龙江省,,4882,2014年
河南省,,4366,2014年
山东省,,5315,2014年
安徽省,,5394,2014年
河北省,,5131,2014年
江苏省,,7006,2014年
吉林省,,5112,2014年
内蒙古自治区,,4333,2014年
四川省,,5597,2014年
湖南省,,4227,2014年
湖北省,,5513,2014年
辽宁省,,5373,2014年
江西省,,5288,2014年
云南省,,4998,2014年
新疆维吾尔自治区,,4628,2014年
山西省,,4734,2014年
北京市,,22633,2015年
广西壮族自治区,,4960,2015年
陕西省,,5362,2015年
广东省,,9796,2015年
甘肃省,,4913,2015年
重庆市,,5486,2015年
贵州省,,4415,2015年
浙江省,,10525,2015年
福建省,,8881,2015年
宁夏回族自治区,,4413,2015年
天津市,,10107,2015年
海南省,,9339,2015年
西藏自治区,,4111,2015年
上海市,,20949,2015年
青海省,,5242,2015年
黑龙江省,,5144,2015年
河南省,,4611,2015年
山东省,,5560,2015年
安徽省,,5457,2015年
河北省,,5759,2015年
江苏省,,7356,2015年
吉林省,,5476,2015年
内蒙古自治区,,4441,2015年
四川省,,5475,2015年
湖南省,,4304,2015年
湖北省,,5863,2015年
辽宁省,,5758,2015年
江西省,,5358,2015年
云南省,,5300,2015年
新疆维吾尔自治区,,4653,2015年
山西省,,4870,2015年
北京市,,27497,2016年
广西壮族自治区,,5237,2016年
陕西省,,5471,2016年
广东省,,11097,2016年
甘肃省,,5201,2016年
重庆市,,5485,2016年
贵州省,,4307,2016年
浙江省,,11121,2016年
福建省,,9218,2016年
宁夏回族自治区,,4241,2016年
天津市,,12830,2016年
海南省,,9878,2016年
西藏自治区,,5112,2016年
上海市,,24747,2016年
青海省,,5400,2016年
黑龙江省,,5295,2016年
河南省,,4964,2016年
山东省,,5855,2016年
安徽省,,5924,2016年
河北省,,6438,2016年
江苏省,,8805,2016年
吉林省,,5364,2016年
内蒙古自治区,,4546,2016年
四川省,,5762,2016年
湖南省,,4640,2016年
湖北省,,6724,2016年
辽宁省,,6080,2016年
江西省,,5709,2016年
云南省,,5269,2016年
新疆维吾尔自治区,,4632,2016年
山西省,,4984,2016年
北京市,,32140,2017年
广西壮族自治区,,5834,2017年
陕西省,,6840,2017年
广东省,,11776,2017年
甘肃省,,5709,2017年
重庆市,,6792,2017年
贵州省,,4771,2017年
浙江省,,12855,2017年
福建省,,9746,2017年
宁夏回族自治区,,4544,2017年
天津市,,15331,2017年
海南省,,11837,2017年
西藏自治区,,6626,2017年
上海市,,23804,2017年
青海省,,6001,2017年
黑龙江省,,6471,2017年
河南省,,5355,2017年
山东省,,6319,2017年
安徽省,,6375,2017年
河北省,,7203,2017年
江苏省,,9195,2017年
吉林省,,6021,2017年
内蒙古自治区,,4628,2017年
四川省,,6217,2017年
湖南省,,5228,2017年
湖北省,,7675,2017年
辽宁省,,6681,2017年
江西省,,6150,2017年
云南省,,5919,2017年
新疆维吾尔自治区,,4965,2017年
山西省,,5619,2017年
北京市,,34142.89,2018年
广西壮族自治区,,6158.97,2018年
陕西省,,8273.4,2018年
广东省,,13073.18,2018年
甘肃省,,5780.33,2018年
重庆市,,8066.86,2018年
贵州省,,5636.77,2018年
浙江省,,14443,2018年
福建省,,10589.18,2018年
宁夏回族自治区,,5043.61,2018年
天津市,,16054.64,2018年
海南省,,14545.63,2018年
西藏自治区,,7201.55,2018年
上海市,,26890.08,2018年
青海省,,6471.72,2018年
黑龙江省,,6900.88,2018年
河南省,,5757.69,2018年
山东省,,7481.16,2018年
安徽省,,7049.86,2018年
河北省,,7682.82,2018年
江苏省,,10773.54,2018年
吉林省,,7001.49,2018年
内蒙古自治区,,5548.42,2018年
四川省,,6987.58,2018年
湖南省,,5794.89,2018年
湖北省,,8495.27,2018年
辽宁省,,7541.64,2018年
江西省,,6805.49,2018年
云南省,,7517.49,2018年
新疆维吾尔自治区,,5944.38,2018年
山西省,,6822.03,2018年
