name,type,value,date
北京市,,83.4,1999年
广西壮族自治区,,527.96,1999年
陕西省,,569.87,1999年
广东省,,704.15,1999年
甘肃省,,191.95,1999年
重庆市,,94.45,1999年
贵州省,,55.21,1999年
浙江省,,422.41,1999年
福建省,,452.84,1999年
宁夏回族自治区,,43.31,1999年
天津市,,49.08,1999年
海南省,,117.02,1999年
西藏自治区,,0.99,1999年
上海市,,59.09,1999年
青海省,,2.69,1999年
黑龙江省,,239.09,1999年
河南省,,1286.97,1999年
山东省,,1954.49,1999年
安徽省,,649.04,1999年
河北省,,953.73,1999年
江苏省,,468.09,1999年
吉林省,,175.63,1999年
内蒙古自治区,,142.59,1999年
四川省,,297.25,1999年
湖南省,,383.47,1999年
湖北省,,590.75,1999年
辽宁省,,305.27,1999年
江西省,,223.03,1999年
云南省,,97.43,1999年
新疆维吾尔自治区,,279.91,1999年
山西省,,279.7,1999年
北京市,,58.59,2000年
广西壮族自治区,,360.14,2000年
陕西省,,493.79,2000年
广东省,,643.52,2000年
甘肃省,,121.59,2000年
重庆市,,81.68,2000年
贵州省,,31.1,2000年
浙江省,,170.37,2000年
福建省,,356.44,2000年
宁夏回族自治区,,19.32,2000年
天津市,,28.28,2000年
海南省,,105.52,2000年
西藏自治区,,0.74,2000年
上海市,,22.54,2000年
青海省,,2.24,2000年
黑龙江省,,19.21,2000年
河南省,,364.73,2000年
山东省,,966.63,2000年
安徽省,,110.61,2000年
河北省,,677.31,2000年
江苏省,,176.44,2000年
吉林省,,48.56,2000年
内蒙古自治区,,21.45,2000年
四川省,,252.57,2000年
湖南省,,150.5,2000年
湖北省,,215.68,2000年
辽宁省,,249.97,2000年
江西省,,42.34,2000年
云南省,,76.95,2000年
新疆维吾尔自治区,,151.87,2000年
山西省,,204.49,2000年
北京市,,107.81,2001年
广西壮族自治区,,551.02,2001年
陕西省,,572.22,2001年
广东省,,781.64,2001年
甘肃省,,217.96,2001年
重庆市,,97.36,2001年
贵州省,,62.93,2001年
浙江省,,516.64,2001年
福建省,,468.14,2001年
宁夏回族自治区,,53.32,2001年
天津市,,91.95,2001年
海南省,,187.6,2001年
西藏自治区,,0.7,2001年
上海市,,101.97,2001年
青海省,,2.19,2001年
黑龙江省,,357.18,2001年
河南省,,1516.07,2001年
山东省,,2243.64,2001年
安徽省,,756.24,2001年
河北省,,1074.77,2001年
江苏省,,612.6,2001年
吉林省,,200.79,2001年
内蒙古自治区,,126.4,2001年
四川省,,361.93,2001年
湖南省,,455.17,2001年
湖北省,,672.46,2001年
辽宁省,,337.95,2001年
江西省,,259.38,2001年
云南省,,127.21,2001年
新疆维吾尔自治区,,311.12,2001年
山西省,,275.27,2001年
北京市,,109.85,2002年
广西壮族自治区,,612.51,2002年
陕西省,,612.88,2002年
广东省,,808.28,2002年
甘肃省,,237.28,2002年
重庆市,,113.41,2002年
贵州省,,71.57,2002年
浙江省,,494.1,2002年
福建省,,498.98,2002年
宁夏回族自治区,,59.53,2002年
天津市,,79.48,2002年
海南省,,182.74,2002年
西藏自治区,,0.82,2002年
上海市,,102.7,2002年
青海省,,2.41,2002年
黑龙江省,,385.18,2002年
河南省,,1673.96,2002年
山东省,,2207.47,2002年
安徽省,,819.24,2002年
河北省,,1169.3,2002年
江苏省,,692.44,2002年
吉林省,,265.01,2002年
内蒙古自治区,,138.51,2002年
四川省,,425.92,2002年
湖南省,,479.01,2002年
湖北省,,621.7,2002年
辽宁省,,356.2,2002年
江西省,,267.82,2002年
云南省,,119.4,2002年
新疆维吾尔自治区,,432.29,2002年
山西省,,334.6,2002年
北京市,,114.16,2003年
广西壮族自治区,,641.16,2003年
陕西省,,730.94,2003年
广东省,,836.94,2003年
甘肃省,,247.74,2003年
重庆市,,128.59,2003年
贵州省,,78.75,2003年
浙江省,,568.38,2003年
福建省,,521.99,2003年
宁夏回族自治区,,71.22,2003年
天津市,,84.33,2003年
海南省,,193.48,2003年
西藏自治区,,1.07,2003年
上海市,,114.48,2003年
青海省,,2.4,2003年
黑龙江省,,356.72,2003年
河南省,,1318.51,2003年
山东省,,2526,2003年
安徽省,,609.07,2003年
河北省,,1270.74,2003年
江苏省,,601.95,2003年
吉林省,,253.16,2003年
内蒙古自治区,,123.33,2003年
四川省,,464.93,2003年
湖南省,,512.38,2003年
湖北省,,611.57,2003年
辽宁省,,396.94,2003年
江西省,,273.16,2003年
云南省,,126.21,2003年
新疆维吾尔自治区,,408.3,2003年
山西省,,328.8,2003年
北京市,,113.36,2004年
广西壮族自治区,,702.33,2004年
陕西省,,858.15,2004年
广东省,,908.96,2004年
甘肃省,,245.65,2004年
重庆市,,137.22,2004年
贵州省,,87.17,2004年
浙江省,,632.07,2004年
福建省,,552.91,2004年
宁夏回族自治区,,68.56,2004年
天津市,,69.05,2004年
海南省,,190.64,2004年
西藏自治区,,0.89,2004年
上海市,,111.44,2004年
青海省,,2.8,2004年
黑龙江省,,315.58,2004年
河南省,,1638.59,2004年
山东省,,2478.53,2004年
安徽省,,719.57,2004年
河北省,,1346.34,2004年
江苏省,,619.99,2004年
吉林省,,215,2004年
内蒙古自治区,,129.34,2004年
四川省,,494.83,2004年
湖南省,,499.35,2004年
湖北省,,542.69,2004年
辽宁省,,430.15,2004年
江西省,,290.99,2004年
云南省,,145.06,2004年
新疆维吾尔自治区,,450.84,2004年
山西省,,342.86,2004年
北京市,,111.88,2005年
广西壮族自治区,,766.84,2005年
陕西省,,906.14,2005年
广东省,,946.46,2005年
甘肃省,,280.7,2005年
重庆市,,154.63,2005年
贵州省,,95.96,2005年
浙江省,,577.96,2005年
福建省,,559.08,2005年
宁夏回族自治区,,69.61,2005年
天津市,,68.24,2005年
海南省,,220.36,2005年
西藏自治区,,0.89,2005年
上海市,,101.03,2005年
青海省,,2.6,2005年
黑龙江省,,352.56,2005年
河南省,,1842.17,2005年
山东省,,2546.84,2005年
安徽省,,711.59,2005年
河北省,,1397.88,2005年
江苏省,,606.35,2005年
吉林省,,235.33,2005年
内蒙古自治区,,178.79,2005年
四川省,,527.16,2005年
湖南省,,519.49,2005年
湖北省,,566.77,2005年
辽宁省,,451.29,2005年
江西省,,325.43,2005年
云南省,,169.69,2005年
新疆维吾尔自治区,,511.91,2005年
山西省,,314.45,2005年
北京市,,113.38,2006年
广西壮族自治区,,772.26,2006年
陕西省,,1053.17,2006年
广东省,,1001.08,2006年
甘肃省,,332.77,2006年
重庆市,,145.74,2006年
贵州省,,109.19,2006年
浙江省,,650.03,2006年
福建省,,570.77,2006年
宁夏回族自治区,,114.25,2006年
天津市,,66.96,2006年
海南省,,247.23,2006年
西藏自治区,,0.89,2006年
上海市,,108.26,2006年
青海省,,2.37,2006年
黑龙江省,,413.76,2006年
河南省,,2005.6,2006年
山东省,,2513.4,2006年
安徽省,,733.59,2006年
河北省,,1428.85,2006年
江苏省,,628.45,2006年
吉林省,,223.83,2006年
内蒙古自治区,,220.48,2006年
四川省,,535.32,2006年
湖南省,,586.24,2006年
湖北省,,625.25,2006年
辽宁省,,478.41,2006年
江西省,,316.88,2006年
云南省,,201.86,2006年
新疆维吾尔自治区,,547.94,2006年
山西省,,353.75,2006年
北京市,,124.89,2007年
广西壮族自治区,,853.67,2007年
陕西省,,1112.81,2007年
广东省,,1038.6,2007年
甘肃省,,278.21,2007年
重庆市,,161.06,2007年
贵州省,,111.19,2007年
浙江省,,0,2007年
福建省,,571.89,2007年
宁夏回族自治区,,148.02,2007年
天津市,,61,2007年
海南省,,306.46,2007年
西藏自治区,,1.09,2007年
上海市,,111.52,2007年
青海省,,3.29,2007年
黑龙江省,,270.11,2007年
河南省,,2066.83,2007年
山东省,,2447.98,2007年
安徽省,,744.95,2007年
河北省,,1424.77,2007年
江苏省,,642.68,2007年
吉林省,,59.58,2007年
内蒙古自治区,,178.47,2007年
四川省,,580.05,2007年
湖南省,,622.44,2007年
湖北省,,652.43,2007年
辽宁省,,519.69,2007年
江西省,,374.11,2007年
云南省,,253.69,2007年
新疆维吾尔自治区,,704.27,2007年
山西省,,374.29,2007年
北京市,,118.8,2008年
广西壮族自治区,,840.77,2008年
陕西省,,1222.42,2008年
广东省,,1042.51,2008年
甘肃省,,321.1,2008年
重庆市,,178.54,2008年
贵州省,,110.95,2008年
浙江省,,747.93,2008年
福建省,,586.19,2008年
宁夏回族自治区,,172.04,2008年
天津市,,60.44,2008年
海南省,,324.39,2008年
西藏自治区,,1.14,2008年
上海市,,109.37,2008年
青海省,,3.26,2008年
黑龙江省,,292.36,2008年
河南省,,2086.74,2008年
山东省,,2475.94,2008年
安徽省,,691.86,2008年
河北省,,1401.31,2008年
江苏省,,682.86,2008年
吉林省,,53.94,2008年
内蒙古自治区,,201.98,2008年
四川省,,625.17,2008年
湖南省,,646.72,2008年
湖北省,,682.5,2008年
辽宁省,,550.04,2008年
江西省,,444.53,2008年
云南省,,317.47,2008年
新疆维吾尔自治区,,664.37,2008年
山西省,,451.14,2008年
北京市,,120.13,2009年
广西壮族自治区,,984.07,2009年
陕西省,,1325.48,2009年
广东省,,1098.66,2009年
甘肃省,,355.52,2009年
重庆市,,198.77,2009年
贵州省,,114.75,2009年
浙江省,,712.42,2009年
福建省,,575.7,2009年
宁夏回族自治区,,180.34,2009年
天津市,,64.1,2009年
海南省,,349.12,2009年
西藏自治区,,1.24,2009年
上海市,,102.11,2009年
青海省,,3.33,2009年
黑龙江省,,274.97,2009年
河南省,,2161.78,2009年
山东省,,2463.01,2009年
安徽省,,745.76,2009年
河北省,,1365.45,2009年
江苏省,,715.71,2009年
吉林省,,188.39,2009年
内蒙古自治区,,178.99,2009年
四川省,,679.12,2009年
湖南省,,690.47,2009年
湖北省,,721.4,2009年
辽宁省,,586.21,2009年
江西省,,497.45,2009年
云南省,,349.24,2009年
新疆维吾尔自治区,,811.9,2009年
山西省,,478.09,2009年
北京市,,115.17,2010年
广西壮族自治区,,1056.36,2010年
陕西省,,1418.28,2010年
广东省,,1148.64,2010年
甘肃省,,373.17,2010年
重庆市,,225.09,2010年
贵州省,,117.21,2010年
浙江省,,701.31,2010年
福建省,,552.86,2010年
宁夏回族自治区,,196.17,2010年
天津市,,56.88,2010年
海南省,,373.2,2010年
西藏自治区,,1.36,2010年
上海市,,98.6,2010年
青海省,,3.83,2010年
黑龙江省,,368.17,2010年
河南省,,2298.73,2010年
山东省,,2492.11,2010年
安徽省,,805.3,2010年
河北省,,1333.63,2010年
江苏省,,738.57,2010年
吉林省,,147.85,2010年
内蒙古自治区,,254.07,2010年
四川省,,707.74,2010年
湖南省,,753.22,2010年
湖北省,,771,2010年
辽宁省,,634.16,2010年
