数据库：分省年度数据
指标：水果产量(万吨)
时间：最近20年
地区,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年
山东省,2788.79,2804.30,2799.23,2766.64,2680.17,2604.64,2593.83,2528.84,2492.11,2463.01,2475.94,2447.98,2513.40,2546.84,2478.53,2526.00,2207.47,2243.64,966.63,1954.49
河南省,2492.76,2602.44,2541.05,2439.62,2368.12,2425.39,2388.62,2297.37,2298.73,2161.78,2086.74,2066.83,2005.60,1842.17,1638.59,1318.51,1673.96,1516.07,364.73,1286.97
广西壮族自治区,2116.56,1900.40,1729.76,1593.05,1457.88,1347.49,1255.83,1170.52,1056.36,984.07,840.77,853.67,772.26,766.84,702.33,641.16,612.51,551.02,360.14,527.96
陕西省,1835.08,1922.06,1826.38,1762.27,1702.41,1649.64,1600.40,1509.30,1418.28,1325.48,1222.42,1112.81,1053.17,906.14,858.15,730.94,612.88,572.22,493.79,569.87
广东省,1669.16,1538.73,1444.57,1406.78,1353.18,1308.81,1246.68,1199.74,1148.64,1098.66,1042.51,1038.60,1001.08,946.46,908.96,836.94,808.28,781.64,643.52,704.15
新疆维吾尔自治区,1497.85,1420.20,1455.90,1444.87,1315.52,1229.23,1155.02,985.56,976.31,811.90,664.37,704.27,547.94,511.91,450.84,408.30,432.29,311.12,151.87,279.91
河北省,1347.93,1365.34,1333.07,1403.93,1389.84,1365.49,1391.45,1364.92,1333.63,1365.45,1401.31,1424.77,1428.85,1397.88,1346.34,1270.74,1169.30,1074.77,677.31,953.73
四川省,1080.67,1007.88,960.05,912.14,862.87,822.03,791.42,752.94,707.74,679.12,625.17,580.05,535.32,527.16,494.83,464.93,425.92,361.93,252.57,297.25
湖南省,1016.82,956.39,924.55,882.78,837.30,810.30,852.61,783.75,753.22,690.47,646.72,622.44,586.24,519.49,499.35,512.38,479.01,455.17,150.50,383.47
湖北省,997.99,948.44,1003.22,958.87,964.65,912.33,878.09,798.79,771.00,721.40,682.50,652.43,625.25,566.77,542.69,611.57,621.70,672.46,215.68,590.75
江苏省,934.13,942.50,893.00,914.78,861.62,814.19,795.98,757.08,738.57,715.71,682.86,642.68,628.45,606.35,619.99,601.95,692.44,612.60,176.44,468.09
云南省,813.35,783.90,797.74,762.81,690.59,657.18,598.83,488.66,407.14,349.24,317.47,253.69,201.86,169.69,145.06,126.21,119.40,127.21,76.95,97.43
辽宁省,788.87,770.27,755.24,762.01,741.69,801.65,745.31,691.95,634.16,586.21,550.04,519.69,478.41,451.29,430.15,396.94,356.20,337.95,249.97,305.27
山西省,750.55,844.02,835.16,833.16,788.59,730.87,687.03,603.07,500.82,478.09,451.14,374.29,353.75,314.45,342.86,328.80,334.60,275.27,204.49,279.70
浙江省,743.62,751.29,724.32,970.87,714.84,715.65,703.84,712.35,701.31,712.42,747.93,0.00,650.03,577.96,632.07,568.38,494.10,516.64,170.37,422.41
江西省,684.37,670.12,617.69,663.42,621.06,637.77,571.29,580.58,468.40,497.45,444.53,374.11,316.88,325.43,290.99,273.16,267.82,259.38,42.34,223.03
