name,type,value,date
安徽省,,4.35,1999年
北京市,,13.6,1999年
福建省,,1.09,1999年
甘肃省,,,1999年
广东省,,1.69,1999年
广西壮族自治区,,9.82,1999年
贵州省,,0.22,1999年
海南省,,0.25,1999年
河北省,,1.03,1999年
河南省,,0.79,1999年
黑龙江省,,8.6,1999年
湖北省,,1.03,1999年
湖南省,,1.05,1999年
吉林省,,27.54,1999年
江苏省,,8.67,1999年
江西省,,11.99,1999年
辽宁省,,5.74,1999年
内蒙古自治区,,0.07,1999年
宁夏回族自治区,,,1999年
青海省,,,1999年
山东省,,2.07,1999年
山西省,,0.11,1999年
陕西省,,1.26,1999年
上海市,,25.58,1999年
四川省,,2.33,1999年
天津市,,12.88,1999年
西藏自治区,,,1999年
新疆维吾尔自治区,,0.01,1999年
云南省,,1.22,1999年
浙江省,,0.65,1999年
重庆市,,21.37,1999年
安徽省,,5.74,2000年
北京市,,13.71,2000年
福建省,,2.36,2000年
甘肃省,,,2000年
广东省,,3.83,2000年
广西壮族自治区,,12.78,2000年
贵州省,,0.14,2000年
海南省,,0.31,2000年
河北省,,0.94,2000年
河南省,,0.84,2000年
黑龙江省,,12.2,2000年
湖北省,,0.94,2000年
湖南省,,1.74,2000年
吉林省,,32.26,2000年
江苏省,,8.34,2000年
江西省,,13.34,2000年
辽宁省,,8.37,2000年
内蒙古自治区,,0.07,2000年
宁夏回族自治区,,,2000年
青海省,,,2000年
山东省,,1.28,2000年
山西省,,0.11,2000年
陕西省,,1.93,2000年
上海市,,25.27,2000年
四川省,,3.64,2000年
天津市,,10.18,2000年
西藏自治区,,,2000年
新疆维吾尔自治区,,0.14,2000年
云南省,,2.32,2000年
浙江省,,1.08,2000年
重庆市,,25.28,2000年
安徽省,,8.9,2001年
北京市,,15.27,2001年
福建省,,3.27,2001年
甘肃省,,,2001年
广东省,,5.57,2001年
广西壮族自治区,,13.65,2001年
贵州省,,0.13,2001年
海南省,,,2001年
河北省,,1.29,2001年
河南省,,0.93,2001年
黑龙江省,,13.9,2001年
湖北省,,1.29,2001年
湖南省,,1.96,2001年
吉林省,,39.08,2001年
江苏省,,10.85,2001年
江西省,,15.93,2001年
辽宁省,,7.96,2001年
内蒙古自治区,,0.09,2001年
宁夏回族自治区,,,2001年
青海省,,,2001年
山东省,,1.18,2001年
山西省,,0.13,2001年
陕西省,,1.85,2001年
上海市,,29,2001年
四川省,,4.12,2001年
天津市,,5.89,2001年
西藏自治区,,,2001年
新疆维吾尔自治区,,0.26,2001年
云南省,,2.74,2001年
浙江省,,2.13,2001年
重庆市,,23.9,2001年
安徽省,,13.62,2002年
北京市,,20.45,2002年
福建省,,4.84,2002年
甘肃省,,,2002年
广东省,,6.52,2002年
广西壮族自治区,,17.23,2002年
贵州省,,0.27,2002年
海南省,,2.29,2002年
河北省,,1.88,2002年
河南省,,1.59,2002年
黑龙江省,,18.54,2002年
湖北省,,1.88,2002年
湖南省,,2.8,2002年
吉林省,,52.02,2002年
江苏省,,16.82,2002年
江西省,,20.75,2002年
辽宁省,,9.01,2002年
内蒙古自治区,,0.13,2002年
宁夏回族自治区,,,2002年
青海省,,,2002年
山东省,,1.99,2002年
山西省,,0.09,2002年
陕西省,,3.23,2002年
上海市,,39.19,2002年
四川省,,3.33,2002年
天津市,,9.44,2002年
西藏自治区,,,2002年
新疆维吾尔自治区,,0.39,2002年
云南省,,3.86,2002年
浙江省,,4.53,2002年
重庆市,,33.13,2002年
安徽省,,20.63,2003年
北京市,,34.91,2003年
福建省,,8.67,2003年
甘肃省,,0.02,2003年
广东省,,18.88,2003年
广西壮族自治区,,18.06,2003年
贵州省,,0.13,2003年
海南省,,5.5,2003年
河北省,,11.17,2003年
河南省,,2.77,2003年
黑龙江省,,20,2003年
湖北省,,11.17,2003年
湖南省,,4.38,2003年
吉林省,,64.07,2003年
江苏省,,21.26,2003年
江西省,,18.52,2003年
辽宁省,,13,2003年
内蒙古自治区,,0.27,2003年
宁夏回族自治区,,,2003年
青海省,,,2003年
山东省,,7.49,2003年
山西省,,0.07,2003年
陕西省,,4.27,2003年
上海市,,58.73,2003年
四川省,,4.76,2003年
天津市,,17.25,2003年
西藏自治区,,,2003年
新疆维吾尔自治区,,0.16,2003年
云南省,,4.05,2003年
浙江省,,8.19,2003年
重庆市,,40.45,2003年
安徽省,,21.94,2004年
北京市,,53.9,2004年
福建省,,7.02,2004年
甘肃省,,0.08,2004年
广东省,,27.41,2004年
广西壮族自治区,,28.47,2004年
贵州省,,0.05,2004年
海南省,,6.7,2004年
河北省,,16.61,2004年
河南省,,3.71,2004年
黑龙江省,,23.6,2004年
湖北省,,16.61,2004年
湖南省,,6.07,2004年
吉林省,,53.7,2004年
江苏省,,25.8,2004年
江西省,,18.25,2004年
辽宁省,,14.28,2004年
内蒙古自治区,,0.6,2004年
宁夏回族自治区,,,2004年
青海省,,,2004年
山东省,,17.06,2004年
山西省,,0.07,2004年
陕西省,,4.88,2004年
上海市,,55.79,2004年
四川省,,6.09,2004年
天津市,,22.92,2004年
西藏自治区,,,2004年
新疆维吾尔自治区,,0.22,2004年
云南省,,5.46,2004年
浙江省,,10.22,2004年
重庆市,,40.86,2004年
安徽省,,34.25,2005年
北京市,,58.7,2005年
福建省,,6.61,2005年
甘肃省,,0.01,2005年
广东省,,40.22,2005年
广西壮族自治区,,37.67,2005年
贵州省,,0.11,2005年
海南省,,7.31,2005年
河北省,,19.36,2005年
河南省,,3.43,2005年
黑龙江省,,23.61,2005年
湖北省,,19.36,2005年
湖南省,,2.99,2005年
吉林省,,58.16,2005年
江苏省,,30.05,2005年
江西省,,20.61,2005年
辽宁省,,14.98,2005年
内蒙古自治区,,0.69,2005年
宁夏回族自治区,,,2005年
青海省,,,2005年
山东省,,22.41,2005年
山西省,,0.01,2005年
陕西省,,4.08,2005年
上海市,,48.45,2005年
四川省,,4.76,2005年
天津市,,32.78,2005年
西藏自治区,,,2005年
新疆维吾尔自治区,,0.11,2005年
云南省,,5.05,2005年
浙江省,,13.13,2005年
重庆市,,42.16,2005年
安徽省,,48.95,2006年
北京市,,68.37,2006年
福建省,,7.3,2006年
甘肃省,,,2006年
广东省,,55.54,2006年
广西壮族自治区,,51.84,2006年
贵州省,,0.1,2006年
海南省,,8.36,2006年
河北省,,26.84,2006年
河南省,,5.53,2006年
黑龙江省,,24.42,2006年
湖北省,,26.84,2006年
湖南省,,3.7,2006年
吉林省,,63.25,2006年
江苏省,,27.48,2006年
江西省,,23.39,2006年
辽宁省,,29.12,2006年
内蒙古自治区,,0.89,2006年
宁夏回族自治区,,,2006年
青海省,,,2006年
山东省,,27.17,2006年
山西省,,,2006年
陕西省,,10.83,2006年
上海市,,68.22,2006年
四川省,,6.95,2006年
天津市,,41.24,2006年
西藏自治区,,,2006年
新疆维吾尔自治区,,0.1,2006年
云南省,,3.78,2006年
浙江省,,17.77,2006年
重庆市,,52.06,2006年
安徽省,,61.06,2007年
北京市,,70.67,2007年
福建省,,8.6,2007年
甘肃省,,,2007年
广东省,,78.81,2007年
广西壮族自治区,,60.48,2007年
贵州省,,,2007年
海南省,,12.26,2007年
河北省,,32.3,2007年
河南省,,7.13,2007年
黑龙江省,,19.88,2007年
湖北省,,32.3,2007年
湖南省,,5.72,2007年
吉林省,,82.15,2007年
江苏省,,26.51,2007年
江西省,,22.18,2007年
辽宁省,,37.71,2007年
内蒙古自治区,,2.1,2007年
宁夏回族自治区,,,2007年
青海省,,,2007年
山东省,,40.35,2007年
山西省,,,2007年
陕西省,,17.06,2007年
上海市,,82.12,2007年
四川省,,7.21,2007年
天津市,,45.69,2007年
西藏自治区,,,2007年
新疆维吾尔自治区,,0.23,2007年
云南省,,4.69,2007年
浙江省,,20.62,2007年
重庆市,,70.76,2007年
安徽省,,57.14,2008年
北京市,,76.61,2008年
福建省,,5.96,2008年
甘肃省,,0.94,2008年
广东省,,88.18,2008年
广西壮族自治区,,70.16,2008年
贵州省,,,2008年
海南省,,8.51,2008年
河北省,,32.15,2008年
河南省,,8.16,2008年
黑龙江省,,19,2008年
湖北省,,32.15,2008年
湖南省,,7.57,2008年
吉林省,,86.13,2008年
江苏省,,29.25,2008年
江西省,,21.14,2008年
辽宁省,,34.08,2008年
内蒙古自治区,,2.97,2008年
宁夏回族自治区,,,2008年
青海省,,,2008年
山东省,,42.83,2008年
山西省,,0.08,2008年
陕西省,,26.82,2008年
上海市,,80.65,2008年
四川省,,7.67,2008年
天津市,,54.12,2008年
西藏自治区,,,2008年
新疆维吾尔自治区,,0.25,2008年
云南省,,4.31,2008年
浙江省,,17.39,2008年
重庆市,,76.85,2008年
安徽省,,86.34,2009年
北京市,,127.06,2009年
福建省,,13.5,2009年
甘肃省,,1.87,2009年
广东省,,113.08,2009年
广西壮族自治区,,118.45,2009年
贵州省,,0.18,2009年
海南省,,9.16,2009年
河北省,,51.43,2009年
河南省,,12.46,2009年
黑龙江省,,28.37,2009年
湖北省,,51.43,2009年
湖南省,,11.95,2009年
吉林省,,110.64,2009年
江苏省,,50.62,2009年
江西省,,28.47,2009年
辽宁省,,50.85,2009年
内蒙古自治区,,3.28,2009年
宁夏回族自治区,,,2009年
青海省,,,2009年
山东省,,55.77,2009年
山西省,,0.15,2009年
陕西省,,50.68,2009年
上海市,,125.03,2009年
四川省,,7.62,2009年
天津市,,60.24,2009年
西藏自治区,,,2009年
新疆维吾尔自治区,,0.07,2009年
云南省,,7.27,2009年
浙江省,,28.17,2009年
重庆市,,118.65,2009年
安徽省,,118.87,2010年
北京市,,150.26,2010年
福建省,,19.5,2010年
甘肃省,,2.07,2010年
广东省,,134.75,2010年
广西壮族自治区,,136.61,2010年
贵州省,,0.84,2010年
海南省,,13.6,2010年
河北省,,71.04,2010年
河南省,,23.52,2010年
黑龙江省,,24.77,2010年
湖北省,,71.04,2010年
湖南省,,16.62,2010年
吉林省,,164.15,2010年
江苏省,,74.4,2010年
江西省,,37.28,2010年
辽宁省,,70.77,2010年
内蒙古自治区,,5.16,2010年
宁夏回族自治区,,,2010年
青海省,,,2010年
山东省,,81.46,2010年
山西省,,0.32,2010年
陕西省,,65.21,2010年
上海市,,169.89,2010年
四川省,,10.15,2010年
天津市,,73.81,2010年
西藏自治区,,,2010年
新疆维吾尔自治区,,0.18,2010年
云南省,,10.19,2010年
浙江省,,31.91,2010年
重庆市,,161.43,2010年
安徽省,,117.03,2011年
北京市,,150.46,2011年
福建省,,18.64,2011年
甘肃省,,2.06,2011年
广东省,,150.28,2011年
广西壮族自治区,,142.35,2011年
贵州省,,1.28,2011年
海南省,,15.2,2011年
河北省,,72.11,2011年
河南省,,36.58,2011年
黑龙江省,,18.17,2011年
湖北省,,72.11,2011年
湖南省,,16.19,2011年
吉林省,,155.68,2011年
江苏省,,80.38,2011年
江西省,,34.35,2011年
辽宁省,,75.54,2011年
内蒙古自治区,,3.65,2011年
宁夏回族自治区,,,2011年
青海省,,,2011年
山东省,,76.29,2011年
山西省,,0.61,2011年
陕西省,,55.67,2011年
上海市,,191.57,2011年
四川省,,12.86,2011年
天津市,,75.69,2011年
西藏自治区,,,2011年
新疆维吾尔自治区,,0.11,2011年
云南省,,9.72,2011年
浙江省,,30.63,2011年
重庆市,,166.64,2011年
安徽省,,104.18,2012年
北京市,,166.16,2012年
福建省,,18.33,2012年
甘肃省,,2.4,2012年
广东省,,138.5,2012年
广西壮族自治区,,167.3,2012年
贵州省,,0.47,2012年
海南省,,12.9,2012年
河北省,,82.5,2012年
河南省,,37.56,2012年
黑龙江省,,9.8,2012年
湖北省,,82.5,2012年
湖南省,,17.27,2012年
吉林省,,156.48,2012年
江苏省,,88.7,2012年
江西省,,34.4,2012年
辽宁省,,83.63,2012年
内蒙古自治区,,2.1,2012年
宁夏回族自治区,,,2012年
青海省,,,2012年
山东省,,90.26,2012年
山西省,,0.7,2012年
陕西省,,54.5,2012年
上海市,,202.4,2012年
四川省,,39.7,2012年
天津市,,63.8,2012年
西藏自治区,,,2012年
新疆维吾尔自治区,,0.16,2012年
云南省,,10.9,2012年
浙江省,,32.72,2012年
重庆市,,190.95,2012年
安徽省,,100.65,2013年
北京市,,199.95,2013年
福建省,,20.6,2013年
甘肃省,,2.1,2013年
广东省,,199.93,2013年
广西壮族自治区,,186.9,2013年
贵州省,,0.03,2013年
海南省,,10.8,2013年
河北省,,97.4,2013年
河南省,,40.63,2013年
黑龙江省,,10.45,2013年
湖北省,,97.4,2013年
湖南省,,32.06,2013年
吉林省,,164.72,2013年
江苏省,,107.2,2013年
江西省,,36.8,2013年
辽宁省,,108,2013年
内蒙古自治区,,1.66,2013年
宁夏回族自治区,,,2013年
青海省,,,2013年
山东省,,104.38,2013年
山西省,,0.02,2013年
陕西省,,42.16,2013年
上海市,,226.9,2013年
四川省,,80.49,2013年
天津市,,55.7,2013年
西藏自治区,,,2013年
新疆维吾尔自治区,,1,2013年
云南省,,7.99,2013年
浙江省,,30.61,2013年
重庆市,,183.97,2013年
安徽省,,93.4,2014年
北京市,,206.3,2014年
福建省,,18.1,2014年
甘肃省,,0.7,2014年
广东省,,216.8,2014年
广西壮族自治区,,209.2,2014年
贵州省,,,2014年
海南省,,9,2014年
河北省,,97.8,2014年
河南省,,40.9,2014年
黑龙江省,,10.8,2014年
湖北省,,97.8,2014年
湖南省,,29.5,2014年
吉林省,,237.37,2014年
江苏省,,121.6,2014年
江西省,,46.2,2014年
辽宁省,,112.1,2014年
内蒙古自治区,,2.4,2014年
宁夏回族自治区,,,2014年
青海省,,,2014年
山东省,,103,2014年
山西省,,,2014年
陕西省,,37.5,2014年
上海市,,247.4,2014年
四川省,,32.4,2014年
天津市,,51.2,2014年
西藏自治区,,,2014年
新疆维吾尔自治区,,1.1,2014年
云南省,,11,2014年
浙江省,,30.9,2014年
重庆市,,231.35,2014年
安徽省,,117,2015年
北京市,,202.4,2015年
福建省,,19.2,2015年
甘肃省,,2.4,2015年
广东省,,239.4,2015年
广西壮族自治区,,229.4,2015年
贵州省,,,2015年
海南省,,7,2015年
河北省,,112.9,2015年
河南省,,32.86,2015年
黑龙江省,,8,2015年
湖北省,,112.9,2015年
湖南省,,36.3,2015年
吉林省,,208.13,2015年
江苏省,,115.8,2015年
江西省,,42.1,2015年
辽宁省,,109,2015年
内蒙古自治区,,2.6,2015年
宁夏回族自治区,,,2015年
青海省,,,2015年
山东省,,81.86,2015年
山西省,,,2015年
陕西省,,34.1,2015年
上海市,,243,2015年
四川省,,42.3,2015年
天津市,,52.9,2015年
西藏自治区,,,2015年
新疆维吾尔自治区,,1.6,2015年
云南省,,11.7,2015年
浙江省,,41.1,2015年
重庆市,,260.93,2015年
安徽省,,139.12,2016年
北京市,,237.95,2016年
福建省,,21.79,2016年
甘肃省,,1.15,2016年
广东省,,280.06,2016年
广西壮族自治区,,245.3,2016年
贵州省,,1.64,2016年
海南省,,6.72,2016年
河北省,,128.64,2016年
河南省,,58.47,2016年
黑龙江省,,7.58,2016年
湖北省,,128.64,2016年
湖南省,,47.74,2016年
吉林省,,253.99,2016年
江苏省,,138.63,2016年
江西省,,53.58,2016年
辽宁省,,107.88,2016年
内蒙古自治区,,2.14,2016年
宁夏回族自治区,,,2016年
青海省,,,2016年
山东省,,86.89,2016年
山西省,,0.66,2016年
陕西省,,42.04,2016年
上海市,,260.77,2016年
四川省,,53.03,2016年
天津市,,52.91,2016年
西藏自治区,,,2016年
新疆维吾尔自治区,,2.06,2016年
云南省,,13.31,2016年
浙江省,,58.06,2016年
重庆市,,266.34,2016年
安徽省,,115.83,2017年
北京市,,197.04,2017年
福建省,,27.9,2017年
甘肃省,,1.86,2017年
广东省,,318.21,2017年
广西壮族自治区,,245.18,2017年
贵州省,,0.27,2017年
海南省,,3.96,2017年
河北省,,100.86,2017年
河南省,,46.51,2017年
黑龙江省,,12.21,2017年
湖北省,,100.86,2017年
湖南省,,51.86,2017年
吉林省,,276.88,2017年
江苏省,,119.85,2017年
江西省,,56.55,2017年
辽宁省,,94.82,2017年
内蒙古自治区,,3.06,2017年
宁夏回族自治区,,,2017年
青海省,,,2017年
山东省,,91.56,2017年
山西省,,9.34,2017年
陕西省,,61.63,2017年
上海市,,291.32,2017年
四川省,,83.24,2017年
天津市,,83.33,2017年
西藏自治区,,,2017年
新疆维吾尔自治区,,2.05,2017年
云南省,,14.29,2017年
浙江省,,74,2017年
重庆市,,251.59,2017年
安徽省,,82.43,2018年
北京市,,165.26,2018年
福建省,,23.95,2018年
甘肃省,,1.12,2018年
广东省,,321.58,2018年
广西壮族自治区,,215.05,2018年
贵州省,,0.45,2018年
海南省,,2.11,2018年
河北省,,121.06,2018年
河南省,,58.91,2018年
黑龙江省,,16.29,2018年
湖北省,,121.06,2018年
湖南省,,52.9,2018年
吉林省,,276.85,2018年
江苏省,,121.89,2018年
江西省,,54.98,2018年
辽宁省,,94.87,2018年
内蒙古自治区,,0.54,2018年
宁夏回族自治区,,,2018年
青海省,,,2018年
山东省,,87.94,2018年
山西省,,10.77,2018年
陕西省,,62.13,2018年
上海市,,297.76,2018年
四川省,,74.71,2018年
天津市,,86.26,2018年
西藏自治区,,,2018年
新疆维吾尔自治区,,2.48,2018年
云南省,,15.88,2018年
浙江省,,119.22,2018年
重庆市,,172.64,2018年
