数据库：分省年度数据
指标：汽车产量(万辆)
时间：最近20年
地区,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年
广东省,321.58,318.21,280.06,239.40,216.80,199.93,138.50,150.28,134.75,113.08,88.18,78.81,55.54,40.22,27.41,18.88,6.52,5.57,3.83,1.69
上海市,297.76,291.32,260.77,243.00,247.40,226.90,202.40,191.57,169.89,125.03,80.65,82.12,68.22,48.45,55.79,58.73,39.19,29.00,25.27,25.58
吉林省,276.85,276.88,253.99,208.13,237.37,164.72,156.48,155.68,164.15,110.64,86.13,82.15,63.25,58.16,53.70,64.07,52.02,39.08,32.26,27.54
湖北省,241.87,266.61,243.46,196.37,174.50,158.67,118.85,131.90,157.77,108.17,75.62,72.57,54.68,38.90,37.43,36.89,39.41,24.19,18.62,19.17
广西壮族自治区,215.05,245.18,245.30,229.40,209.20,186.90,167.30,142.35,136.61,118.45,70.16,60.48,51.84,37.67,28.47,18.06,17.23,13.65,12.78,9.82
重庆市,172.64,251.59,266.34,260.93,231.35,183.97,190.95,166.64,161.43,118.65,76.85,70.76,52.06,42.16,40.86,40.45,33.13,23.90,25.28,21.37
北京市,165.26,197.04,237.95,202.40,206.30,199.95,166.16,150.46,150.26,127.06,76.61,70.67,68.37,58.70,53.90,34.91,20.45,15.27,13.71,13.60
江苏省,121.89,119.85,138.63,115.80,121.60,107.20,88.70,80.38,74.40,50.62,29.25,26.51,27.48,30.05,25.80,21.26,16.82,10.85,8.34,8.67
河北省,121.06,100.86,128.64,112.90,97.80,97.40,82.50,72.11,71.04,51.43,32.15,32.30,26.84,19.36,16.61,11.17,1.88,1.29,0.94,1.03
浙江省,119.22,74.00,58.06,41.10,30.90,30.61,32.72,30.63,31.91,28.17,17.39,20.62,17.77,13.13,10.22,8.19,4.53,2.13,1.08,0.65
辽宁省,94.87,94.82,107.88,109.00,112.10,108.00,83.63,75.54,70.77,50.85,34.08,37.71,29.12,14.98,14.28,13.00,9.01,7.96,8.37,5.74
山东省,87.94,91.56,86.89,81.86,103.00,104.38,90.26,76.29,81.46,55.77,42.83,40.35,27.17,22.41,17.06,7.49,1.99,1.18,1.28,2.07
天津市,86.26,83.33,52.91,52.90,51.20,55.70,63.80,75.69,73.81,60.24,54.12,45.69,41.24,32.78,22.92,17.25,9.44,5.89,10.18,12.88
安徽省,82.43,115.83,139.12,117.00,93.40,100.65,104.18,117.03,118.87,86.34,57.14,61.06,48.95,34.25,21.94,20.63,13.62,8.90,5.74,4.35
四川省,74.71,83.24,53.03,42.30,32.40,80.49,39.70,12.86,10.15,7.62,7.67,7.21,6.95,4.76,6.09,4.76,3.33,4.12,3.64,2.33
陕西省,62.13,61.63,42.04,34.10,37.50,42.16,54.50,55.67,65.21,50.68,26.82,17.06,10.83,4.08,4.88,4.27,3.23,1.85,1.93,1.26
河南省,58.91,46.51,58.47,32.86,40.90,40.63,37.56,36.58,23.52,12.46,8.16,7.13,5.53,3.43,3.71,2.77,1.59,0.93,0.84,0.79
江西省,54.98,56.55,53.58,42.10,46.20,36.80,34.40,34.35,37.28,28.47,21.14,22.18,23.39,20.61,18.25,18.52,20.75,15.93,13.34,11.99
湖南省,52.90,51.86,47.74,36.30,29.50,32.06,17.27,16.19,16.62,11.95,7.57,5.72,3.70,2.99,6.07,4.38,2.80,1.96,1.74,1.05
福建省,23.95,27.90,21.79,19.20,18.10,20.60,18.33,18.64,19.50,13.50,5.96,8.60,7.30,6.61,7.02,8.67,4.84,3.27,2.36,1.09
黑龙江省,16.29,12.21,7.58,8.00,10.80,10.45,9.80,18.17,24.77,28.37,19.00,19.88,24.42,23.61,23.60,20.00,18.54,13.90,12.20,8.60
云南省,15.88,14.29,13.31,11.70,11.00,7.99,10.90,9.72,10.19,7.27,4.31,4.69,3.78,5.05,5.46,4.05,3.86,2.74,2.32,1.22
山西省,10.77,9.34,0.66,,,0.02,0.70,0.61,0.32,0.15,0.08,,,0.01,0.07,0.07,0.09,0.13,0.11,0.11
新疆维吾尔自治区,2.48,2.05,2.06,1.60,1.10,1.00,0.16,0.11,0.18,0.07,0.25,0.23,0.10,0.11,0.22,0.16,0.39,0.26,0.14,0.01
海南省,2.11,3.96,6.72,7.00,9.00,10.80,12.90,15.20,13.60,9.16,8.51,12.26,8.36,7.31,6.70,5.50,2.29,,0.31,0.25
甘肃省,1.12,1.86,1.15,2.40,0.70,2.10,2.40,2.06,2.07,1.87,0.94,,,0.01,0.08,0.02,,,,
内蒙古自治区,0.54,3.06,2.14,2.60,2.40,1.66,2.10,3.65,5.16,3.28,2.97,2.10,0.89,0.69,0.60,0.27,0.13,0.09,0.07,0.07
贵州省,0.45,0.27,1.64,,,0.03,0.47,1.28,0.84,0.18,,,0.10,0.11,0.05,0.13,0.27,0.13,0.14,0.22
西藏自治区,,0.00,,,,,,,,,,,,,,,,,,
青海省,,0.00,,,,,,,,,,,,,,,,,,
宁夏回族自治区,,0.00,,,,,,,,,,,,,,,,,,
数据来源：国家统计局
