name,type,value,date
安徽省,,131.7,2000年
安徽省,,114.65,2001年
安徽省,,148.03,2002年
安徽省,,188.24,2003年
安徽省,,328.01,2004年
安徽省,,443.85,2005年
安徽省,,436.04,2006年
安徽省,,571.13,2007年
安徽省,,695.01,2008年
安徽省,,1002.27,2009年
安徽省,,1267,2010年
安徽省,,1629.6,2011年
安徽省,,1499.3,2012年
安徽省,,1697.8,2013年
安徽省,,1528.7,2014年
安徽省,,1725.2,2015年
安徽省,,2006.42,2016年
安徽省,,2055.97,2017年
安徽省,,2126.03,2018年
北京市,,21,2000年
北京市,,10.02,2001年
北京市,,8.52,2002年
北京市,,23.14,2003年
北京市,,10.01,2004年
北京市,,,2005年
北京市,,0.89,2006年
北京市,,1.96,2007年
北京市,,0.8,2008年
北京市,,0.37,2009年
北京市,,0.4,2010年
北京市,,0.2,2011年
北京市,,0.1,2012年
甘肃省,,34.01,2000年
甘肃省,,22.12,2001年
甘肃省,,11.27,2002年
甘肃省,,5.73,2003年
甘肃省,,12.08,2004年
甘肃省,,11.03,2005年
甘肃省,,8.45,2006年
甘肃省,,9.1,2007年
甘肃省,,9.81,2008年
甘肃省,,9.5,2009年
甘肃省,,8.5,2010年
甘肃省,,6.5,2011年
甘肃省,,6,2012年
甘肃省,,4.1,2013年
广东省,,244.18,2000年
广东省,,181.72,2001年
广东省,,162.16,2002年
广东省,,179.06,2003年
广东省,,183.5,2004年
广东省,,266.48,2005年
广东省,,280.65,2006年
广东省,,246.05,2007年
广东省,,317.22,2008年
广东省,,339.69,2009年
广东省,,467.8,2010年
广东省,,502.1,2011年
广东省,,607,2012年
广东省,,665.2,2013年
广东省,,690.9,2014年
广东省,,747.4,2015年
广东省,,762.32,2016年
广东省,,749.62,2017年
广东省,,682.75,2018年
广西壮族自治区,,1.44,2002年
广西壮族自治区,,2.51,2003年
广西壮族自治区,,2.65,2004年
广西壮族自治区,,2.44,2005年
广西壮族自治区,,0.75,2006年
河北省,,9.07,2004年
河北省,,9.76,2005年
河北省,,10.03,2006年
河北省,,7.84,2007年
河北省,,18.12,2008年
河北省,,19.43,2009年
河北省,,20.2,2010年
河北省,,0.05,2011年
河北省,,0.05,2012年
河北省,,,2013年
河北省,,31,2014年
河北省,,26.6,2015年
河北省,,32.31,2016年
河北省,,56.02,2017年
河北省,,4,2018年
河南省,,6.62,2001年
河南省,,8.35,2002年
河南省,,36.26,2003年
河南省,,32.9,2004年
河南省,,12.33,2005年
河南省,,27.02,2006年
河南省,,28.87,2007年
河南省,,6.15,2008年
河南省,,4.46,2009年
河南省,,7.6,2010年
河南省,,25.2,2011年
河南省,,21.6,2012年
河南省,,83.2,2013年
河南省,,152.3,2014年
河南省,,164.8,2015年
河南省,,166.6,2016年
河南省,,180.8,2017年
河南省,,16.38,2018年
湖北省,,78.19,2000年
湖北省,,64.21,2001年
湖北省,,68.88,2002年
湖北省,,69.94,2003年
湖北省,,64.25,2004年
湖北省,,60.29,2005年
湖北省,,44.16,2006年
湖北省,,50.72,2007年
湖北省,,46.73,2008年
湖北省,,36,2009年
湖北省,,70.2,2010年
湖北省,,122.3,2011年
湖北省,,166.8,2012年
湖北省,,137.6,2013年
湖北省,,24.8,2014年
湖南省,,10.79,2004年
湖南省,,18.39,2005年
湖南省,,17.24,2006年
湖南省,,61.94,2007年
湖南省,,55.73,2008年
湖南省,,64.6,2009年
湖南省,,73.5,2010年
湖南省,,63,2011年
湖南省,,37.7,2012年
湖南省,,37.2,2013年
湖南省,,40.8,2014年
湖南省,,32.6,2015年
吉林省,,3.03,2000年
吉林省,,4.52,2001年
吉林省,,4.85,2002年
吉林省,,3.92,2003年
吉林省,,1.18,2004年
吉林省,,0.01,2005年
江苏省,,241.6,2000年
江苏省,,230.14,2001年
江苏省,,280.34,2002年
江苏省,,338.39,2003年
江苏省,,437.13,2004年
江苏省,,513.66,2005年
江苏省,,603.26,2006年
江苏省,,628.34,2007年
江苏省,,649.89,2008年
江苏省,,748.62,2009年
江苏省,,1216.6,2010年
江苏省,,1216.7,2011年
江苏省,,1177.1,2012年
江苏省,,1354.4,2013年
江苏省,,1584.4,2014年
江苏省,,1652.3,2015年
江苏省,,1849.64,2016年
江苏省,,1879.29,2017年
江苏省,,1891.56,2018年
江西省,,0.01,2008年
江西省,,0.03,2009年
江西省,,0.03,2010年
江西省,,,2011年
江西省,,,2012年
江西省,,46.4,2013年
江西省,,79.6,2014年
江西省,,45.5,2015年
江西省,,60.74,2016年
江西省,,68.64,2017年
江西省,,20.84,2018年
辽宁省,,13.73,2000年
辽宁省,,11.67,2001年
辽宁省,,10.46,2002年
辽宁省,,3.76,2003年
山东省,,312.38,2000年
山东省,,314.5,2001年
山东省,,358.64,2002年
山东省,,400.92,2003年
山东省,,420.08,2004年
山东省,,418.78,2005年
山东省,,420.08,2006年
山东省,,432.89,2007年
