数据库：分省年度数据
指标：家用洗衣机产量(万台)
时间：最近20年
地区,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年
安徽省,,2126.03,2055.97,2006.42,1725.20,1528.70,1697.80,1499.30,1629.60,1267.00,1002.27,695.01,571.13,436.04,443.85,328.01,188.24,148.03,114.65,131.70
江苏省,,1891.56,1879.29,1849.64,1652.30,1584.40,1354.40,1177.10,1216.70,1216.60,748.62,649.89,628.34,603.26,513.66,437.13,338.39,280.34,230.14,241.60
浙江省,,1153.43,1227.09,1396.80,1526.60,1592.40,1881.40,1952.94,1818.17,1804.45,1608.38,1475.44,1432.44,1341.72,972.91,811.24,525.85,376.02,232.06,199.69
广东省,,682.75,749.62,762.32,747.40,690.90,665.20,607.00,502.10,467.80,339.69,317.22,246.05,280.65,266.48,183.50,179.06,162.16,181.72,244.18
山东省,,666.71,627.16,670.86,712.70,708.30,651.40,624.00,610.20,624.46,532.23,432.19,432.89,420.08,418.78,420.08,400.92,358.64,314.50,312.38
重庆市,,362.04,324.31,301.52,281.30,250.10,241.90,283.63,264.06,221.50,175.25,79.16,30.43,,,1.00,14.10,19.16,21.96,34.86
四川省,,178.00,157.46,180.84,174.90,216.70,191.10,194.60,209.70,214.81,201.36,171.84,167.26,49.48,42.50,26.99,22.78,2.62,2.84,5.90
上海市,,140.07,148.76,163.21,160.30,181.90,184.20,197.10,219.00,216.60,207.79,234.63,303.67,305.84,242.76,166.08,141.86,95.92,74.75,62.11
天津市,,26.23,25.76,29.59,24.30,32.50,26.00,23.20,29.10,34.10,23.65,38.43,29.87,5.52,1.96,2.68,,0.88,18.28,37.18
江西省,,20.84,68.64,60.74,45.50,79.60,46.40,,,0.03,0.03,0.01,,,,,,,,
河南省,,16.38,180.80,166.60,164.80,152.30,83.20,21.60,25.20,7.60,4.46,6.15,28.87,27.02,12.33,32.90,36.26,8.35,6.62,
河北省,,4.00,56.02,32.31,26.60,31.00,,0.05,0.05,20.20,19.43,18.12,7.84,10.03,9.76,9.07,,,,
北京市,,,,,,,,0.10,0.20,0.40,0.37,0.80,1.96,0.89,,10.01,23.14,8.52,10.02,21.00
山西省,,,,,,,,,,,,,,,,,,19.81,27.16,19.47
内蒙古自治区,,,,,,,,,,,,,,,,,,,,
辽宁省,,,,,,,,,,,,,,,,,3.76,10.46,11.67,13.73
吉林省,,,,,,,,,,,,,,,0.01,1.18,3.92,4.85,4.52,3.03
黑龙江省,,,,,,,,,,,,,,,,,,,,
福建省,,,,,,,,,,,,,,,,,,,,
湖北省,,,,,,24.80,137.60,166.80,122.30,70.20,36.00,46.73,50.72,44.16,60.29,64.25,69.94,68.88,64.21,78.19
湖南省,,,,,32.60,40.80,37.20,37.70,63.00,73.50,64.60,55.73,61.94,17.24,18.39,10.79,,,,
广西壮族自治区,,,,,,,,,,,,,,0.75,2.44,2.65,2.51,1.44,,
海南省,,,,,,,,,,,,,,,,,,,,
贵州省,,,,,,,,,,,,,,,,,,,,
云南省,,,,,,,,,,,,,,,,,,,,
西藏自治区,,,,,,,,,,,,,,,,,,,,
陕西省,,,,,,,,,,,,,2.59,9.37,18.37,13.77,8.00,9.73,4.39,3.94
甘肃省,,,,,,,4.10,6.00,6.50,8.50,9.50,9.81,9.10,8.45,11.03,12.08,5.73,11.27,22.12,34.01
青海省,,,,,,,,,,,,,,,,,,,,
宁夏回族自治区,,,,,,,,,,,,,,,,,,,,
新疆维吾尔自治区,,,,,,,,,0.06,,,,,,,,,,,
数据来源：国家统计局
