name,type,value,date
北京市,,,1999年
北京市,,,2000年
北京市,,,2001年
北京市,,,2002年
北京市,,,2003年
北京市,,,2004年
北京市,,,2005年
北京市,,,2006年
北京市,,0.61,2007年
北京市,,0.72,2008年
北京市,,0.39,2009年
北京市,,0.9,2010年
北京市,,0.75,2011年
北京市,,0.96,2012年
北京市,,0.7,2013年
北京市,,1.32,2014年
北京市,,1.7,2015年
北京市,,1.35,2016年
北京市,,0.9,2017年
北京市,,0.17,2018年
福建省,,,1999年
福建省,,470.51,2000年
福建省,,481.82,2001年
福建省,,494.78,2002年
福建省,,507.87,2003年
福建省,,523.27,2004年
福建省,,531.88,2005年
福建省,,461.48,2006年
福建省,,466.47,2007年
福建省,,476.05,2008年
福建省,,495.81,2009年
福建省,,512.8,2010年
福建省,,526.16,2011年
福建省,,546.61,2012年
福建省,,571.68,2013年
福建省,,603.38,2014年
福建省,,636.32,2015年
福建省,,665.29,2016年
福建省,,662.46,2017年
福建省,,696.82,2018年
广东省,,,1999年
广东省,,360.45,2000年
广东省,,367.07,2001年
广东省,,374.36,2002年
广东省,,379.21,2003年
广东省,,381.79,2004年
广东省,,397.95,2005年
广东省,,373.59,2006年
广东省,,373.12,2007年
广东省,,376.81,2008年
广东省,,387.15,2009年
广东省,,401.5,2010年
广东省,,418.23,2011年
广东省,,432.34,2012年
广东省,,442.4,2013年
广东省,,450.6,2014年
广东省,,459.23,2015年
广东省,,466.38,2016年
广东省,,451.81,2017年
广东省,,449.17,2018年
广西壮族自治区,,,1999年
广西壮族自治区,,159.45,2000年
广西壮族自治区,,163.98,2001年
广西壮族自治区,,166.42,2002年
广西壮族自治区,,168.74,2003年
广西壮族自治区,,165.81,2004年
广西壮族自治区,,173.96,2005年
广西壮族自治区,,141.09,2006年
广西壮族自治区,,143.32,2007年
广西壮族自治区,,144.06,2008年
广西壮族自治区,,149.02,2009年
广西壮族自治区,,154.45,2010年
广西壮族自治区,,159.32,2011年
广西壮族自治区,,164.79,2012年
广西壮族自治区,,170.98,2013年
广西壮族自治区,,174.44,2014年
广西壮族自治区,,179.72,2015年
广西壮族自治区,,187.32,2016年
广西壮族自治区,,191.9,2017年
广西壮族自治区,,194.42,2018年
海南省,,,1999年
海南省,,67.59,2000年
海南省,,79.57,2001年
