name,type,value,date
西藏自治区,,0.12,2003年
浙江省,,0.5,2003年
海南省,,0.9,2003年
广东省,,1.89,2003年
湖北省,,2.4,2003年
天津市,,2.97,2003年
福建省,,4.42,2003年
北京市,,5.79,2003年
江西省,,8.06,2003年
广西壮族自治区,,8.31,2003年
吉林省,,15.34,2003年
重庆市,,16.29,2003年
青海省,,17.44,2003年
湖南省,,20.06,2003年
江苏省,,25.75,2003年
四川省,,45.15,2003年
辽宁省,,48.18,2003年
甘肃省,,48.93,2003年
宁夏回族自治区,,68.39,2003年
河北省,,88.95,2003年
山东省,,91.11,2003年
黑龙江省,,95.88,2003年
新疆维吾尔自治区,,100.04,2003年
河南省,,121.67,2003年
安徽省,,131.9,2003年
贵州省,,149.21,2003年
云南省,,157,2003年
陕西省,,285.64,2003年
内蒙古自治区,,734.44,2003年
山西省,,1045.31,2003年
西藏自治区,,0.12,2004年
浙江省,,0.49,2004年
海南省,,0.89,2004年
广东省,,1.87,2004年
湖北省,,2.37,2004年
天津市,,2.97,2004年
福建省,,4.64,2004年
北京市,,5.73,2004年
江西省,,8.01,2004年
广西壮族自治区,,8.15,2004年
吉林省,,15.58,2004年
重庆市,,17.3,2004年
青海省,,17.47,2004年
湖南省,,20.26,2004年
江苏省,,24.19,2004年
辽宁省,,44.9,2004年
四川省,,46.06,2004年
甘肃省,,48.77,2004年
宁夏回族自治区,,68.11,2004年
河北省,,73.16,2004年
黑龙江省,,90.17,2004年
山东省,,107.19,2004年
新疆维吾尔自治区,,120.67,2004年
河南省,,132.57,2004年
安徽省,,140.39,2004年
贵州省,,149.05,2004年
云南省,,157.17,2004年
陕西省,,284.86,2004年
内蒙古自治区,,740.19,2004年
山西省,,1040.1,2004年
西藏自治区,,0.12,2005年
浙江省,,0.5,2005年
海南省,,0.9,2005年
广东省,,1.89,2005年
天津市,,2.97,2005年
湖北省,,3.25,2005年
福建省,,4.31,2005年
北京市,,5.62,2005年
江西省,,7.78,2005年
广西壮族自治区,,8.54,2005年
吉林省,,16.4,2005年
重庆市,,18.23,2005年
青海省,,19.93,2005年
湖南省,,20.37,2005年
江苏省,,22.09,2005年
四川省,,49.17,2005年
甘肃省,,49.37,2005年
辽宁省,,54.45,2005年
宁夏回族自治区,,68.52,2005年
河北省,,71.77,2005年
云南省,,74.03,2005年
黑龙江省,,77.33,2005年
山东省,,108.18,2005年
新疆维吾尔自治区,,122.39,2005年
河南省,,127.1,2005年
安徽省,,145.48,2005年
贵州省,,148.92,2005年
陕西省,,284.05,2005年
内蒙古自治区,,757.87,2005年
山西省,,1054.82,2005年
西藏自治区,,0.12,2006年
浙江省,,0.49,2006年
海南省,,0.9,2006年
广东省,,1.89,2006年
天津市,,2.97,2006年
湖北省,,3.26,2006年
福建省,,4.79,2006年
北京市,,5.73,2006年
江西省,,8.18,2006年
广西壮族自治区,,8.46,2006年
吉林省,,17.11,2006年
重庆市,,18.26,2006年
江苏省,,18.3,2006年
湖南省,,20.12,2006年
青海省,,20.66,2006年
辽宁省,,49.75,2006年
四川省,,50.26,2006年
甘肃省,,61.7,2006年
河北省,,68.15,2006年
宁夏回族自治区,,70.06,2006年
云南省,,73.57,2006年
黑龙江省,,77.67,2006年
山东省,,103.25,2006年
安徽省,,118.74,2006年
河南省,,123.3,2006年
新疆维吾尔自治区,,127.28,2006年
贵州省,,148.26,2006年
陕西省,,277.57,2006年
内蒙古自治区,,802.33,2006年
山西省,,1051.66,2006年
西藏自治区,,0.12,2007年
浙江省,,0.49,2007年
海南省,,0.9,2007年
广东省,,1.89,2007年
天津市,,2.97,2007年
湖北省,,3.32,2007年
福建省,,4.44,2007年
北京市,,6.75,2007年
江西省,,7.92,2007年
广西壮族自治区,,8.51,2007年
吉林省,,12.53,2007年
江苏省,,17.58,2007年
湖南省,,19.83,2007年
重庆市,,20.23,2007年
青海省,,20.53,2007年
辽宁省,,43.36,2007年
四川省,,49.31,2007年
甘肃省,,58.42,2007年
宁夏回族自治区,,59.17,2007年
河北省,,63.46,2007年
黑龙江省,,74.15,2007年
云南省,,79.68,2007年
安徽省,,80.88,2007年
山东省,,96.25,2007年
河南省,,117.8,2007年
新疆维吾尔自治区,,123.24,2007年
贵州省,,146.76,2007年
陕西省,,276.24,2007年
内蒙古自治区,,808.4,2007年
山西省,,1056.13,2007年
西藏自治区,,0.12,2008年
浙江省,,0.49,2008年
海南省,,0.9,2008年
广东省,,1.89,2008年
天津市,,2.97,2008年
湖北省,,3.3,2008年
福建省,,4.42,2008年
北京市,,6.69,2008年
江西省,,7.67,2008年
广西壮族自治区,,8.24,2008年
吉林省,,12.48,2008年
江苏省,,14.73,2008年
湖南省,,19.57,2008年
青海省,,20.2,2008年
重庆市,,20.66,2008年
辽宁省,,44.64,2008年
四川省,,49.76,2008年
宁夏回族自治区,,58.15,2008年
甘肃省,,60.48,2008年
河北省,,60.59,2008年
黑龙江省,,72.44,2008年
云南省,,78.65,2008年
山东省,,84.11,2008年
安徽省,,85.91,2008年
河南省,,115.87,2008年
新疆维吾尔自治区,,147.41,2008年
贵州省,,150.06,2008年
陕西省,,278.46,2008年
内蒙古自治区,,789.07,2008年
山西省,,1061.51,2008年
西藏自治区,,0.1,2009年
浙江省,,0.5,2009年
海南省,,0.9,2009年
广东省,,1.9,2009年
天津市,,3,2009年
湖北省,,3.3,2009年
福建省,,4.2,2009年
北京市,,7,2009年
江西省,,7.2,2009年
广西壮族自治区,,7.7,2009年
吉林省,,12.8,2009年
江苏省,,14.5,2009年
湖南省,,18.9,2009年
青海省,,20,2009年
重庆市,,21.3,2009年
辽宁省,,43.8,2009年
四川省,,52.3,2009年
宁夏回族自治区,,55.5,2009年
河北省,,56.3,2009年
甘肃省,,58.4,2009年
黑龙江省,,69,2009年
云南省,,77.5,2009年
山东省,,82.1,2009年
安徽省,,83.7,2009年
河南省,,114.7,2009年
贵州省,,128.1,2009年
新疆维吾尔自治区,,148,2009年
陕西省,,268.7,2009年
内蒙古自治区,,772.7,2009年
山西省,,1055.5,2009年
西藏自治区,,0.12,2010年
浙江省,,0.49,2010年
海南省,,0.9,2010年
广东省,,1.89,2010年
天津市,,2.97,2010年
湖北省,,3.3,2010年
北京市,,3.79,2010年
福建省,,4.06,2010年
江西省,,6.74,2010年
广西壮族自治区,,7.74,2010年
吉林省,,12.4,2010年
江苏省,,14.23,2010年
青海省,,16.22,2010年
湖南省,,18.76,2010年
重庆市,,22.49,2010年
辽宁省,,46.63,2010年
宁夏回族自治区,,54.03,2010年
四川省,,54.37,2010年
甘肃省,,58.05,2010年
河北省,,60.59,2010年
云南省,,62.47,2010年
黑龙江省,,68.17,2010年
山东省,,77.56,2010年
安徽省,,81.93,2010年
河南省,,113.49,2010年
贵州省,,118.46,2010年
