数据库：分省年度数据
指标：石油储量(万吨)
时间：最近20年
地区,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年
新疆维吾尔自治区,59576.30,60112.70,58878.60,58393.63,56464.74,56299.10,51163.47,46664.00,43643.00,41385.88,41883.22,41378.00,39782.70,36362.50
黑龙江省,42665.80,44048.70,45373.80,47311.25,50137.48,51273.08,54516.41,54519.90,57474.00,60071.83,62196.71,53418.31,56531.40,59881.90
陕西省,38375.60,38445.30,36300.80,33712.64,31397.94,29844.34,24947.67,22490.20,23047.00,19917.19,19884.83,16972.88,16245.10,15104.40
山东省,29412.20,31123.50,32627.40,33839.35,34302.35,34329.40,34310.68,32636.30,33496.00,34106.79,34747.87,29849.17,31004.60,31853.30
甘肃省,28261.70,24109.80,21878.40,21150.01,19184.32,15529.15,16085.39,13798.80,9114.00,9395.18,8727.59,9465.24,8328.60,6716.10
河北省,26576.40,26422.20,26724.90,26685.34,26934.54,27736.14,27780.80,26380.70,24707.00,25077.03,16338.63,12951.82,12261.80,12762.80
吉林省,17500.60,17798.70,18122.30,18326.64,18304.08,17788.93,18861.77,18223.60,17778.00,16646.01,16529.56,15757.84,15169.30,14479.80
辽宁省,14351.60,15052.80,15777.40,16411.23,16946.82,17880.89,18799.01,14937.70,15734.00,16915.33,17010.38,17015.34,17598.40,18414.30
内蒙古自治区,8381.30,8208.50,8354.40,8339.35,8517.07,8520.38,7643.80,7618.30,7751.00,5763.38,5526.32,5670.94,4975.10,3950.80
青海省,8252.30,7955.80,7524.50,6284.94,6499.44,5529.44,5635.18,4361.70,3959.00,4157.23,4377.23,3824.87,3833.00,3579.20
河南省,4427.00,4631.10,4876.80,5037.37,5160.24,5190.34,5051.21,5051.90,5183.00,5219.19,5370.67,5876.81,5986.20,6105.10
天津市,3349.90,3005.60,3048.60,3115.22,3034.52,2742.16,3415.91,3436.80,3607.00,3774.22,3074.99,4327.34,4110.10,3778.20
江苏省,2729.50,2906.90,2965.40,3023.37,3061.03,2933.35,2689.35,2568.10,2522.00,2521.00,2503.77,2402.52,2396.20,2305.20
宁夏回族自治区,2432.40,2370.60,2180.60,2313.96,2299.47,709.96,202.77,190.90,211.00,46.06,139.91,95.47,103.60,91.60
湖北省,1185.90,1241.60,1284.90,1303.70,1328.70,1302.57,1307.97,1224.10,1210.00,1199.83,1187.18,1033.41,1062.10,1053.10
四川省,623.40,648.40,661.80,666.66,804.63,818.74,514.74,105.10,338.00,330.52,345.05,288.98,243.80,215.90
海南省,452.30,326.60,277.90,274.39,297.50,-34.44,-17.27,2.70,17.00,28.95,40.80,45.10,55.00,64.00
重庆市,266.90,267.10,267.70,278.43,158.63,159.05,160.44,161.70,56.00,5.63,,,,
安徽省,238.50,247.00,253.10,254.20,260.06,208.80,186.73,180.90,161.00,142.60,137.88,136.40,103.30,109.70
广西壮族自治区,154.00,128.90,131.60,135.27,139.00,142.88,146.41,181.70,187.00,191.73,175.16,122.46,128.80,135.70
广东省,16.40,13.70,13.80,13.85,7.90,8.05,8.16,8.30,8.00,8.84,9.00,9.00,9.00,9.00
云南省,12.20,12.20,12.20,12.21,12.21,12.21,12.21,12.20,12.00,12.21,12.40,10.50,10.50,10.50
北京市,,,,,,,,,,,,9.00,9.00,9.00
注：石油的数据为剩余技术可采储量。
数据来源：国家统计局
