name,type,value,date
山东省,,31853.3,2003年
广东省,,9,2003年
广西壮族自治区,,135.7,2003年
天津市,,3778.2,2003年
云南省,,10.5,2003年
内蒙古自治区,,3950.8,2003年
甘肃省,,6716.1,2003年
北京市,,9,2003年
四川省,,215.9,2003年
宁夏回族自治区,,91.6,2003年
辽宁省,,18414.3,2003年
吉林省,,14479.8,2003年
江苏省,,2305.2,2003年
安徽省,,109.7,2003年
青海省,,3579.2,2003年
河北省,,12762.8,2003年
河南省,,6105.1,2003年
陕西省,,15104.4,2003年
重庆市,,,2003年
海南省,,64,2003年
黑龙江省,,59881.9,2003年
湖北省,,1053.1,2003年
新疆维吾尔自治区,,36362.5,2003年
山东省,,31004.6,2004年
广东省,,9,2004年
广西壮族自治区,,128.8,2004年
天津市,,4110.1,2004年
云南省,,10.5,2004年
内蒙古自治区,,4975.1,2004年
甘肃省,,8328.6,2004年
北京市,,9,2004年
四川省,,243.8,2004年
宁夏回族自治区,,103.6,2004年
辽宁省,,17598.4,2004年
吉林省,,15169.3,2004年
江苏省,,2396.2,2004年
安徽省,,103.3,2004年
青海省,,3833,2004年
河北省,,12261.8,2004年
河南省,,5986.2,2004年
陕西省,,16245.1,2004年
重庆市,,,2004年
海南省,,55,2004年
黑龙江省,,56531.4,2004年
湖北省,,1062.1,2004年
新疆维吾尔自治区,,39782.7,2004年
山东省,,29849.17,2005年
广东省,,9,2005年
广西壮族自治区,,122.46,2005年
天津市,,4327.34,2005年
云南省,,10.5,2005年
内蒙古自治区,,5670.94,2005年
甘肃省,,9465.24,2005年
北京市,,9,2005年
四川省,,288.98,2005年
宁夏回族自治区,,95.47,2005年
辽宁省,,17015.34,2005年
吉林省,,15757.84,2005年
江苏省,,2402.52,2005年
安徽省,,136.4,2005年
青海省,,3824.87,2005年
河北省,,12951.82,2005年
河南省,,5876.81,2005年
陕西省,,16972.88,2005年
重庆市,,,2005年
海南省,,45.1,2005年
黑龙江省,,53418.31,2005年
湖北省,,1033.41,2005年
新疆维吾尔自治区,,41378,2005年
山东省,,34747.87,2006年
广东省,,9,2006年
广西壮族自治区,,175.16,2006年
天津市,,3074.99,2006年
云南省,,12.4,2006年
内蒙古自治区,,5526.32,2006年
甘肃省,,8727.59,2006年
北京市,,,2006年
四川省,,345.05,2006年
宁夏回族自治区,,139.91,2006年
辽宁省,,17010.38,2006年
吉林省,,16529.56,2006年
江苏省,,2503.77,2006年
安徽省,,137.88,2006年
青海省,,4377.23,2006年
河北省,,16338.63,2006年
河南省,,5370.67,2006年
陕西省,,19884.83,2006年
重庆市,,,2006年
海南省,,40.8,2006年
黑龙江省,,62196.71,2006年
湖北省,,1187.18,2006年
新疆维吾尔自治区,,41883.22,2006年
山东省,,34106.79,2007年
广东省,,8.84,2007年
广西壮族自治区,,191.73,2007年
天津市,,3774.22,2007年
云南省,,12.21,2007年
内蒙古自治区,,5763.38,2007年
甘肃省,,9395.18,2007年
北京市,,,2007年
四川省,,330.52,2007年
宁夏回族自治区,,46.06,2007年
辽宁省,,16915.33,2007年
吉林省,,16646.01,2007年
江苏省,,2521,2007年
安徽省,,142.6,2007年
青海省,,4157.23,2007年
河北省,,25077.03,2007年
河南省,,5219.19,2007年
陕西省,,19917.19,2007年
重庆市,,5.63,2007年
海南省,,28.95,2007年
黑龙江省,,60071.83,2007年
湖北省,,1199.83,2007年
新疆维吾尔自治区,,41385.88,2007年
山东省,,33496,2008年
广东省,,8,2008年
广西壮族自治区,,187,2008年
天津市,,3607,2008年
云南省,,12,2008年
内蒙古自治区,,7751,2008年
甘肃省,,9114,2008年
北京市,,,2008年
四川省,,338,2008年
宁夏回族自治区,,211,2008年
辽宁省,,15734,2008年
吉林省,,17778,2008年
江苏省,,2522,2008年
安徽省,,161,2008年
青海省,,3959,2008年
河北省,,24707,2008年
河南省,,5183,2008年
陕西省,,23047,2008年
重庆市,,56,2008年
海南省,,17,2008年
黑龙江省,,57474,2008年
湖北省,,1210,2008年
新疆维吾尔自治区,,43643,2008年
山东省,,32636.3,2009年
广东省,,8.3,2009年
广西壮族自治区,,181.7,2009年
天津市,,3436.8,2009年
云南省,,12.2,2009年
内蒙古自治区,,7618.3,2009年
甘肃省,,13798.8,2009年
北京市,,,2009年
四川省,,105.1,2009年
宁夏回族自治区,,190.9,2009年
辽宁省,,14937.7,2009年
吉林省,,18223.6,2009年
江苏省,,2568.1,2009年
安徽省,,180.9,2009年
青海省,,4361.7,2009年
河北省,,26380.7,2009年
河南省,,5051.9,2009年
陕西省,,22490.2,2009年
重庆市,,161.7,2009年
海南省,,2.7,2009年
黑龙江省,,54519.9,2009年
湖北省,,1224.1,2009年
新疆维吾尔自治区,,46664,2009年
山东省,,34310.68,2010年
广东省,,8.16,2010年
广西壮族自治区,,146.41,2010年
天津市,,3415.91,2010年
云南省,,12.21,2010年
内蒙古自治区,,7643.8,2010年
甘肃省,,16085.39,2010年
北京市,,,2010年
四川省,,514.74,2010年
宁夏回族自治区,,202.77,2010年
辽宁省,,18799.01,2010年
吉林省,,18861.77,2010年
江苏省,,2689.35,2010年
安徽省,,186.73,2010年
青海省,,5635.18,2010年
河北省,,27780.8,2010年
河南省,,5051.21,2010年
陕西省,,24947.67,2010年
重庆市,,160.44,2010年
海南省,,-17.27,2010年
黑龙江省,,54516.41,2010年
湖北省,,1307.97,2010年
新疆维吾尔自治区,,51163.47,2010年
山东省,,34329.4,2011年
广东省,,8.05,2011年
广西壮族自治区,,142.88,2011年
天津市,,2742.16,2011年
云南省,,12.21,2011年
内蒙古自治区,,8520.38,2011年
甘肃省,,15529.15,2011年
北京市,,,2011年
四川省,,818.74,2011年
宁夏回族自治区,,709.96,2011年
辽宁省,,17880.89,2011年
吉林省,,17788.93,2011年
江苏省,,2933.35,2011年
安徽省,,208.8,2011年
青海省,,5529.44,2011年
