name,type,value1,value,date
北京市,,1.56,15600,2000年
广西壮族自治区,,2.47,24700,2000年
陕西省,,5.4,54000,2000年
广东省,,0.43,4300,2000年
甘肃省,,7.53,75300,2000年
重庆市,,1.88,18800,2000年
贵州省,,4.21,42100,2000年
浙江省,,2.62,26200,2000年
福建省,,1.33,13300,2000年
宁夏回族自治区,,3.31,33100,2000年
天津市,,1.99,19900,2000年
海南省,,0.99,9900,2000年
西藏自治区,,5.66,56600,2000年
上海市,,0.74,7400,2000年
青海省,,7,70000,2000年
黑龙江省,,3.48,34800,2000年
河南省,,32,320000,2000年
山东省,,24.8,248000,2000年
安徽省,,11.21,112100,2000年
河北省,,24.59,245900,2000年
江苏省,,15.75,157500,2000年
吉林省,,3.21,32100,2000年
内蒙古自治区,,31.82,318200,2000年
四川省,,16.24,162400,2000年
湖南省,,6.1,61000,2000年
湖北省,,3.04,30400,2000年
辽宁省,,3.37,33700,2000年
江西省,,0.88,8800,2000年
云南省,,5.8,58000,2000年
新疆维吾尔自治区,,37.5,375000,2000年
山西省,,7.03,70300,2000年
北京市,,3.02,30200,2001年
广西壮族自治区,,2.6,26000,2001年
陕西省,,5.75,57500,2001年
广东省,,0.46,4600,2001年
甘肃省,,8.36,83600,2001年
重庆市,,2.05,20500,2001年
贵州省,,4.34,43400,2001年
浙江省,,2.9,29000,2001年
福建省,,1.45,14500,2001年
宁夏回族自治区,,3.71,37100,2001年
天津市,,2.44,24400,2001年
海南省,,1.15,11500,2001年
西藏自治区,,6.23,62300,2001年
上海市,,0.9,9000,2001年
青海省,,7.63,76300,2001年
黑龙江省,,3.92,39200,2001年
河南省,,34.51,345100,2001年
山东省,,27.56,275600,2001年
安徽省,,10.88,108800,2001年
河北省,,25.57,255700,2001年
江苏省,,16.34,163400,2001年
吉林省,,3.42,34200,2001年
内蒙古自治区,,32.57,325700,2001年
四川省,,16.3,163000,2001年
湖南省,,6.68,66800,2001年
湖北省,,3.55,35500,2001年
辽宁省,,3.69,36900,2001年
江西省,,0.92,9200,2001年
云南省,,6.34,63400,2001年
新疆维吾尔自治区,,40.48,404800,2001年
山西省,,6.94,69400,2001年
北京市,,4.24,42400,2002年
广西壮族自治区,,2.64,26400,2002年
陕西省,,6.85,68500,2002年
广东省,,0.49,4900,2002年
甘肃省,,9.34,93400,2002年
重庆市,,2.36,23600,2002年
贵州省,,4.49,44900,2002年
浙江省,,3.08,30800,2002年
福建省,,1.47,14700,2002年
宁夏回族自治区,,4.48,44800,2002年
天津市,,2.83,28300,2002年
海南省,,1.24,12400,2002年
西藏自治区,,6.9,69000,2002年
上海市,,0.86,8600,2002年
青海省,,8,80000,2002年
黑龙江省,,4.73,47300,2002年
河南省,,37.85,378500,2002年
山东省,,30.23,302300,2002年
安徽省,,11.93,119300,2002年
河北省,,26.71,267100,2002年
江苏省,,17.16,171600,2002年
吉林省,,3.47,34700,2002年
内蒙古自治区,,33.81,338100,2002年
四川省,,16.8,168000,2002年
湖南省,,8.07,80700,2002年
湖北省,,4.3,43000,2002年
辽宁省,,4.44,44400,2002年
江西省,,1.12,11200,2002年
云南省,,7.2,72000,2002年
新疆维吾尔自治区,,42.62,426200,2002年
山西省,,6.94,69400,2002年
北京市,,4.7,47000,2003年
广西壮族自治区,,2.82,28200,2003年
陕西省,,7.94,79400,2003年
广东省,,0.55,5500,2003年
甘肃省,,10.57,105700,2003年
重庆市,,2.72,27200,2003年
贵州省,,4.5,45000,2003年
浙江省,,3.61,36100,2003年
福建省,,1.63,16300,2003年
宁夏回族自治区,,5.52,55200,2003年
天津市,,3.12,31200,2003年
海南省,,1.26,12600,2003年
西藏自治区,,7.37,73700,2003年
上海市,,0.88,8800,2003年
青海省,,8.49,84900,2003年
黑龙江省,,6.67,66700,2003年
河南省,,42,420000,2003年
山东省,,32.93,329300,2003年
安徽省,,15.09,150900,2003年
河北省,,29.02,290200,2003年
江苏省,,17.65,176500,2003年
吉林省,,3.76,37600,2003年
内蒙古自治区,,45.32,453200,2003年
四川省,,17.4,174000,2003年
湖南省,,9.39,93900,2003年
湖北省,,4.93,49300,2003年
辽宁省,,5.1,51000,2003年
江西省,,1.39,13900,2003年
云南省,,8.18,81800,2003年
新疆维吾尔自治区,,45.54,455400,2003年
山西省,,7.21,72100,2003年
北京市,,4.91,49100,2004年
广西壮族自治区,,3.2,32000,2004年
陕西省,,8.44,84400,2004年
广东省,,0.63,6300,2004年
甘肃省,,11.23,112300,2004年
重庆市,,3.4,34000,2004年
贵州省,,5.02,50200,2004年
浙江省,,3.82,38200,2004年
福建省,,1.81,18100,2004年
宁夏回族自治区,,6.06,60600,2004年
天津市,,3.15,31500,2004年
海南省,,1.28,12800,2004年
西藏自治区,,7.59,75900,2004年
上海市,,0.75,7500,2004年
青海省,,8.84,88400,2004年
黑龙江省,,9.01,90100,2004年
河南省,,44.65,446500,2004年
山东省,,34.99,349900,2004年
安徽省,,16.43,164300,2004年
河北省,,31.1,311000,2004年
江苏省,,17.39,173900,2004年
吉林省,,4,40000,2004年
内蒙古自治区,,60.36,603600,2004年
四川省,,18.8,188000,2004年
湖南省,,10.1,101000,2004年
湖北省,,5.83,58300,2004年
辽宁省,,6.12,61200,2004年
江西省,,1.57,15700,2004年
云南省,,8.95,89500,2004年
新疆维吾尔自治区,,52.65,526500,2004年
山西省,,7.23,72300,2004年
北京市,,3.96,39600,2005年
广西壮族自治区,,3.76,37600,2005年
陕西省,,9.34,93400,2005年
广东省,,0.71,7100,2005年
甘肃省,,12.46,124600,2005年
重庆市,,3.59,35900,2005年
贵州省,,5.5,55000,2005年
浙江省,,3.92,39200,2005年
福建省,,2.06,20600,2005年
宁夏回族自治区,,6.4,64000,2005年
天津市,,3.04,30400,2005年
海南省,,1.33,13300,2005年
西藏自治区,,7.47,74700,2005年
上海市,,0.61,6100,2005年
青海省,,9.16,91600,2005年
黑龙江省,,10.73,107300,2005年
河南省,,46.66,466600,2005年
山东省,,36.36,363600,2005年
安徽省,,16.4,164000,2005年
河北省,,33.73,337300,2005年
江苏省,,17.88,178800,2005年
吉林省,,4.18,41800,2005年
内蒙古自治区,,72.43,724300,2005年
四川省,,20.01,200100,2005年
湖南省,,11.65,116500,2005年
湖北省,,6,60000,2005年
辽宁省,,7.12,71200,2005年
江西省,,1.6,16000,2005年
云南省,,10.1,101000,2005年
新疆维吾尔自治区,,59.89,598900,2005年
山西省,,7.43,74300,2005年
北京市,,1.96,19600,2006年
广西壮族自治区,,2.46,24600,2006年
陕西省,,6.43,64300,2006年
广东省,,0.7,7000,2006年
甘肃省,,14.07,140700,2006年
重庆市,,1.48,14800,2006年
贵州省,,2.74,27400,2006年
浙江省,,2.34,23400,2006年
福建省,,1.41,14100,2006年
宁夏回族自治区,,5.48,54800,2006年
天津市,,1.32,13200,2006年
海南省,,0.91,9100,2006年
西藏自治区,,8.33,83300,2006年
上海市,,0.23,2300,2006年
青海省,,8.34,83400,2006年
黑龙江省,,9.68,96800,2006年
河南省,,23.77,237700,2006年
山东省,,30.5,305000,2006年
安徽省,,12.24,122400,2006年
河北省,,22.62,226200,2006年
江苏省,,6.9,69000,2006年
吉林省,,4.13,41300,2006年
内蒙古自治区,,74.66,746600,2006年
四川省,,21.84,218400,2006年
湖南省,,9.63,96300,2006年
湖北省,,5.56,55600,2006年
辽宁省,,6.39,63900,2006年
江西省,,1.07,10700,2006年
云南省,,9.32,93200,2006年
新疆维吾尔自治区,,62.36,623600,2006年
山西省,,4.98,49800,2006年
北京市,,1.86,18600,2007年
广西壮族自治区,,2.67,26700,2007年
陕西省,,7,70000,2007年
广东省,,0.75,7500,2007年
甘肃省,,14.6,146000,2007年
重庆市,,1.6,16000,2007年
贵州省,,2.78,27800,2007年
浙江省,,2.12,21200,2007年
福建省,,1.44,14400,2007年
宁夏回族自治区,,5.7,57000,2007年
天津市,,1.36,13600,2007年
海南省,,0.94,9400,2007年
西藏自治区,,8.18,81800,2007年
上海市,,0.23,2300,2007年
青海省,,8.68,86800,2007年
黑龙江省,,10.4,104000,2007年
河南省,,25.3,253000,2007年
山东省,,33,330000,2007年
安徽省,,13.17,131700,2007年
河北省,,24.34,243400,2007年
江苏省,,7.12,71200,2007年
吉林省,,4.44,44400,2007年
