name,type,value,date
安徽省,,4.54,2000年
安徽省,,4.7,2001年
安徽省,,4.83,2002年
安徽省,,5.07,2003年
安徽省,,5.58,2004年
安徽省,,5.96,2005年
安徽省,,6.39,2006年
安徽省,,7.08,2007年
安徽省,,7.59,2008年
安徽省,,8.2,2009年
安徽省,,8.33,2010年
安徽省,,8.76,2011年
安徽省,,9.54,2012年
安徽省,,10.09,2013年
安徽省,,11.12,2014年
安徽省,,11.29,2015年
安徽省,,10.5,2016年
安徽省,,10.78,2017年
安徽省,,11.24,2018年
福建省,,12.6,2000年
福建省,,13.39,2001年
福建省,,14.33,2002年
福建省,,15.02,2003年
福建省,,16.44,2004年
福建省,,18.48,2005年
福建省,,20.01,2006年
福建省,,22.09,2007年
福建省,,24.07,2008年
福建省,,25.51,2009年
福建省,,25.83,2010年
福建省,,27.67,2011年
福建省,,29.6,2012年
福建省,,31.57,2013年
福建省,,33.4,2014年
福建省,,35.63,2015年
福建省,,37.29,2016年
福建省,,39.49,2017年
福建省,,41.83,2018年
甘肃省,,0.03,2000年
甘肃省,,0.02,2001年
甘肃省,,0.04,2002年
甘肃省,,0.04,2003年
甘肃省,,0.04,2004年
甘肃省,,0.05,2005年
甘肃省,,0.06,2006年
甘肃省,,0.06,2007年
甘肃省,,0.06,2008年
甘肃省,,0.08,2009年
甘肃省,,0.08,2010年
甘肃省,,0.09,2011年
甘肃省,,0.1,2012年
甘肃省,,0.1,2013年
甘肃省,,0.11,2014年
甘肃省,,0.12,2015年
甘肃省,,0.12,2016年
甘肃省,,0.12,2017年
甘肃省,,0.13,2018年
广东省,,4.21,2000年
广东省,,4.15,2001年
广东省,,4.24,2002年
广东省,,4.14,2003年
广东省,,4.04,2004年
广东省,,4.45,2005年
广东省,,4.74,2006年
广东省,,4.91,2007年
广东省,,4.88,2008年
广东省,,5.2,2009年
广东省,,5.38,2010年
广东省,,6.04,2011年
广东省,,6.39,2012年
广东省,,7.09,2013年
广东省,,7.51,2014年
广东省,,8.07,2015年
广东省,,8.92,2016年
广东省,,9.29,2017年
广东省,,9.99,2018年
广西壮族自治区,,1.79,2000年
广西壮族自治区,,1.89,2001年
广西壮族自治区,,1.96,2002年
广西壮族自治区,,2.13,2003年
广西壮族自治区,,2.24,2004年
广西壮族自治区,,2.62,2005年
广西壮族自治区,,2.85,2006年
广西壮族自治区,,3.43,2007年
广西壮族自治区,,3.32,2008年
广西壮族自治区,,3.64,2009年
广西壮族自治区,,3.89,2010年
广西壮族自治区,,4.4,2011年
广西壮族自治区,,4.88,2012年
广西壮族自治区,,5.32,2013年
广西壮族自治区,,5.79,2014年
广西壮族自治区,,6.25,2015年
广西壮族自治区,,6.68,2016年
广西壮族自治区,,7.19,2017年
广西壮族自治区,,7.52,2018年
贵州省,,1.84,2000年
贵州省,,1.85,2001年
贵州省,,1.74,2002年
贵州省,,1.77,2003年
贵州省,,1.94,2004年
贵州省,,2.29,2005年
贵州省,,2.49,2006年
贵州省,,2.84,2007年
贵州省,,3.49,2008年
贵州省,,4.19,2009年
贵州省,,5.23,2010年
贵州省,,5.84,2011年
贵州省,,7.37,2012年
贵州省,,8.94,2013年
贵州省,,10.71,2014年
贵州省,,11.8,2015年
贵州省,,14.13,2016年
贵州省,,17.65,2017年
贵州省,,18.03,2018年
海南省,,0.22,2000年
海南省,,0.19,2001年
海南省,,0.14,2002年
海南省,,0.13,2003年
海南省,,0.13,2004年
海南省,,0.1,2005年
海南省,,0.12,2006年
海南省,,0.1,2007年
海南省,,0.1,2008年
海南省,,0.11,2009年
海南省,,0.12,2010年
海南省,,0.12,2011年
海南省,,0.12,2012年
海南省,,0.1,2013年
海南省,,0.1,2014年
海南省,,0.09,2015年
海南省,,0.1,2016年
海南省,,0.1,2017年
海南省,,0.11,2018年
河北省,,6.37,2000年
河北省,,6.44,2001年
河北省,,6.72,2002年
河北省,,7.22,2003年
河北省,,7.62,2004年
河北省,,8.5,2005年
河北省,,9.24,2006年
河北省,,10.47,2007年
河北省,,12.95,2008年
河北省,,14.29,2009年
河北省,,16.36,2010年
河北省,,18.13,2011年
河北省,,20.41,2012年
河北省,,21.71,2013年
河北省,,24.41,2014年
河北省,,26.13,2015年
河北省,,28.7,2016年
