name,type,value,date
北京市,,,1999年
广西壮族自治区,,,1999年
陕西省,,,1999年
广东省,,,1999年
甘肃省,,,1999年
重庆市,,,1999年
贵州省,,,1999年
浙江省,,,1999年
福建省,,,1999年
宁夏回族自治区,,,1999年
天津市,,,1999年
海南省,,,1999年
西藏自治区,,,1999年
上海市,,,1999年
青海省,,,1999年
黑龙江省,,,1999年
河南省,,,1999年
山东省,,,1999年
安徽省,,,1999年
河北省,,,1999年
江苏省,,,1999年
吉林省,,,1999年
内蒙古自治区,,,1999年
四川省,,,1999年
湖南省,,,1999年
湖北省,,,1999年
辽宁省,,,1999年
江西省,,,1999年
云南省,,,1999年
新疆维吾尔自治区,,,1999年
山西省,,,1999年
北京市,,489.15,2000年
广西壮族自治区,,,2000年
陕西省,,,2000年
广东省,,,2000年
甘肃省,,,2000年
重庆市,,781.86,2000年
贵州省,,,2000年
浙江省,,,2000年
福建省,,,2000年
宁夏回族自治区,,,2000年
天津市,,530.6,2000年
海南省,,,2000年
西藏自治区,,,2000年
上海市,,377,2000年
青海省,,,2000年
黑龙江省,,,2000年
河南省,,,2000年
山东省,,,2000年
安徽省,,,2000年
河北省,,,2000年
江苏省,,,2000年
吉林省,,,2000年
内蒙古自治区,,,2000年
四川省,,,2000年
湖南省,,,2000年
湖北省,,,2000年
辽宁省,,,2000年
江西省,,,2000年
云南省,,,2000年
新疆维吾尔自治区,,,2000年
山西省,,,2000年
北京市,,522.87,2001年
广西壮族自治区,,1709.75,2001年
陕西省,,604.92,2001年
广东省,,2377.6,2001年
甘肃省,,599.04,2001年
重庆市,,779.96,2001年
贵州省,,625.16,2001年
浙江省,,1634.13,2001年
福建省,,1160.97,2001年
宁夏回族自治区,,151.12,2001年
天津市,,564.5,2001年
海南省,,275.81,2001年
西藏自治区,,20.27,2001年
上海市,,424.04,2001年
青海省,,63.72,2001年
黑龙江省,,1250.19,2001年
河南省,,4310.9,2001年
山东省,,7556.35,2001年
安徽省,,1439.7,2001年
河北省,,4892.55,2001年
江苏省,,3562.43,2001年
吉林省,,777.84,2001年
内蒙古自治区,,768.66,2001年
四川省,,2351.75,2001年
湖南省,,1983.36,2001年
湖北省,,2990.03,2001年
辽宁省,,1861.23,2001年
江西省,,1160.31,2001年
云南省,,653.2,2001年
新疆维吾尔自治区,,486.74,2001年
山西省,,863.25,2001年
北京市,,545.63,2002年
广西壮族自治区,,1788.78,2002年
陕西省,,666.44,2002年
广东省,,2442.53,2002年
甘肃省,,641.5,2002年
重庆市,,808.31,2002年
贵州省,,667.53,2002年
浙江省,,1781.51,2002年
福建省,,1280.07,2002年
宁夏回族自治区,,158.89,2002年
天津市,,584.31,2002年
海南省,,279.44,2002年
西藏自治区,,23.27,2002年
上海市,,476.6,2002年
青海省,,67.8,2002年
黑龙江省,,1324.74,2002年
河南省,,4690.8,2002年
山东省,,8335.37,2002年
安徽省,,1618.22,2002年
河北省,,5477.24,2002年
江苏省,,3951.56,2002年
吉林省,,859.44,2002年
内蒙古自治区,,755.26,2002年
四川省,,2565.71,2002年
湖南省,,2186.24,2002年
湖北省,,3052.27,2002年
辽宁省,,2124.94,2002年
江西省,,1208.94,2002年
云南省,,750.25,2002年
新疆维吾尔自治区,,674.96,2002年
山西省,,1071.99,2002年
北京市,,527.34,2003年
广西壮族自治区,,1870.96,2003年
陕西省,,725.22,2003年
广东省,,2584.2,2003年
甘肃省,,732.59,2003年
重庆市,,840.17,2003年
贵州省,,712.17,2003年
浙江省,,1798.23,2003年
福建省,,1338.24,2003年
宁夏回族自治区,,173.7,2003年
天津市,,602.78,2003年
海南省,,298.39,2003年
西藏自治区,,25.79,2003年
上海市,,460.54,2003年
青海省,,77.11,2003年
黑龙江省,,1198.27,2003年
河南省,,4510.43,2003年
山东省,,8729.27,2003年
安徽省,,1513.49,2003年
河北省,,5903.42,2003年
