数据库：分省年度数据
指标：蔬菜产量(万吨)
时间：最近20年
地区,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年
山东省,,8192.04,8133.77,8034.72,8009.86,7921.08,7800.10,7556.85,7548.40,7542.26,8957.21,9292.47,9355.54,8026.41,8606.98,8883.67,8729.27,8335.37,7556.35,
河南省,,7260.67,7530.22,7238.18,6970.99,6848.11,6745.29,6839.94,6811.20,6760.21,6536.74,7427.42,7370.32,5760.00,5880.25,5237.52,4510.43,4690.80,4310.90,
江苏省,,5625.88,5540.48,5593.91,5487.66,5302.40,5126.83,4881.89,4496.99,0.00,0.00,0.00,0.00,3124.17,3604.69,3678.67,3722.79,3951.56,3562.43,
河北省,,5154.50,5058.53,5038.89,5022.23,4965.13,4823.75,4701.65,4506.23,4305.16,5155.32,5137.70,4936.64,6314.44,6467.61,6187.53,5903.42,5477.24,4892.55,
四川省,,4438.02,4252.27,4118.12,3988.38,3838.35,3705.10,3569.18,3403.84,3206.45,3087.00,2927.13,2863.99,2674.58,2714.29,2623.87,2639.60,2565.71,2351.75,
湖北省,,3963.94,3826.40,3712.77,3664.08,3513.70,3438.55,3375.50,3244.71,3091.21,2924.82,2861.25,2678.88,2648.93,2916.91,2996.21,3141.78,3052.27,2990.03,
湖南省,,3822.04,3671.62,3538.73,3428.59,3283.09,3196.97,3140.85,3062.92,2915.34,2700.94,2490.69,2606.74,2273.20,2399.05,2305.32,2295.94,2186.24,1983.36,
广西壮族自治区,,3432.16,3282.63,3114.39,2915.87,2716.74,2516.83,2424.55,2303.78,2171.98,2538.31,2463.05,2412.31,1903.90,2130.59,1946.75,1870.96,1788.78,1709.75,
广东省,,3330.24,3177.49,3036.45,2994.90,2898.89,2678.18,2722.09,2632.79,2550.87,2447.89,2356.13,2316.43,2380.56,2596.02,2557.65,2584.20,2442.53,2377.60,
贵州省,,2613.40,2272.16,2033.56,1847.59,1740.51,1604.74,1471.92,1241.42,1217.81,1101.86,1016.29,904.89,788.00,839.87,774.71,712.17,667.53,625.16,
云南省,,2205.71,2077.76,1968.61,1944.83,1735.26,1625.33,1470.86,1338.48,880.66,1527.14,1432.09,1344.09,1033.78,970.89,885.14,839.08,750.25,653.20,
安徽省,,2118.21,2019.64,1936.61,2714.17,2550.97,2417.95,2306.59,2213.99,2137.36,2028.05,1923.49,1895.27,1726.51,1671.23,1656.46,1513.49,1618.22,1439.70,
重庆市,,1932.73,1862.63,1795.49,1707.86,1629.96,1544.82,1508.36,1385.96,1154.80,1062.06,1029.32,908.56,799.88,890.47,858.89,840.17,808.31,779.96,781.86
浙江省,,1888.37,1910.45,1865.09,1806.95,1762.79,1764.29,1794.38,1788.37,1761.99,1736.84,1725.89,0.00,1821.22,1764.60,1768.98,1798.23,1781.51,1634.13,
辽宁省,,1852.33,1797.84,1849.88,2184.47,2331.53,2463.03,2362.08,2292.52,2188.22,2328.85,2102.66,2066.35,2129.78,1954.78,2034.58,2148.24,2124.94,1861.23,
陕西省,,1808.44,1733.99,1666.93,1613.45,1556.16,1485.60,1412.45,1342.71,1294.49,1201.80,1040.55,926.91,848.48,869.93,785.34,725.22,666.44,604.92,
江西省,,1537.00,1490.07,1420.43,1359.09,1312.44,1257.57,1208.55,1160.24,1109.66,1257.05,1248.35,1227.92,1065.65,1145.93,1118.74,1100.01,1208.94,1160.31,
福建省,,1493.00,1415.31,1374.97,1401.47,1391.12,1419.19,1365.20,1461.10,1465.72,1615.60,1638.70,1667.45,1416.89,1402.66,1369.84,1338.24,1280.07,1160.97,
新疆维吾尔自治区,,1465.12,1820.06,1879.19,931.03,959.48,903.08,978.72,1139.00,1008.83,1130.75,846.44,746.69,814.33,862.23,919.13,761.00,674.96,486.74,
甘肃省,,1292.57,1212.31,1092.89,1086.19,1014.20,936.82,847.62,808.23,751.61,709.94,1.68,1.13,840.47,866.91,812.57,732.59,641.50,599.04,
内蒙古自治区,,1006.52,1111.35,1251.78,1284.87,1318.91,1300.11,1354.84,1388.58,1326.15,1083.45,1050.93,1045.40,1171.44,1009.14,875.53,846.76,755.26,768.66,
山西省,,821.87,806.74,777.94,837.43,973.46,932.26,861.70,778.61,694.06,700.95,685.58,730.14,790.81,901.54,916.18,1033.81,1071.99,863.25,
黑龙江省,,634.40,798.59,687.27,807.44,885.61,946.15,866.41,789.93,723.83,701.12,1057.90,1058.48,1135.57,1153.55,1068.03,1198.27,1324.74,1250.19,
海南省,,566.77,553.05,553.41,550.59,532.02,509.35,486.77,458.22,434.51,417.01,389.41,369.88,340.85,312.16,314.04,298.39,279.44,275.81,
宁夏回族自治区,,550.81,539.94,524.48,515.56,490.29,467.23,437.78,412.72,387.85,341.00,311.21,251.66,220.05,183.61,166.41,173.70,158.89,151.12,
吉林省,,438.15,356.64,348.01,380.23,422.08,482.89,536.59,599.01,792.95,872.72,886.63,968.57,732.29,832.56,699.89,881.01,859.44,777.84,
上海市,,294.49,293.50,304.62,335.24,364.93,373.09,384.54,389.29,383.27,383.00,402.25,415.56,418.76,409.03,440.03,460.54,476.60,424.04,377.00
天津市,,253.98,269.61,274.43,282.72,309.63,321.72,332.59,336.68,343.94,322.23,284.53,261.11,275.50,542.74,585.43,602.78,584.31,564.50,530.60
