name,type,value,date
海南省,,4.24,1999年
宁夏回族自治区,,11.86,1999年
青海省,,36.07,1999年
陕西省,,61.75,1999年
黑龙江省,,68,1999年
广西壮族自治区,,108.27,1999年
新疆维吾尔自治区,,114.45,1999年
贵州省,,118.77,1999年
重庆市,,135.1,1999年
吉林省,,135.75,1999年
甘肃省,,154.9,1999年
云南省,,182.01,1999年
江西省,,228.6,1999年
福建省,,253.43,1999年
浙江省,,265.8,1999年
湖南省,,288.79,1999年
内蒙古自治区,,365.8,1999年
山西省,,378.1,1999年
河南省,,379.45,1999年
安徽省,,388.58,1999年
天津市,,405.5,1999年
广东省,,426.34,1999年
四川省,,543.5,1999年
山东省,,633.39,1999年
北京市,,663.81,1999年
湖北省,,762.03,1999年
河北省,,1103.57,1999年
江苏省,,1170.25,1999年
辽宁省,,1235.57,1999年
上海市,,1486.08,1999年
西藏自治区,,,1999年
宁夏回族自治区,,5.59,2000年
海南省,,8,2000年
青海省,,36.39,2000年
陕西省,,57.7,2000年
黑龙江省,,76.35,2000年
广西壮族自治区,,102.63,2000年
新疆维吾尔自治区,,126.23,2000年
吉林省,,141.7,2000年
贵州省,,150.93,2000年
重庆市,,156.98,2000年
云南省,,176.45,2000年
甘肃省,,197.99,2000年
江西省,,282.9,2000年
福建省,,283.79,2000年
浙江省,,291.52,2000年
湖南省,,299.05,2000年
天津市,,315.88,2000年
内蒙古自治区,,378.91,2000年
山西省,,390.04,2000年
河南省,,405.62,2000年
广东省,,406.28,2000年
安徽省,,421.22,2000年
四川省,,541.34,2000年
山东省,,681.93,2000年
北京市,,696.69,2000年
湖北省,,811.1,2000年
河北省,,1306.52,2000年
江苏省,,1401.83,2000年
辽宁省,,1443.25,2000年
上海市,,1544.46,2000年
西藏自治区,,,2000年
宁夏回族自治区,,1.08,2001年
海南省,,7.87,2001年
青海省,,36.41,2001年
陕西省,,64.77,2001年
黑龙江省,,77.55,2001年
新疆维吾尔自治区,,134.42,2001年
贵州省,,138.64,2001年
广西壮族自治区,,140.37,2001年
重庆市,,180.09,2001年
云南省,,186.2,2001年
吉林省,,193.81,2001年
甘肃省,,228.47,2001年
福建省,,337.77,2001年
浙江省,,361.58,2001年
江西省,,386.19,2001年
内蒙古自治区,,388.39,2001年
湖南省,,397.17,2001年
天津市,,451.25,2001年
山西省,,494.43,2001年
河南省,,502.86,2001年
安徽省,,549.46,2001年
广东省,,577.05,2001年
四川省,,647.54,2001年
北京市,,727.87,2001年
山东省,,840.95,2001年
湖北省,,915.51,2001年
辽宁省,,1674.16,2001年
上海市,,1677.02,2001年
河北省,,1871.01,2001年
江苏省,,1877.72,2001年
西藏自治区,,,2001年
海南省,,8.14,2002年
宁夏回族自治区,,12.16,2002年
青海省,,35.55,2002年
陕西省,,82.05,2002年
黑龙江省,,97.2,2002年
新疆维吾尔自治区,,148.11,2002年
贵州省,,177.79,2002年
广西壮族自治区,,188.55,2002年
云南省,,200.77,2002年
重庆市,,201.48,2002年
甘肃省,,207.66,2002年
吉林省,,286.7,2002年
福建省,,368.14,2002年
浙江省,,404.83,2002年
内蒙古自治区,,484.58,2002年
湖南省,,487.71,2002年
江西省,,531.64,2002年
山西省,,581.39,2002年
河南省,,593.6,2002年
广东省,,664.4,2002年
安徽省,,670.14,2002年
北京市,,749.99,2002年
四川省,,752.83,2002年
天津市,,806.13,2002年
湖北省,,993.52,2002年
山东省,,1018.32,2002年
上海市,,1626.98,2002年
辽宁省,,2086.68,2002年
江苏省,,2274.56,2002年
河北省,,2509.99,2002年
西藏自治区,,,2002年
海南省,,10.82,2003年
宁夏回族自治区,,12.68,2003年
青海省,,40.3,2003年
陕西省,,132.98,2003年
黑龙江省,,141.43,2003年
贵州省,,193.07,2003年
新疆维吾尔自治区,,204.2,2003年
广西壮族自治区,,228.84,2003年
重庆市,,242.28,2003年
甘肃省,,245.58,2003年
云南省,,286.54,2003年
吉林省,,369.05,2003年
福建省,,461.98,2003年
浙江省,,527.03,2003年
内蒙古自治区,,560.36,2003年
湖南省,,562.01,2003年
江西省,,664.14,2003年
安徽省,,720.14,2003年
河南省,,744.68,2003年
北京市,,785.28,2003年
山西省,,823.52,2003年
四川省,,827.3,2003年
广东省,,846.32,2003年
天津市,,1083.5,2003年
湖北省,,1126.25,2003年
山东省,,1437.74,2003年
上海市,,1779.78,2003年
辽宁省,,2359.35,2003年
江苏省,,2961.49,2003年
河北省,,3729.37,2003年
西藏自治区,,,2003年
海南省,,13.8,2004年
宁夏回族自治区,,14.07,2004年
青海省,,37.96,2004年
黑龙江省,,201.39,2004年
陕西省,,205.44,2004年
贵州省,,208.35,2004年
新疆维吾尔自治区,,253.91,2004年
甘肃省,,298.17,2004年
重庆市,,301.62,2004年
云南省,,368.77,2004年
广西壮族自治区,,394.41,2004年
吉林省,,436.14,2004年
福建省,,541.19,2004年
内蒙古自治区,,604.62,2004年
江西省,,757.7,2004年
湖南省,,798.84,2004年
北京市,,870.61,2004年
浙江省,,881.57,2004年
安徽省,,997.36,2004年
山西省,,1127.63,2004年
河南省,,1129.25,2004年
四川省,,1161.71,2004年
广东省,,1214.06,2004年
湖北省,,1398.98,2004年
天津市,,1724.91,2004年
上海市,,1923.7,2004年
山东省,,2194.17,2004年
辽宁省,,2657.91,2004年
江苏省,,4200.53,2004年
河北省,,5056.95,2004年
西藏自治区,,,2004年
宁夏回族自治区,,9.21,2005年
海南省,,14.86,2005年
青海省,,48.47,2005年
贵州省,,214.89,2005年
黑龙江省,,236.69,2005年
重庆市,,294.7,2005年
新疆维吾尔自治区,,322.93,2005年
陕西省,,337.8,2005年
甘肃省,,452.25,2005年
吉林省,,479.36,2005年
云南省,,486.93,2005年
