数据库：分省年度数据
指标：钢材产量(万吨)
时间：最近20年
地区,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年
河北省,26916.86,24551.08,26150.42,25244.30,23995.20,22861.60,21026.10,19256.23,16782.88,15158.01,11571.79,10313.65,8521.33,6591.12,5056.95,3729.37,2509.99,1871.01,1306.52,1103.57
江苏省,12146.72,12295.44,13469.72,13560.80,13255.20,12398.00,11008.35,10011.71,9135.95,7892.42,7364.13,7322.68,5875.46,4424.63,4200.53,2961.49,2274.56,1877.72,1401.83,1170.25
山东省,9427.78,9201.53,9788.19,9003.20,8939.40,8109.10,7823.64,7083.34,6784.61,5877.95,5027.44,4961.85,4091.79,3010.86,2194.17,1437.74,1018.32,840.95,681.93,633.39
辽宁省,6899.12,6392.99,5906.31,6321.60,6950.80,6863.00,5923.50,5761.07,5669.42,4935.55,4285.27,4364.31,3848.88,3235.93,2657.91,2359.35,2086.68,1674.16,1443.25,1235.57
山西省,4903.31,4335.40,4278.97,4267.30,4631.69,4486.20,3799.34,3371.15,2866.37,2288.99,1976.45,2097.27,1677.63,1368.60,1127.63,823.52,581.39,494.43,390.04,378.10
天津市,4733.84,4373.97,8667.05,8186.20,7303.90,6640.90,5708.60,5164.53,4494.19,4079.67,3006.75,2888.19,2140.97,1670.15,1724.91,1083.50,806.13,451.25,315.88,405.50
广东省,4337.64,4213.69,4113.34,3271.00,3447.10,3384.50,3002.37,3189.90,2932.77,2296.58,2040.34,2026.88,1732.19,1415.79,1214.06,846.32,664.40,577.05,406.28,426.34
河南省,3660.99,3862.20,4444.40,4766.80,4704.10,4255.20,3484.88,3553.54,3273.72,2888.24,2570.78,2514.71,1838.90,1338.96,1129.25,744.68,593.60,502.86,405.62,379.45
湖北省,3649.87,3610.12,3512.71,3421.20,3452.66,3344.90,3560.78,3706.01,3026.55,2177.35,2150.84,1857.93,1693.12,1580.87,1398.98,1126.25,993.52,915.51,811.10,762.03
安徽省,3194.95,3046.83,3217.75,3334.70,3262.63,3138.60,2770.30,2746.30,2454.75,2119.95,1906.59,1778.52,1329.44,1198.96,997.36,720.14,670.14,549.46,421.22,388.58
浙江省,3048.69,3160.46,3760.90,4047.70,4171.00,3823.40,3370.84,3177.61,2839.75,2364.69,1748.75,1630.57,1206.63,803.45,881.57,527.03,404.83,361.58,291.52,265.80
福建省,2915.94,2725.74,2859.58,2820.70,3019.60,2782.80,2292.60,1589.14,1340.56,1342.26,1106.95,1047.56,847.79,729.67,541.19,461.98,368.14,337.77,283.79,253.43
四川省,2896.74,2491.16,2837.21,2702.50,2935.20,2785.20,2287.98,2237.59,1980.44,1834.42,1577.19,1592.47,1329.96,1172.20,1161.71,827.30,752.83,647.54,541.34,543.50
广西壮族自治区,2890.93,3270.73,3644.70,3545.40,3262.60,2790.70,2149.66,1809.22,1560.36,1179.79,941.45,984.91,715.31,519.88,394.41,228.84,188.55,140.37,102.63,108.27
江西省,2571.34,2474.35,2527.16,2577.60,2611.10,2463.80,2371.71,2250.32,1984.40,1648.72,1277.21,1351.45,1226.52,1023.33,757.70,664.14,531.64,386.19,282.90,228.60
湖南省,2374.69,2210.15,1998.69,1951.30,1989.30,1977.90,1851.61,1947.75,1816.13,1509.21,1293.01,1303.10,1146.89,965.96,798.84,562.01,487.71,397.17,299.05,288.79
内蒙古自治区,2259.46,2002.67,2016.81,1897.20,1763.20,1797.70,1661.81,1417.40,1341.39,1294.87,1047.34,912.32,823.97,747.77,604.62,560.36,484.58,388.39,378.91,365.80
上海市,1983.32,2056.04,2080.14,2202.70,2309.10,2322.80,2341.34,2483.55,2475.94,2181.37,2074.95,2185.41,2177.97,2108.63,1923.70,1779.78,1626.98,1677.02,1544.46,1486.08
云南省,1940.74,1607.38,1654.65,1695.40,1935.10,2053.90,1600.26,1351.98,1205.28,973.30,834.57,789.99,588.00,486.93,368.77,286.54,200.77,186.20,176.45,182.01
陕西省,1445.15,1377.61,1233.79,1655.60,1683.90,1565.20,1285.70,1034.73,997.34,888.27,500.98,559.82,490.76,337.80,205.44,132.98,82.05,64.77,57.70,61.75
新疆维吾尔自治区,1322.65,1299.64,1087.64,1070.50,1489.50,1395.30,1289.97,985.11,891.70,689.01,566.54,470.24,411.09,322.93,253.91,204.20,148.11,134.42,126.23,114.45
吉林省,1300.85,1028.01,961.39,1152.50,1412.20,1510.10,1229.50,1107.43,1063.56,870.74,718.32,632.00,567.83,479.36,436.14,369.05,286.70,193.81,141.70,135.75
重庆市,1187.66,917.25,1234.22,1411.40,1321.84,1269.60,1154.19,950.14,720.94,481.32,447.92,443.96,390.19,294.70,301.62,242.28,201.48,180.09,156.98,135.10
甘肃省,833.45,702.25,665.87,847.80,1108.10,1021.60,883.10,841.66,699.16,644.54,577.30,597.89,535.58,452.25,298.17,245.58,207.66,228.47,197.99,154.90
黑龙江省,561.39,410.60,332.75,403.80,483.50,631.00,610.80,597.83,567.11,506.04,426.26,407.53,298.54,236.69,201.39,141.43,97.20,77.55,76.35,68.00
贵州省,554.28,495.72,526.18,463.00,552.40,562.60,564.86,462.88,391.57,338.64,337.52,328.99,256.93,214.89,208.35,193.07,177.79,138.64,150.93,118.77
宁夏回族自治区,266.78,221.76,164.14,201.60,165.60,149.80,109.20,76.60,33.03,38.01,33.18,44.58,21.99,9.21,14.07,12.68,12.16,1.08,5.59,11.86
北京市,179.88,178.99,162.80,175.00,195.00,219.00,254.54,289.58,794.16,769.72,644.64,1031.02,1016.79,966.29,870.61,785.28,749.99,727.87,696.69,663.81
青海省,146.63,127.09,125.14,113.60,131.40,130.80,139.40,142.07,138.01,125.06,113.59,109.53,76.76,48.47,37.96,40.30,35.55,36.41,36.39,36.07
海南省,,1.09,36.29,34.70,29.70,27.00,20.90,23.20,14.54,10.68,9.25,11.55,14.15,14.86,13.80,10.82,8.14,7.87,8.00,4.24
西藏自治区,,0.11,1.83,2.50,1.10,,,,,,,,,,,,,,,
数据来源：国家统计局
