name,type,value,date
安徽省,,3158,2000年
安徽省,,3177,2001年
安徽省,,3178,2002年
安徽省,,2987,2003年
安徽省,,3406,2004年
安徽省,,3486,2005年
安徽省,,4000,2006年
安徽省,,4242,2007年
安徽省,,4662,2008年
安徽省,,5131,2009年
安徽省,,5552,2010年
安徽省,,5980,2011年
安徽省,,6385,2012年
安徽省,,7210,2013年
安徽省,,7972,2014年
安徽省,,8553,2015年
安徽省,,10370,2016年
安徽省,,11487,2017年
安徽省,,12337,2018年
北京市,,4601,2000年
北京市,,4764,2001年
北京市,,5044,2002年
北京市,,4360,2003年
北京市,,5437,2004年
北京市,,5779,2005年
北京市,,6269,2006年
北京市,,6915,2007年
北京市,,7646,2008年
北京市,,8161,2009年
北京市,,8915,2010年
北京市,,9800,2011年
北京市,,10398,2012年
北京市,,11680,2013年
北京市,,12709,2014年
北京市,,12918,2015年
北京市,,13479,2016年
北京市,,13931,2017年
北京市,,14357,2018年
福建省,,1560,2000年
福建省,,1509,2001年
福建省,,1620,2002年
福建省,,1576,2003年
福建省,,1754,2004年
福建省,,1684,2005年
福建省,,2022,2006年
福建省,,2261,2007年
福建省,,2066,2008年
福建省,,2083,2009年
福建省,,3640,2010年
福建省,,4695,2011年
福建省,,5295,2012年
福建省,,6501,2013年
福建省,,8345,2014年
福建省,,9256,2015年
福建省,,10496,2016年
福建省,,11624,2017年
福建省,,12096,2018年
甘肃省,,1088,2000年
甘肃省,,1129,2001年
甘肃省,,1085,2002年
甘肃省,,989,2003年
甘肃省,,1194,2004年
甘肃省,,1316,2005年
甘肃省,,1519,2006年
甘肃省,,1727,2007年
甘肃省,,1911,2008年
甘肃省,,2121,2009年
甘肃省,,2273,2010年
甘肃省,,2451,2011年
甘肃省,,2383,2012年
甘肃省,,2522,2013年
甘肃省,,2672,2014年
甘肃省,,3123,2015年
甘肃省,,3604,2016年
甘肃省,,4467,2017年
甘肃省,,5473,2018年
广东省,,7090,2000年
广东省,,7213,2001年
广东省,,7434,2002年
广东省,,7237,2003年
广东省,,8459,2004年
广东省,,8900,2005年
广东省,,9356,2006年
广东省,,10256,2007年
广东省,,10613,2008年
广东省,,10361,2009年
广东省,,11674,2010年
广东省,,14441,2011年
广东省,,15031,2012年
广东省,,17658,2013年
广东省,,20942,2014年
广东省,,23149,2015年
广东省,,25603,2016年
广东省,,28766,2017年
广东省,,34121,2018年
广西壮族自治区,,2122,2000年
广西壮族自治区,,1919,2001年
广西壮族自治区,,1801,2002年
广西壮族自治区,,1623,2003年
广西壮族自治区,,1639,2004年
广西壮族自治区,,1773,2005年
广西壮族自治区,,2073,2006年
广西壮族自治区,,2329,2007年
广西壮族自治区,,2623,2008年
广西壮族自治区,,2886,2009年
广西壮族自治区,,3148,2010年
广西壮族自治区,,3383,2011年
广西壮族自治区,,3310,2012年
广西壮族自治区,,3275,2013年
广西壮族自治区,,4770,2014年
广西壮族自治区,,7046,2015年
广西壮族自治区,,8388,2016年
广西壮族自治区,,9838,2017年
广西壮族自治区,,11100,2018年
贵州省,,2251,2000年
贵州省,,2017,2001年
贵州省,,1947,2002年
贵州省,,1796,2003年
贵州省,,1855,2004年
贵州省,,2191,2005年
贵州省,,2536,2006年
贵州省,,2979,2007年
贵州省,,3199,2008年
贵州省,,3204,2009年
贵州省,,3437,2010年
贵州省,,3939,2011年
贵州省,,3902,2012年
贵州省,,4322,2013年
贵州省,,4409,2014年
贵州省,,4901,2015年
贵州省,,5169,2016年
贵州省,,5796,2017年
贵州省,,6761,2018年
海南省,,14,2000年
海南省,,12,2001年
海南省,,13,2002年
海南省,,13,2003年
海南省,,16,2004年
海南省,,24,2005年
海南省,,23,2006年
海南省,,46,2007年
海南省,,65,2008年
海南省,,68,2009年
海南省,,84,2010年
海南省,,1074,2011年
海南省,,1162,2012年
海南省,,1389,2013年
海南省,,1543,2014年
海南省,,1651,2015年
海南省,,2292,2016年
海南省,,2674,2017年
海南省,,2958,2018年
河北省,,5268,2000年
河北省,,5224,2001年
河北省,,5101,2002年
河北省,,4442,2003年
河北省,,5270,2004年
河北省,,5492,2005年
河北省,,6024,2006年
河北省,,6238,2007年
河北省,,6816,2008年
河北省,,7194,2009年
河北省,,7558,2010年
河北省,,7601,2011年
河北省,,7846,2012年
河北省,,8762,2013年
河北省,,9571,2014年
河北省,,9706,2015年
河北省,,10771,2016年
河北省,,11527,2017年
河北省,,12211,2018年
河南省,,4838,2000年
河南省,,5092,2001年
河南省,,5206,2002年
河南省,,4864,2003年
河南省,,5695,2004年
河南省,,5879,2005年
河南省,,6465,2006年
河南省,,6622,2007年
河南省,,7476,2008年
河南省,,7718,2009年
河南省,,8338,2010年
河南省,,8804,2011年
河南省,,9213,2012年
河南省,,10532,2013年
河南省,,11647,2014年
河南省,,12200,2015年
河南省,,13825,2016年
河南省,,15252,2017年
河南省,,16383,2018年
黑龙江省,,9897,2000年
黑龙江省,,9658,2001年
黑龙江省,,9312,2002年
黑龙江省,,8319,2003年
黑龙江省,,8860,2004年
黑龙江省,,8359,2005年
黑龙江省,,8924,2006年
