name,type,value,date
北京市,,6.35,1988年
北京市,,6.35,1989年
广西壮族自治区,,123.54,1989年
北京市,,6.35,1990年
广西壮族自治区,,123.54,1990年
陕西省,,297.41,1990年
北京市,,6.35,1991年
广东省,,89.4,1991年
广西壮族自治区,,123.54,1991年
陕西省,,297.41,1991年
北京市,,6.35,1992年
广东省,,89.4,1992年
广西壮族自治区,,123.54,1992年
陕西省,,297.41,1992年
甘肃省,,579.56,1992年
北京市,,6.35,1993年
广东省,,89.4,1993年
广西壮族自治区,,123.54,1993年
陕西省,,297.41,1993年
甘肃省,,579.56,1993年
北京市,,6.35,1994年
广东省,,89.4,1994年
广西壮族自治区,,123.54,1994年
贵州省,,238.64,1994年
陕西省,,297.41,1994年
甘肃省,,579.56,1994年
北京市,,6.35,1995年
浙江省,,16.5,1995年
广东省,,89.4,1995年
广西壮族自治区,,123.54,1995年
贵州省,,238.64,1995年
陕西省,,297.41,1995年
甘肃省,,579.56,1995年
北京市,,6.35,1996年
浙江省,,16.5,1996年
广东省,,89.4,1996年
广西壮族自治区,,123.54,1996年
福建省,,183.68,1996年
贵州省,,238.64,1996年
陕西省,,297.41,1996年
甘肃省,,579.56,1996年
北京市,,6.35,1997年
浙江省,,16.5,1997年
广东省,,89.4,1997年
广西壮族自治区,,123.54,1997年
福建省,,183.68,1997年
贵州省,,238.64,1997年
陕西省,,297.41,1997年
甘肃省,,579.56,1997年
北京市,,6.35,1998年
浙江省,,16.5,1998年
广东省,,89.4,1998年
广西壮族自治区,,123.54,1998年
福建省,,183.68,1998年
贵州省,,238.64,1998年
陕西省,,297.41,1998年
甘肃省,,579.56,1998年
北京市,,6.35,1999年
浙江省,,16.5,1999年
海南省,,25.21,1999年
广东省,,89.4,1999年
广西壮族自治区,,123.54,1999年
福建省,,183.68,1999年
贵州省,,238.64,1999年
陕西省,,297.41,1999年
甘肃省,,579.56,1999年
北京市,,6.35,2000年
浙江省,,16.5,2000年
海南省,,25.21,2000年
广东省,,89.4,2000年
广西壮族自治区,,123.54,2000年
西藏自治区,,141.92,2000年
福建省,,183.68,2000年
贵州省,,238.64,2000年
陕西省,,297.41,2000年
甘肃省,,579.56,2000年
北京市,,6.35,2001年
浙江省,,16.5,2001年
海南省,,25.21,2001年
广东省,,89.4,2001年
