name,type,value,date
杨紫,,71242,2019-11-01
杨紫,,122036,2019-11-02
杨紫,,182924,2019-11-03
杨紫,,102925,2019-11-04
杨紫,,154823,2019-11-05
杨紫,,186200,2019-11-06
杨紫,,159109,2019-11-07
杨紫,,159823,2019-11-08
杨紫,,181490,2019-11-09
杨紫,,157729,2019-11-10
杨紫,,186435,2019-11-11
杨紫,,175732,2019-11-12
杨紫,,161523,2019-11-13
杨紫,,181175,2019-11-14
杨紫,,214514,2019-11-15
杨紫,,191224,2019-11-16
杨紫,,189146,2019-11-17
杨紫,,167763,2019-11-18
杨紫,,166206,2019-11-19
杨紫,,127223,2019-11-20
杨紫,,124114,2019-11-21
杨紫,,118206,2019-11-22
杨紫,,112473,2019-11-23
杨紫,,123420,2019-11-24
杨紫,,111927,2019-11-25
杨紫,,113369,2019-11-26
杨紫,,107565,2019-11-27
杨紫,,107656,2019-11-28
杨紫,,117463,2019-11-29
杨紫,,118467,2019-11-30
高以翔,,3775,2019-11-01
高以翔,,2913,2019-11-02
高以翔,,2828,2019-11-03
高以翔,,2943,2019-11-04
高以翔,,3037,2019-11-05
高以翔,,2608,2019-11-06
高以翔,,2449,2019-11-07
高以翔,,2326,2019-11-08
高以翔,,2197,2019-11-09
高以翔,,2006,2019-11-10
高以翔,,1915,2019-11-11
高以翔,,2240,2019-11-12
高以翔,,2195,2019-11-13
高以翔,,2340,2019-11-14
高以翔,,2284,2019-11-15
高以翔,,2225,2019-11-16
高以翔,,2440,2019-11-17
高以翔,,2478,2019-11-18
高以翔,,3041,2019-11-19
高以翔,,3726,2019-11-20
高以翔,,3244,2019-11-21
高以翔,,2628,2019-11-22
高以翔,,3526,2019-11-23
高以翔,,2783,2019-11-24
高以翔,,2454,2019-11-25
高以翔,,2307,2019-11-26
高以翔,,7723105,2019-11-27
高以翔,,1643533,2019-11-28
高以翔,,792915,2019-11-29
高以翔,,545487,2019-11-30
周杰伦,,19583,2019-11-01
周杰伦,,21845,2019-11-02
周杰伦,,22732,2019-11-03
周杰伦,,23144,2019-11-04
周杰伦,,17536,2019-11-05
周杰伦,,16299,2019-11-06
周杰伦,,17250,2019-11-07
周杰伦,,20622,2019-11-08
周杰伦,,22118,2019-11-09
周杰伦,,21609,2019-11-10
周杰伦,,16133,2019-11-11
周杰伦,,17232,2019-11-12
周杰伦,,18232,2019-11-13
周杰伦,,18192,2019-11-14
周杰伦,,23444,2019-11-15
周杰伦,,24498,2019-11-16
周杰伦,,24239,2019-11-17
周杰伦,,22013,2019-11-18
周杰伦,,23731,2019-11-19
周杰伦,,20233,2019-11-20
周杰伦,,19927,2019-11-21
周杰伦,,18102,2019-11-22
周杰伦,,21743,2019-11-23
周杰伦,,22669,2019-11-24
周杰伦,,19282,2019-11-25
周杰伦,,18006,2019-11-26
周杰伦,,18465,2019-11-27
周杰伦,,17701,2019-11-28
周杰伦,,18040,2019-11-29
周杰伦,,20683,2019-11-30
蔡徐坤,,21118,2019-11-01
蔡徐坤,,24393,2019-11-02
蔡徐坤,,21771,2019-11-03
蔡徐坤,,16610,2019-11-04
蔡徐坤,,15987,2019-11-05
蔡徐坤,,15515,2019-11-06
蔡徐坤,,15509,2019-11-07
蔡徐坤,,16766,2019-11-08
蔡徐坤,,22501,2019-11-09
蔡徐坤,,23877,2019-11-10
蔡徐坤,,16416,2019-11-11
蔡徐坤,,26194,2019-11-12
蔡徐坤,,20642,2019-11-13
蔡徐坤,,18181,2019-11-14
蔡徐坤,,23146,2019-11-15
蔡徐坤,,23937,2019-11-16
蔡徐坤,,21997,2019-11-17
蔡徐坤,,16680,2019-11-18
蔡徐坤,,16303,2019-11-19
蔡徐坤,,15982,2019-11-20
蔡徐坤,,32658,2019-11-21
蔡徐坤,,18365,2019-11-22
蔡徐坤,,23309,2019-11-23
蔡徐坤,,21285,2019-11-24
蔡徐坤,,15955,2019-11-25
蔡徐坤,,15933,2019-11-26
蔡徐坤,,16754,2019-11-27
蔡徐坤,,15321,2019-11-28
蔡徐坤,,16217,2019-11-29
蔡徐坤,,20568,2019-11-30
贾乃亮,,111480,2019-11-01
贾乃亮,,65661,2019-11-02
贾乃亮,,43507,2019-11-03
贾乃亮,,31080,2019-11-04
贾乃亮,,23382,2019-11-05
贾乃亮,,18325,2019-11-06
贾乃亮,,18214,2019-11-07
贾乃亮,,13991,2019-11-08
贾乃亮,,14577,2019-11-09
贾乃亮,,12020,2019-11-10
贾乃亮,,7850,2019-11-11
贾乃亮,,9126,2019-11-12
贾乃亮,,10247,2019-11-13
贾乃亮,,85031,2019-11-14
贾乃亮,,191540,2019-11-15
贾乃亮,,71234,2019-11-16
贾乃亮,,42742,2019-11-17
贾乃亮,,26884,2019-11-18
贾乃亮,,23180,2019-11-19
贾乃亮,,19248,2019-11-20
贾乃亮,,17739,2019-11-21
贾乃亮,,14370,2019-11-22
贾乃亮,,13181,2019-11-23
贾乃亮,,13493,2019-11-24
贾乃亮,,12114,2019-11-25
贾乃亮,,9759,2019-11-26
贾乃亮,,9689,2019-11-27
贾乃亮,,8518,2019-11-28
贾乃亮,,8757,2019-11-29
贾乃亮,,9199,2019-11-30
杨幂,,30715,2019-11-01
杨幂,,34776,2019-11-02
杨幂,,34083,2019-11-03
杨幂,,87203,2019-11-04
杨幂,,43478,2019-11-05
杨幂,,39331,2019-11-06
杨幂,,72992,2019-11-07
杨幂,,35771,2019-11-08
杨幂,,38236,2019-11-09
杨幂,,37868,2019-11-10
杨幂,,28686,2019-11-11
杨幂,,34287,2019-11-12
杨幂,,32791,2019-11-13
杨幂,,33014,2019-11-14
杨幂,,35890,2019-11-15
杨幂,,37284,2019-11-16
杨幂,,36919,2019-11-17
杨幂,,34153,2019-11-18
杨幂,,30118,2019-11-19
杨幂,,27514,2019-11-20
杨幂,,29642,2019-11-21
杨幂,,29434,2019-11-22
杨幂,,41099,2019-11-23
杨幂,,49002,2019-11-24
杨幂,,38924,2019-11-25
杨幂,,33257,2019-11-26
杨幂,,33106,2019-11-27
杨幂,,31135,2019-11-28
杨幂,,33584,2019-11-29
杨幂,,37423,2019-11-30
王一博,,56009,2019-11-01
王一博,,73341,2019-11-02
王一博,,72464,2019-11-03
王一博,,57537,2019-11-04
王一博,,51349,2019-11-05
王一博,,48329,2019-11-06
王一博,,49382,2019-11-07
王一博,,56047,2019-11-08
王一博,,62891,2019-11-09
王一博,,66966,2019-11-10
王一博,,63914,2019-11-11
王一博,,62611,2019-11-12
王一博,,54168,2019-11-13
王一博,,49713,2019-11-14
