name,type,value,date
白羊座,,30126,2019-11-01
白羊座,,32514,2019-11-02
白羊座,,34295,2019-11-03
白羊座,,29527,2019-11-04
白羊座,,29797,2019-11-05
白羊座,,28306,2019-11-06
白羊座,,27212,2019-11-07
白羊座,,28771,2019-11-08
白羊座,,31703,2019-11-09
白羊座,,32057,2019-11-10
白羊座,,26600,2019-11-11
白羊座,,29587,2019-11-12
白羊座,,29684,2019-11-13
白羊座,,30200,2019-11-14
白羊座,,30275,2019-11-15
白羊座,,33792,2019-11-16
白羊座,,34942,2019-11-17
白羊座,,30509,2019-11-18
白羊座,,30695,2019-11-19
白羊座,,30334,2019-11-20
白羊座,,30778,2019-11-21
白羊座,,30471,2019-11-22
白羊座,,33914,2019-11-23
白羊座,,35602,2019-11-24
白羊座,,31282,2019-11-25
白羊座,,30587,2019-11-26
白羊座,,30525,2019-11-27
白羊座,,30812,2019-11-28
白羊座,,30795,2019-11-29
白羊座,,35066,2019-11-30
金牛座,,25404,2019-11-01
金牛座,,27570,2019-11-02
金牛座,,29934,2019-11-03
金牛座,,25072,2019-11-04
金牛座,,24681,2019-11-05
金牛座,,24856,2019-11-06
金牛座,,24935,2019-11-07
金牛座,,24823,2019-11-08
金牛座,,26312,2019-11-09
金牛座,,26808,2019-11-10
金牛座,,23156,2019-11-11
金牛座,,23574,2019-11-12
金牛座,,23951,2019-11-13
金牛座,,24250,2019-11-14
金牛座,,24403,2019-11-15
金牛座,,27435,2019-11-16
金牛座,,28354,2019-11-17
金牛座,,24263,2019-11-18
金牛座,,23260,2019-11-19
金牛座,,24447,2019-11-20
金牛座,,25308,2019-11-21
金牛座,,24663,2019-11-22
金牛座,,27641,2019-11-23
金牛座,,28862,2019-11-24
金牛座,,25454,2019-11-25
金牛座,,24871,2019-11-26
金牛座,,24997,2019-11-27
金牛座,,24950,2019-11-28
金牛座,,25257,2019-11-29
金牛座,,28347,2019-11-30
双子座,,33288,2019-11-01
双子座,,35948,2019-11-02
双子座,,37632,2019-11-03
双子座,,33020,2019-11-04
双子座,,32843,2019-11-05
双子座,,32648,2019-11-06
双子座,,31340,2019-11-07
双子座,,31178,2019-11-08
双子座,,34264,2019-11-09
双子座,,34997,2019-11-10
