数据库：分省年度数据
指标：西瓜产量(万吨)
时间：最近20年
地区,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,1999年
河南省,1364.32,1447.01,1402.18,1349.91,1285.42,1342.89,1328.94,1238.14,1299.82,1217.12,1166.91,1239.50,1259.30,1158.37,1017.94,803.18,1149.56,1037.34,842.69
山东省,810.34,886.79,910.39,889.84,865.80,831.15,836.77,819.61,833.98,837.97,889.40,904.58,1016.09,1130.81,1117.21,1279.86,1189.88,1115.63,913.42
江苏省,477.45,481.61,445.09,466.30,414.76,404.55,386.64,382.15,391.80,380.05,358.83,341.91,328.39,325.73,347.04,334.01,413.24,353.07,257.36
湖南省,327.46,316.83,314.49,309.19,293.04,289.14,275.87,267.79,263.96,262.96,260.81,273.90,267.45,243.39,233.75,264.56,252.02,268.00,172.04
广西壮族自治区,289.65,278.84,273.08,273.74,261.51,252.17,242.53,234.62,215.82,206.42,173.94,153.66,146.95,179.41,163.20,167.53,146.08,133.10,113.58
湖北省,284.03,268.95,255.11,258.11,270.03,270.19,267.62,264.50,278.75,265.48,253.70,265.47,280.91,261.19,259.29,322.28,348.34,386.85,332.40
安徽省,270.92,250.79,245.85,608.37,572.06,544.56,525.54,510.94,479.18,452.97,449.62,474.46,492.51,492.35,510.38,418.07,583.48,392.96,486.63
河北省,244.47,254.27,258.97,333.71,338.12,329.87,322.37,317.87,320.91,317.21,332.48,355.92,359.38,384.92,377.04,385.22,343.85,341.53,248.92
新疆维吾尔自治区,234.30,263.49,284.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,105.26,124.15,93.51,111.71,125.91,99.44,97.11
浙江省,207.63,216.62,215.41,216.02,214.41,237.21,238.12,264.31,273.26,281.46,291.77,0.00,283.80,255.50,266.00,247.20,212.45,229.44,118.96
江西省,186.77,184.08,179.74,180.55,175.45,166.66,160.30,158.03,151.60,149.47,157.37,140.69,140.69,169.44,163.24,172.62,181.23,178.32,127.27
陕西省,169.10,171.61,176.97,176.01,196.35,189.18,171.46,184.98,178.22,166.73,138.38,144.44,145.78,117.14,101.52,96.62,89.71,72.42,67.77
甘肃省,165.91,194.74,163.43,168.95,165.47,170.81,166.07,151.64,147.85,150.38,139.54,110.47,98.10,89.61,85.89,83.82,75.29,75.72,63.92
内蒙古自治区,146.36,159.63,157.73,103.16,118.94,94.12,131.09,138.24,139.89,84.59,106.27,89.68,133.66,88.65,67.78,66.67,76.17,75.31,84.25
宁夏回族自治区,138.86,140.93,147.33,132.65,134.26,129.62,126.77,127.37,130.80,120.76,117.95,100.24,79.16,33.28,39.88,43.73,39.90,35.06,22.14
辽宁省,125.96,130.39,122.68,131.06,128.42,131.07,116.68,103.53,104.72,92.99,96.07,90.15,75.81,57.75,61.42,66.55,63.10,59.46,34.16
四川省,107.13,100.94,97.02,97.46,95.81,94.91,95.99,97.25,94.90,94.75,94.46,90.98,95.04,93.01,90.96,100.50,101.69,81.40,58.09
黑龙江省,94.59,106.01,112.96,98.46,123.96,132.37,131.14,213.48,225.20,145.61,152.53,148.07,263.77,214.00,188.04,212.72,250.04,233.83,157.35
广东省,90.34,84.23,82.28,78.30,73.34,72.98,70.14,71.42,67.61,64.00,65.43,70.92,89.35,84.38,97.93,96.04,92.24,75.90,68.79
吉林省,88.10,50.92,51.11,45.24,55.20,59.80,57.21,68.33,66.31,96.18,112.56,88.63,106.32,112.78,95.01,123.24,118.40,111.50,87.25
贵州省,54.35,48.41,46.99,45.84,44.10,40.20,38.36,33.85,41.84,44.31,43.83,44.99,48.96,37.66,35.01,30.82,28.15,24.26,17.52
重庆市,54.18,53.20,51.20,46.56,42.69,40.80,38.53,38.58,33.78,30.06,28.52,25.53,23.62,23.71,22.05,21.02,21.40,13.95,20.97
海南省,47.95,47.86,44.01,51.01,48.59,49.69,62.43,67.27,62.08,60.76,56.25,56.17,51.35,44.37,36.90,37.94,34.85,36.28,26.31
云南省,43.75,47.42,52.46,63.29,51.22,48.86,59.26,60.28,48.22,31.36,39.32,42.62,31.52,25.84,24.72,22.38,30.32,26.09,18.60
山西省,43.02,38.95,40.10,40.25,58.30,58.63,49.60,40.39,48.71,50.67,53.90,41.32,72.70,57.78,61.87,82.66,98.98,69.20,60.63
福建省,35.19,38.95,38.47,41.66,42.88,44.63,45.69,47.99,49.04,55.28,55.79,59.18,62.42,65.81,65.55,63.88,60.55,56.28,51.16
天津市,18.91,18.45,18.94,20.33,21.97,17.67,20.07,21.96,22.04,28.80,28.17,26.65,33.06,32.60,31.92,42.17,37.82,40.29,19.08
上海市,17.77,15.69,15.26,21.59,32.89,28.71,30.48,37.03,46.07,47.65,52.28,56.01,54.94,50.86,59.18,60.98,50.58,51.92,20.23
北京市,13.24,15.66,15.26,18.68,22.93,26.80,30.97,35.49,32.12,32.81,32.24,36.94,37.07,33.80,36.15,41.35,40.23,42.82,27.64
青海省,1.37,1.30,1.29,0.79,1.04,1.46,2.11,2.97,2.15,1.83,1.90,1.90,1.00,1.05,1.16,0.91,0.78,0.46,0.28
西藏自治区,0.23,0.13,0.12,0.11,0.14,0.38,0.38,0.38,0.38,0.36,0.36,0.36,0.17,0.02,0.00,0.00,0.07,,
数据来源：国家统计局
