name,type,value,date
河南省,,842.69,2000年
山东省,,913.42,2000年
江苏省,,257.36,2000年
湖南省,,172.04,2000年
广西壮族自治区,,113.58,2000年
湖北省,,332.4,2000年
安徽省,,486.63,2000年
河北省,,248.92,2000年
新疆维吾尔自治区,,97.11,2000年
浙江省,,118.96,2000年
江西省,,127.27,2000年
陕西省,,67.77,2000年
甘肃省,,63.92,2000年
内蒙古自治区,,84.25,2000年
宁夏回族自治区,,22.14,2000年
河南省,,1037.34,2001年
山东省,,1115.63,2001年
江苏省,,353.07,2001年
湖南省,,268,2001年
广西壮族自治区,,133.1,2001年
湖北省,,386.85,2001年
安徽省,,392.96,2001年
河北省,,341.53,2001年
新疆维吾尔自治区,,99.44,2001年
浙江省,,229.44,2001年
江西省,,178.32,2001年
陕西省,,72.42,2001年
甘肃省,,75.72,2001年
内蒙古自治区,,75.31,2001年
宁夏回族自治区,,35.06,2001年
河南省,,1149.56,2002年
山东省,,1189.88,2002年
江苏省,,413.24,2002年
湖南省,,252.02,2002年
广西壮族自治区,,146.08,2002年
湖北省,,348.34,2002年
安徽省,,583.48,2002年
河北省,,343.85,2002年
新疆维吾尔自治区,,125.91,2002年
浙江省,,212.45,2002年
江西省,,181.23,2002年
陕西省,,89.71,2002年
甘肃省,,75.29,2002年
内蒙古自治区,,76.17,2002年
宁夏回族自治区,,39.9,2002年
河南省,,803.18,2003年
山东省,,1279.86,2003年
江苏省,,334.01,2003年
湖南省,,264.56,2003年
广西壮族自治区,,167.53,2003年
湖北省,,322.28,2003年
安徽省,,418.07,2003年
河北省,,385.22,2003年
新疆维吾尔自治区,,111.71,2003年
浙江省,,247.2,2003年
江西省,,172.62,2003年
陕西省,,96.62,2003年
甘肃省,,83.82,2003年
内蒙古自治区,,66.67,2003年
宁夏回族自治区,,43.73,2003年
河南省,,1017.94,2004年
山东省,,1117.21,2004年
江苏省,,347.04,2004年
湖南省,,233.75,2004年
广西壮族自治区,,163.2,2004年
湖北省,,259.29,2004年
安徽省,,510.38,2004年
河北省,,377.04,2004年
新疆维吾尔自治区,,93.51,2004年
浙江省,,266,2004年
江西省,,163.24,2004年
陕西省,,101.52,2004年
甘肃省,,85.89,2004年
内蒙古自治区,,67.78,2004年
宁夏回族自治区,,39.88,2004年
河南省,,1158.37,2005年
山东省,,1130.81,2005年
江苏省,,325.73,2005年
湖南省,,243.39,2005年
广西壮族自治区,,179.41,2005年
湖北省,,261.19,2005年
安徽省,,492.35,2005年
河北省,,384.92,2005年
新疆维吾尔自治区,,124.15,2005年
浙江省,,255.5,2005年
江西省,,169.44,2005年
陕西省,,117.14,2005年
甘肃省,,89.61,2005年
内蒙古自治区,,88.65,2005年
宁夏回族自治区,,33.28,2005年
河南省,,1259.3,2006年
山东省,,1016.09,2006年
江苏省,,328.39,2006年
湖南省,,267.45,2006年
