name,type,value,date
巴基斯坦,巴基斯坦,12097337,1970年
巴基斯坦,巴基斯坦,11336393,1971年
巴基斯坦,巴基斯坦,11800886,1972年
巴基斯坦,巴基斯坦,12730806,1973年
巴基斯坦,巴基斯坦,12515833,1974年
巴基斯坦,巴基斯坦,13127967,1975年
巴基斯坦,巴基斯坦,14262949,1976年
巴基斯坦,巴基斯坦,15115120,1977年
巴基斯坦,巴基斯坦,14764206,1978年
巴基斯坦,巴基斯坦,16304600,1979年
巴基斯坦,巴基斯坦,17073600,1980年
巴基斯坦,巴基斯坦,18222050,1981年
巴基斯坦,巴基斯坦,18075950,1982年
巴基斯坦,巴基斯坦,19100750,1983年
巴基斯坦,巴基斯坦,17535900,1984年
巴基斯坦,巴基斯坦,17699400,1985年
巴基斯坦,巴基斯坦,20866100,1986年
巴基斯坦,巴基斯坦,18428100,1987年
巴基斯坦,巴基斯坦,19240300,1988年
巴基斯坦,巴基斯坦,21017550,1989年
巴基斯坦,巴基斯坦,20957200,1990年
巴基斯坦,巴基斯坦,21137950,1991年
巴基斯坦,巴基斯坦,22123350,1992年
巴基斯坦,巴基斯坦,23869650,1993年
巴基斯坦,巴基斯坦,22338150,1994年
巴基斯坦,巴基斯坦,25036450,1995年
巴基斯坦,巴基斯坦,25394800,1996年
巴基斯坦,巴基斯坦,25259600,1997年
巴基斯坦,巴基斯坦,27985200,1998年
巴基斯坦,巴基斯坦,27756417,1999年
巴基斯坦,巴基斯坦,30460700,2000年
巴基斯坦,巴基斯坦,27048000,2001年
巴基斯坦,巴基斯坦,27172850,2002年
巴基斯坦,巴基斯坦,28963500,2003年
巴基斯坦,巴基斯坦,30311300,2004年
巴基斯坦,巴基斯坦,33507800,2005年
巴基斯坦,巴基斯坦,33027900,2006年
巴基斯坦,巴基斯坦,35812200,2007年
巴基斯坦,巴基斯坦,35528100,2008年
巴基斯坦,巴基斯坦,38147050,2009年
巴基斯坦,巴基斯坦,34811258,2010年
巴基斯坦,巴基斯坦,39304580,2011年
巴基斯坦,巴基斯坦,36496350,2012年
巴基斯坦,巴基斯坦,40109711,2013年
巴基斯坦,巴基斯坦,41895811,2014年
巴基斯坦,巴基斯坦,41081682,2015年
巴基斯坦,巴基斯坦,42554500,2016年
巴基斯坦,巴基斯坦,44097200,2017年
德国,DEU,23753864,1970年
德国,DEU,28685065,1971年
德国,DEU,28780064,1972年
德国,DEU,29680306,1973年
德国,DEU,32357236,1974年
德国,DEU,30164053,1975年
德国,DEU,27323692,1976年
德国,DEU,30306879,1977年
德国,DEU,33762346,1978年
德国,DEU,31729504,1979年
德国,DEU,32712941,1980年
德国,DEU,31688884,1981年
德国,DEU,34645710,1982年
德国,DEU,33077787,1983年
德国,DEU,37838589,1984年
德国,DEU,37555294,1985年
德国,DEU,37257105,1986年
德国,DEU,35061112,1987年
德国,DEU,36931897,1988年
德国,DEU,36881160,1989年
德国,DEU,37579589,1990年
德国,DEU,39267858,1991年
德国,DEU,34758462,1992年
德国,DEU,35547425,1993年
德国,DEU,36328713,1994年
德国,DEU,39863871,1995年
德国,DEU,42135618,1996年
德国,DEU,45485681,1997年
德国,DEU,44574851,1998年
德国,DEU,44452029,1999年
德国,DEU,45271234,2000年
德国,DEU,49709326,2001年
德国,DEU,43391325,2002年
德国,DEU,39426039,2003年
德国,DEU,51097000,2004年
德国,DEU,45980200,2005年
德国,DEU,43474800,2006年
德国,DEU,40632149,2007年
德国,DEU,50104858,2008年
德国,DEU,49750199,2009年
德国,DEU,44038739,2010年
德国,DEU,41920400,2011年
德国,DEU,45396500,2012年
德国,DEU,47757100,2013年
德国,DEU,52010400,2014年
德国,DEU,48866800,2015年
德国,DEU,45364400,2016年
德国,DEU,45556800,2017年
越南,VNM,10430600,1970年
越南,VNM,10684000,1971年
越南,VNM,11009900,1972年
越南,VNM,11425500,1973年
越南,VNM,11338290,1974年
越南,VNM,10574200,1975年
越南,VNM,12214000,1976年
越南,VNM,11000800,1977年
越南,VNM,10223400,1978年
越南,VNM,11734100,1979年
越南,VNM,12076200,1980年
越南,VNM,12844800,1981年
越南,VNM,14828300,1982年
越南,VNM,15211300,1983年
越南,VNM,16037800,1984年
越南,VNM,16461900,1985年
越南,VNM,16572700,1986年
越南,VNM,15663600,1987年
越南,VNM,17814850,1988年
越南,VNM,19834204,1989年
越南,VNM,19896104,1990年
越南,VNM,20293904,1991年
越南,VNM,22338204,1992年
越南,VNM,23718800,1993年
越南,VNM,24672200,1994年
越南,VNM,26140900,1995年
越南,VNM,27933400,1996年
越南,VNM,29174500,1997年
越南,VNM,31020143,1998年
越南,VNM,33148700,1999年
越南,VNM,34537106,2000年
越南,VNM,34271811,2001年
越南,VNM,36960263,2002年
越南,VNM,37706900,2003年
越南,VNM,39581000,2004年
越南,VNM,39621600,2005年
越南,VNM,39705591,2006年
越南,VNM,40247514,2007年
越南,VNM,43304799,2008年
越南,VNM,43323523,2009年
越南,VNM,44613831,2010年
越南,VNM,47235598,2011年
越南,VNM,48712658,2012年
越南,VNM,49231389,2013年
越南,VNM,50178378,2014年
越南,VNM,50379410,2015年
越南,VNM,48359870,2016年
越南,VNM,47877218,2017年
澳大利亚,AUS,12904533,1970年
澳大利亚,AUS,14840092,1971年
澳大利亚,AUS,10781927,1972年
澳大利亚,AUS,16997800,1973年
澳大利亚,AUS,16367969,1974年
澳大利亚,AUS,17767379,1975年
澳大利亚,AUS,17448064,1976年
澳大利亚,AUS,14417267,1977年
澳大利亚,AUS,25274482,1978年
澳大利亚,AUS,23343860,1979年
澳大利亚,AUS,16402312,1980年
澳大利亚,AUS,23703676,1981年
澳大利亚,AUS,14186565,1982年
澳大利亚,AUS,31068963,1983年
澳大利亚,AUS,28602111,1984年
澳大利亚,AUS,24942194,1985年
澳大利亚,AUS,24001774,1986年
澳大利亚,AUS,19899619,1987年
澳大利亚,AUS,21891006,1988年
澳大利亚,AUS,22375364,1989年
澳大利亚,AUS,23045332,1990年
澳大利亚,AUS,18747862,1991年
澳大利亚,AUS,25261706,1992年
澳大利亚,AUS,26805757,1993年
澳大利亚,AUS,15410973,1994年
澳大利亚,AUS,27389413,1995年
澳大利亚,AUS,35645886,1996年
澳大利亚,AUS,31238927,1997年
澳大利亚,AUS,33339400,1998年
澳大利亚,AUS,35368800,1999年
澳大利亚,AUS,34446938,2000年
澳大利亚,AUS,34718061,2001年
澳大利亚,AUS,38590113,2002年
澳大利亚,AUS,17553202,2003年
澳大利亚,AUS,42384122,2004年
澳大利亚,AUS,34357112,2005年
澳大利亚,AUS,40504980,2006年
澳大利亚,AUS,17771911,2007年
澳大利亚,AUS,26866214,2008年
澳大利亚,AUS,34140448,2009年
澳大利亚,AUS,33464874,2010年
澳大利亚,AUS,39973082,2011年
澳大利亚,AUS,43362426,2012年
澳大利亚,AUS,35589236,2013年
澳大利亚,AUS,38420630,2014年
澳大利亚,AUS,37194875,2015年
澳大利亚,AUS,35228844,2016年
澳大利亚,AUS,50048804,2017年
孟加拉国,BGD,16905215,1970年
孟加拉国,BGD,15088878,1971年
孟加拉国,BGD,15323537,1972年
孟加拉国,BGD,18021512,1973年
孟加拉国,BGD,17105414,1974年
孟加拉国,BGD,19322564,1975年
孟加拉国,BGD,17908126,1976年
孟加拉国,BGD,19772481,1977年
孟加拉国,BGD,19984399,1978年
孟加拉国,BGD,19658591,1979年
孟加拉国,BGD,21698327,1980年
孟加拉国,BGD,21591389,1981年
孟加拉国,BGD,22339648,1982年
孟加拉国,BGD,22990185,1983年
孟加拉国,BGD,23256274,1984年
孟加拉国,BGD,24134965,1985年
孟加拉国,BGD,24266331,1986年
孟加拉国,BGD,24304321,1987年
孟加拉国,BGD,24449929,1988年
孟加拉国,BGD,27886213,1989年
孟加拉国,BGD,27746673,1990年
孟加拉国,BGD,28326730,1991年
孟加拉国,BGD,28516927,1992年
孟加拉国,BGD,28177410,1993年
孟加拉国,BGD,26325480,1994年
孟加拉国,BGD,27704115,1995年
孟加拉国,BGD,29620075,1996年
孟加拉国,BGD,29673515,1997年
孟加拉国,BGD,31577495,1998年
孟加拉国,BGD,36403000,1999年
孟加拉国,BGD,39503000,2000年
孟加拉国,BGD,38029335,2001年
孟加拉国,BGD,39341455,2002年
孟加拉国,BGD,40015280,2003年
孟加拉国,BGD,37759046,2004年
孟加拉国,BGD,41146756,2005年
孟加拉国,BGD,42044685,2006年
孟加拉国,BGD,44841300,2007年
孟加拉国,BGD,48946800,2008年
孟加拉国,BGD,49735853,2009年
孟加拉国,BGD,51862850,2010年
孟加拉国,BGD,52628364,2011年
孟加拉国,BGD,52801014,2012年
孟加拉国,BGD,54357477,2013年
孟加拉国,BGD,55241123,2014年
孟加拉国,BGD,55438379,2015年
孟加拉国,BGD,54262297,2016年
孟加拉国,BGD,53332244,2017年
加拿大,CAN,28560715,1970年
加拿大,CAN,38859750,1971年
加拿大,CAN,35466355,1972年
加拿大,CAN,36600202,1973年
加拿大,CAN,30864826,1974年
加拿大,CAN,37107574,1975年
加拿大,CAN,44710278,1976年
加拿大,CAN,42239008,1977年
加拿大,CAN,41895782,1978年
加拿大,CAN,35955000,1979年
加拿大,CAN,41364700,1980年
加拿大,CAN,50862200,1981年
加拿大,CAN,53333208,1982年
加拿大,CAN,47447208,1983年
加拿大,CAN,42793504,1984年
加拿大,CAN,48239300,1985年
加拿大,CAN,56964700,1986年
加拿大,CAN,51635200,1987年
加拿大,CAN,35494200,1988年
加拿大,CAN,48089308,1989年
加拿大,CAN,56806235,1990年
加拿大,CAN,53852300,1991年
加拿大,CAN,49642650,1992年
加拿大,CAN,51483100,1993年
加拿大,CAN,46618500,1994年
加拿大,CAN,49344200,1995年
加拿大,CAN,58494100,1996年
加拿大,CAN,49606900,1997年
加拿大,CAN,50984500,1998年
加拿大,CAN,54112600,1999年
加拿大,CAN,51090400,2000年
加拿大,CAN,43391400,2001年
加拿大,CAN,36046900,2002年
加拿大,CAN,49197200,2003年
加拿大,CAN,50778200,2004年
加拿大,CAN,50962400,2005年
