name,type,value,date
智利,CHL,1253131.00 ,2000年
智利,CHL,1080545.00 ,2001年
智利,CHL,1167880.00 ,2002年
智利,CHL,1250126.00 ,2003年
智利,CHL,1658672.00 ,2004年
智利,CHL,1804236.00 ,2005年
智利,CHL,2126811.00 ,2006年
智利,CHL,2725218.00 ,2007年
智利,CHL,3164137.00 ,2008年
智利,CHL,2795990.20 ,2009年
智利,CHL,3039571.00 ,2010年
智利,CHL,3264702.00 ,2011年
智利,CHL,3388960.00 ,2012年
智利,CHL,3707880.00 ,2013年
智利,CHL,3785938.00 ,2014年
智利,CHL,3738600.00 ,2015年
智利,CHL,3920200.00 ,2016年
智利,CHL,4189669.00 ,2017年
意大利,ITA,6918588.00 ,2000年
意大利,ITA,7073459.00 ,2001年
意大利,ITA,7950210.00 ,2002年
意大利,ITA,8473220.00 ,2003年
意大利,ITA,9468316.00 ,2004年
意大利,ITA,9856802.00 ,2005年
意大利,ITA,9731150.00 ,2006年
意大利,ITA,10610893.00 ,2007年
意大利,ITA,10530214.00 ,2008年
意大利,ITA,9532462.00 ,2009年
意大利,ITA,8680629.00 ,2010年
意大利,ITA,9344927.00 ,2011年
意大利,ITA,9087950.00 ,2012年
意大利,ITA,10170011.00 ,2013年
意大利,ITA,10247049.00 ,2014年
意大利,ITA,10018365.00 ,2015年
意大利,ITA,10264840.00 ,2016年
意大利,ITA,10698030.00 ,2017年
阿联酋,ARE,5055801.00 ,2000年
阿联酋,ARE,5081964.00 ,2001年
阿联酋,ARE,5872240.00 ,2002年
阿联酋,ARE,6955202.00 ,2003年
阿联酋,ARE,8661636.00 ,2004年
阿联酋,ARE,9851709.00 ,2005年
阿联酋,ARE,10967048.00 ,2006年
阿联酋,ARE,13182412.00 ,2007年
阿联酋,ARE,14756127.00 ,2008年
阿联酋,ARE,14425039.00 ,2009年
阿联酋,ARE,15177436.00 ,2010年
阿联酋,ARE,16866912.00 ,2011年
阿联酋,ARE,18120112.00 ,2012年
阿联酋,ARE,18693112.00 ,2013年
阿联酋,ARE,20223612.00 ,2014年
阿联酋,ARE,21233200.00 ,2015年
阿联酋,ARE,20613200.00 ,2016年
阿联酋,ARE,21280900.00 ,2017年
德国,DEU,7695688.00 ,2000年
德国,DEU,8426520.00 ,2001年
德国,DEU,9252670.00 ,2002年
德国,DEU,10943452.00 ,2003年
德国,DEU,12479419.00 ,2004年
德国,DEU,13598987.00 ,2005年
德国,DEU,15009691.00 ,2006年
德国,DEU,16644222.00 ,2007年
德国,DEU,17183042.12 ,2008年
德国,DEU,13296300.21 ,2009年
德国,DEU,14715340.00 ,2010年
德国,DEU,18744981.00 ,2011年
德国,DEU,18931700.00 ,2012年
德国,DEU,19261033.33 ,2013年
德国,DEU,20128033.33 ,2014年
德国,DEU,19139033.33 ,2015年
德国,DEU,19364033.33 ,2016年
德国,DEU,19447600.00 ,2017年
加拿大,CAN,2927942.00 ,2000年
加拿大,CAN,2890388.00 ,2001年
加拿大,CAN,3307310.00 ,2002年
加拿大,CAN,3631072.00 ,2003年
加拿大,CAN,3926147.00 ,2004年
加拿大,CAN,4163424.00 ,2005年
加拿大,CAN,4330163.00 ,2006年
加拿大,CAN,4413927.00 ,2007年
加拿大,CAN,4720663.00 ,2008年
加拿大,CAN,4191568.06 ,2009年
加拿大,CAN,4780790.00 ,2010年
加拿大,CAN,4845509.00 ,2011年
加拿大,CAN,5224043.00 ,2012年
加拿大,CAN,5249457.00 ,2013年
加拿大,CAN,5426175.00 ,2014年
加拿大,CAN,5793852.00 ,2015年
加拿大,CAN,5838484.00 ,2016年
加拿大,CAN,6298590.00 ,2017年
英国,GBR,6434734.00 ,2000年
英国,GBR,7058054.00 ,2001年
英国,GBR,7059610.00 ,2002年
英国,GBR,6700066.00 ,2003年
英国,GBR,8326913.00 ,2004年
英国,GBR,8249587.00 ,2005年
英国,GBR,8434458.00 ,2006年
英国,GBR,8625102.00 ,2007年
英国,GBR,8236522.89 ,2008年
英国,GBR,7671299.96 ,2009年
英国,GBR,7861006.00 ,2010年
英国,GBR,8403686.00 ,2011年
英国,GBR,7833521.00 ,2012年
英国,GBR,8159718.00 ,2013年
英国,GBR,9360203.00 ,2014年
英国,GBR,9596908.00 ,2015年
英国,GBR,9765908.00 ,2016年
英国,GBR,10530328.00 ,2017年
韩国,KOR,9030174.00 ,2000年
韩国,KOR,9287221.00 ,2001年
韩国,KOR,11719500.00 ,2002年
韩国,KOR,13049534.00 ,2003年
韩国,KOR,14363194.00 ,2004年
韩国,KOR,15113275.00 ,2005年
韩国,KOR,15513935.00 ,2006年
韩国,KOR,17086133.00 ,2007年
韩国,KOR,17417723.00 ,2008年
韩国,KOR,15699663.28 ,2009年
韩国,KOR,19456000.00 ,2010年
韩国,KOR,21543000.00 ,2011年
韩国,KOR,22617900.00 ,2012年
韩国,KOR,23711000.00 ,2013年
韩国,KOR,24818667.47 ,2014年
韩国,KOR,25354352.19 ,2015年
韩国,KOR,26152976.63 ,2016年
韩国,KOR,27427000.00 ,2017年
中国香港,HKG,,2000年
中国香港,HKG,,2001年
中国香港,HKG,,2002年
中国香港,HKG,,2003年
中国香港,HKG,,2004年
