name,type,value,date
印度,IND,341999,1996年
印度,IND,357013,1997年
印度,IND,379897,1998年
印度,IND,403884,1999年
印度,IND,430666,2000年
印度,IND,457022,2001年
印度,IND,493489,2002年
印度,IND,515044,2003年
印度,IND,541208,2004年
印度,IND,575702,2005年
印度,IND,615634,2006年
印度,IND,694764,2007年
印度,IND,769956,2008年
印度,IND,838032,2009年
印度,IND,903465,2010年
印度,IND,978508,2011年
印度,IND,1046522,2012年
印度,IND,1046522,2013年
印度,IND,1140412,2014年
印度,IND,1147190,2015年
印度,IND,1143039,2016年
印度,IND,1149835,2017年
波兰,POL,19807,1996年
波兰,POL,19928,1997年
波兰,POL,20553,1998年
波兰,POL,21518,1999年
波兰,POL,19706,2000年
波兰,POL,18208,2001年
波兰,POL,17310,2002年
波兰,POL,19643,2003年
波兰,POL,18626,2004年
波兰,POL,16742,2005年
波兰,POL,16971,2006年
波兰,POL,17081,2007年
波兰,POL,17958,2008年
波兰,POL,16454,2009年
波兰,POL,15715,2010年
波兰,POL,15724,2011年
波兰,POL,14720,2012年
波兰,POL,12941,2013年
波兰,POL,11865,2014年
波兰,POL,10117,2015年
波兰,POL,9466.3,2016年
波兰,POL,9467.3,2017年
葡萄牙,PRT,16622,1996年
葡萄牙,PRT,17657,1997年
葡萄牙,PRT,18549.1,1998年
葡萄牙,PRT,19303,1999年
葡萄牙,PRT,19787,2000年
葡萄牙,PRT,20368,2001年
葡萄牙,PRT,20733,2002年
葡萄牙,PRT,20608,2003年
葡萄牙,PRT,20224,2004年
葡萄牙,PRT,21046,2005年
葡萄牙,PRT,21241,2006年
葡萄牙,PRT,21243.69,2007年
葡萄牙,PRT,23343.81,2008年
葡萄牙,PRT,22958.6,2009年
葡萄牙,PRT,22304,2010年
葡萄牙,PRT,22680.056,2011年
葡萄牙,PRT,21925.1,2012年
葡萄牙,PRT,23352.97,2013年
葡萄牙,PRT,24557.82,2014年
葡萄牙,PRT,25660.34,2015年
葡萄牙,PRT,26169.09,2016年
葡萄牙,PRT,26990.43,2017年
韩国,KOR,29580,1996年
韩国,KOR,29662,1997年
韩国,KOR,28096,1998年
韩国,KOR,28356,1999年
韩国,KOR,28097,2000年
韩国,KOR,29288,2001年
韩国,KOR,28787,2002年
韩国,KOR,28562,2003年
韩国,KOR,28641,2004年
韩国,KOR,31004,2005年
韩国,KOR,31596,2006年
韩国,KOR,31596,2007年
韩国,KOR,32026,2008年
韩国,KOR,31299,2009年
韩国,KOR,33012,2010年
韩国,KOR,21603,2011年
韩国,KOR,22112,2012年
韩国,KOR,22626,2013年
韩国,KOR,23071,2014年
韩国,KOR,23450,2015年
韩国,KOR,23747,2016年
韩国,KOR,21935,2017年
法国,FRA,60262,1996年
法国,FRA,62090,1997年
法国,FRA,64898,1998年
法国,FRA,66944,1999年
法国,FRA,70153,2000年
法国,FRA,71759,2001年
法国,FRA,74306,2002年
法国,FRA,72942,2003年
法国,FRA,75491,2004年
法国,FRA,76558.80614,2005年
法国,FRA,79482.67417,2006年
法国,FRA,83179.33366,2007年
法国,FRA,88284.31,2008年
法国,FRA,87667.13,2009年
法国,FRA,84859.53698,2010年
法国,FRA,86052,2011年
法国,FRA,85634,2012年
法国,FRA,84785,2013年
法国,FRA,83914,2014年
法国,FRA,84682,2015年
法国,FRA,84683,2016年
法国,FRA,84684,2017年
日本,JPN,251723,1996年
日本,JPN,247652,1997年
日本,JPN,242808,1998年
日本,JPN,240793,1999年
日本,JPN,240657,2000年
日本,JPN,241133,2001年
日本,JPN,239246,2002年
日本,JPN,241160,2003年
日本,JPN,242300,2004年
日本,JPN,245957,2005年
日本,JPN,249029,2006年
日本,JPN,255201,2007年
日本,JPN,253555,2008年
日本,JPN,301599,2009年
日本,JPN,244591,2010年
日本,JPN,184791,2011年
日本,JPN,253788,2012年
日本,JPN,260014,2013年
日本,JPN,255881,2014年
日本,JPN,265063.322,2015年
日本,JPN,204024.737,2016年
日本,JPN,197253.958,2017年
意大利,ITA,44782,1996年
意大利,ITA,43591,1997年
意大利,ITA,41392,1998年
意大利,ITA,43424,1999年
意大利,ITA,48240,2000年
意大利,ITA,47904,2001年
意大利,ITA,47177,2002年
意大利,ITA,46374,2003年
意大利,ITA,46757,2004年
意大利,ITA,47368.04784,2005年
意大利,ITA,48348.3,2006年
意大利,ITA,47217.9,2007年
意大利,ITA,46998,2008年
意大利,ITA,45590,2009年
意大利,ITA,43349.353,2010年
意大利,ITA,39368,2011年
意大利,ITA,37489,2012年
意大利,ITA,37752,2013年
意大利,ITA,38612,2014年
意大利,ITA,39290,2015年
意大利,ITA,39290,2016年
意大利,ITA,39016,2017年
德国,DEU,61537,1996年
德国,DEU,59628,1997年
德国,DEU,71837,1998年
德国,DEU,72853,1999年
德国,DEU,74021.24,2000年
德国,DEU,73900.2,2001年
德国,DEU,69861,2002年
德国,DEU,69610,2003年
德国,DEU,69997,2004年
德国,DEU,72497,2005年
德国,DEU,74738.2,2006年
德国,DEU,74676.8,2007年
德国,DEU,76929,2008年
德国,DEU,76772.319,2009年
德国,DEU,78582,2010年
德国,DEU,77567,2011年
德国,DEU,80210,2012年
德国,DEU,79906,2013年
德国,DEU,79339,2014年
德国,DEU,79257,2015年
德国,DEU,80046,2016年
德国,DEU,77500,2017年
白俄罗斯,BLR,11657,1996年
白俄罗斯,BLR,12909,1997年
白俄罗斯,BLR,13268,1998年
白俄罗斯,BLR,16874,1999年
白俄罗斯,BLR,17722,2000年
白俄罗斯,BLR,15264,2001年
白俄罗斯,BLR,14349,2002年
白俄罗斯,BLR,13308,2003年
白俄罗斯,BLR,13893,2004年
白俄罗斯,BLR,13568,2005年
白俄罗斯,BLR,9968,2006年
白俄罗斯,BLR,9368,2007年
白俄罗斯,BLR,8188,2008年
白俄罗斯,BLR,7401,2009年
白俄罗斯,BLR,7578,2010年
白俄罗斯,BLR,7941,2011年
白俄罗斯,BLR,8977,2012年
白俄罗斯,BLR,8998,2013年
白俄罗斯,BLR,7796,2014年
白俄罗斯,BLR,7117,2015年
白俄罗斯,BLR,6428,2016年
白俄罗斯,BLR,6295,2017年
美国,USA,8153,1996年
美国,USA,8314,1997年
美国,USA,8569,1998年
美国,USA,8511,1999年
美国,USA,8970,2000年
美国,USA,8965,2001年
美国,USA,8552,2002年
美国,USA,9141,2003年
美国,USA,8869,2004年
美国,USA,8660,2005年
美国,USA,8706,2006年
美国,USA,9308.594,2007年
美国,USA,9943.07,2008年
美国,USA,9517.555,2009年
美国,USA,10331.31,2010年
美国,USA,10570,2011年
美国,USA,10950,2012年
美国,USA,10960,2013年
美国,USA,10740.5585,2014年
美国,USA,10518.6946,2015年
美国,USA,10492,2016年
美国,USA,10659.8,2017年
英国,GBR,32312,1996年
英国,GBR,34924,1997年
英国,GBR,36517.2,1998年
英国,GBR,38721.7,1999年
英国,GBR,39230.1,2000年
英国,GBR,40131.7,2001年
英国,GBR,40683.3,2002年
英国,GBR,40633,2003年
英国,GBR,42025.2,2004年
英国,GBR,44036,2005年
英国,GBR,46444.75,2006年
英国,GBR,49584.61,2007年
英国,GBR,51902.8672,2008年
英国,GBR,51750.58169,2009年
英国,GBR,53611.02476,2010年
英国,GBR,60744.56794,2011年
英国,GBR,58636.0637,2012年
英国,GBR,59535.7714,2013年
英国,GBR,65196.6782,2014年
英国,GBR,2900,2015年
英国,GBR,2901,2016年
英国,GBR,2902,2017年
中国,CHN,332202,1996年
中国,CHN,354353,1997年
中国,CHN,369097,1998年
中国,CHN,404627,1999年
中国,CHN,441468,2000年
中国,CHN,463655,2001年
中国,CHN,480305,2002年
中国,CHN,462279,2003年
中国,CHN,551196,2004年
中国,CHN,583320,2005年
中国,CHN,635327,2006年
中国,CHN,689618,2007年
中国,CHN,777860,2008年
中国,CHN,787890,2009年
中国,CHN,791158,2010年
中国,CHN,815699,2011年
中国,CHN,795639,2012年
中国,CHN,794062,2013年
中国,CHN,807065,2014年
中国,CHN,723006,2015年
中国,CHN,695955,2016年
中国,CHN,685213,2017年
