name,type,value,date
北京,北京气温,5,2019-01-25
北京,北京气温,5,2019-01-26
北京,北京气温,7,2019-01-27
北京,北京气温,6,2019-01-28
北京,北京气温,6,2019-01-29
北京,北京气温,3,2019-01-30
北京,北京气温,2,2019-01-31
北京,北京气温,6,2019-02-01
北京,北京气温,3,2019-02-02
北京,北京气温,7,2019-02-03
北京,北京气温,4,2019-02-04
北京,北京气温,1,2019-02-05
北京,北京气温,0,2019-02-06
北京,北京气温,-3,2019-02-07
北京,北京气温,-1,2019-02-08
北京,北京气温,0,2019-02-09
北京,北京气温,-1,2019-02-10
北京,北京气温,3,2019-02-11
北京,北京气温,-3,2019-02-12
北京,北京气温,1,2019-02-13
北京,北京气温,-3,2019-02-14
北京,北京气温,2,2019-02-15
北京,北京气温,3,2019-02-16
北京,北京气温,6,2019-02-17
北京,北京气温,4,2019-02-18
北京,北京气温,7,2019-02-19
北京,北京气温,9,2019-02-20
北京,北京气温,11,2019-02-21
北京,北京气温,10,2019-02-22
北京,北京气温,12,2019-02-23
上海,上海气温,10,2019-01-25
上海,上海气温,6,2019-01-26
上海,上海气温,9,2019-01-27
上海,上海气温,10,2019-01-28
上海,上海气温,10,2019-01-29
上海,上海气温,15,2019-01-30
上海,上海气温,7,2019-01-31
上海,上海气温,7,2019-02-01
上海,上海气温,14,2019-02-02
上海,上海气温,13,2019-02-03
上海,上海气温,12,2019-02-04
上海,上海气温,12,2019-02-05
上海,上海气温,16,2019-02-06
上海,上海气温,9,2019-02-07
上海,上海气温,4,2019-02-08
上海,上海气温,5,2019-02-09
上海,上海气温,5,2019-02-10
上海,上海气温,5,2019-02-11
上海,上海气温,9,2019-02-12
上海,上海气温,8,2019-02-13
上海,上海气温,7,2019-02-14
上海,上海气温,8,2019-02-15
上海,上海气温,6,2019-02-16
上海,上海气温,8,2019-02-17
上海,上海气温,8,2019-02-18
上海,上海气温,9,2019-02-19
上海,上海气温,7,2019-02-20
上海,上海气温,9,2019-02-21
上海,上海气温,7,2019-02-22
上海,上海气温,10,2019-02-23
天津,天津气温,5,2019-01-25
天津,天津气温,6,2019-01-26
天津,天津气温,7,2019-01-27
天津,天津气温,7,2019-01-28
天津,天津气温,10,2019-01-29
天津,天津气温,6,2019-01-30
天津,天津气温,3,2019-01-31
天津,天津气温,8,2019-02-01
天津,天津气温,4,2019-02-02
天津,天津气温,7,2019-02-03
天津,天津气温,8,2019-02-04
天津,天津气温,0,2019-02-05
天津,天津气温,-2,2019-02-06
天津,天津气温,-2,2019-02-07
天津,天津气温,0,2019-02-08
天津,天津气温,-1,2019-02-09
天津,天津气温,0,2019-02-10
天津,天津气温,3,2019-02-11
天津,天津气温,-2,2019-02-12
天津,天津气温,0,2019-02-13
天津,天津气温,-2,2019-02-14
天津,天津气温,0,2019-02-15
天津,天津气温,2,2019-02-16
天津,天津气温,6,2019-02-17
天津,天津气温,5,2019-02-18
天津,天津气温,5,2019-02-19
天津,天津气温,9,2019-02-20
天津,天津气温,10,2019-02-21
天津,天津气温,10,2019-02-22
天津,天津气温,14,2019-02-23
广州,广州气温,23,2019-01-25
广州,广州气温,20,2019-01-26
广州,广州气温,23,2019-01-27
广州,广州气温,23,2019-01-28
广州,广州气温,23,2019-01-29
广州,广州气温,24,2019-01-30
广州,广州气温,25,2019-01-31
广州,广州气温,19,2019-02-01
广州,广州气温,21,2019-02-02
广州,广州气温,24,2019-02-03
广州,广州气温,26,2019-02-04
广州,广州气温,25,2019-02-05
广州,广州气温,25,2019-02-06
广州,广州气温,27,2019-02-07
广州,广州气温,28,2019-02-08
广州,广州气温,25,2019-02-09
广州,广州气温,15,2019-02-10
广州,广州气温,16,2019-02-11
广州,广州气温,20,2019-02-12
广州,广州气温,25,2019-02-13
广州,广州气温,23,2019-02-14
广州,广州气温,26,2019-02-15
广州,广州气温,26,2019-02-16
广州,广州气温,20,2019-02-17
广州,广州气温,20,2019-02-18
广州,广州气温,21,2019-02-19
广州,广州气温,25,2019-02-20
广州,广州气温,25,2019-02-21
广州,广州气温,20,2019-02-22
广州,广州气温,15,2019-02-23
杭州,杭州气温,11,2019-01-25
杭州,杭州气温,5,2019-01-26
杭州,杭州气温,11,2019-01-27
杭州,杭州气温,11,2019-01-28
杭州,杭州气温,10,2019-01-29
杭州,杭州气温,17,2019-01-30
杭州,杭州气温,7,2019-01-31
杭州,杭州气温,8,2019-02-01
杭州,杭州气温,17,2019-02-02
杭州,杭州气温,12,2019-02-03
杭州,杭州气温,10,2019-02-04
杭州,杭州气温,11,2019-02-05
杭州,杭州气温,18,2019-02-06
杭州,杭州气温,11,2019-02-07
杭州,杭州气温,5,2019-02-08
杭州,杭州气温,4,2019-02-09
杭州,杭州气温,3,2019-02-10
杭州,杭州气温,5,2019-02-11
杭州,杭州气温,8,2019-02-12
杭州,杭州气温,7,2019-02-13
杭州,杭州气温,7,2019-02-14
杭州,杭州气温,7,2019-02-15
杭州,杭州气温,4,2019-02-16
杭州,杭州气温,6,2019-02-17
杭州,杭州气温,8,2019-02-18
杭州,杭州气温,12,2019-02-19
杭州,杭州气温,7,2019-02-20
杭州,杭州气温,6,2019-02-21
杭州,杭州气温,7,2019-02-22
杭州,杭州气温,8,2019-02-23
